target_layer,fold,repeat,best_epoch,validation_mae,scale_multiplier,parameter_count,train_patients,validation_patients,device
mid,1,1,25,2.3212733268737793,2.3142138765193296,18643,15,5,cuda
mid,1,2,17,1.063912272453308,0.6701687563098864,18643,15,5,cuda
mid,1,3,19,1.9924919605255127,1.5819853295300565,18643,15,5,cuda
mid,2,1,19,2.164362907409668,1.4631139359103673,18643,16,5,cuda
mid,2,2,48,1.0736039876937866,2.1011949802158023,18643,16,5,cuda
mid,2,3,70,2.0093111991882324,2.6007902632127493,18643,16,5,cuda
mid,3,1,13,2.415468692779541,2.8774784364615065,18643,15,5,cuda
mid,3,2,20,1.229712724685669,1.4136989597531657,18643,15,5,cuda
mid,3,3,39,2.045105457305908,3.0,18643,15,5,cuda
mid,4,1,184,1.4515020847320557,3.0,18643,15,5,cuda
mid,4,2,92,1.8678066730499268,1.7601782989508505,18643,15,5,cuda
mid,4,3,12,1.8022619485855103,0.9005422052532999,18643,15,5,cuda
mid,5,1,49,1.5586568117141724,2.975442034681374,18643,14,5,cuda
mid,5,2,40,1.0551371574401855,1.5918924021156984,18643,14,5,cuda
mid,5,3,36,0.9444338083267212,1.1343761218440078,18643,14,5,cuda
endo,1,1,74,2.9029359817504883,3.0,18643,16,5,cuda
endo,1,2,13,1.6972596645355225,0.7733537724268327,18643,16,5,cuda
endo,1,3,18,2.3938217163085938,1.796277952800877,18643,16,5,cuda
endo,2,1,17,2.718409299850464,1.8241268526890981,18643,16,5,cuda
endo,2,2,36,1.3433228731155396,1.7474499509831962,18643,16,5,cuda
endo,2,3,10,2.076669692993164,1.2583605332255914,18643,16,5,cuda
endo,3,1,13,1.3833765983581543,1.0297364012595,18643,16,5,cuda
endo,3,2,26,1.0144706964492798,1.275435952207773,18643,16,5,cuda
endo,3,3,49,1.9322775602340698,3.0,18643,16,5,cuda
endo,4,1,22,1.4639484882354736,1.1684894522883325,18643,15,5,cuda
endo,4,2,10,1.4476752281188965,0.7420943988567287,18643,15,5,cuda
endo,4,3,30,1.7018046379089355,1.6508023640341194,18643,15,5,cuda
endo,5,1,34,1.9465614557266235,2.4759965967471214,18643,16,5,cuda
endo,5,2,22,1.5552812814712524,1.2592293492451083,18643,16,5,cuda
endo,5,3,14,2.263981819152832,1.3231150078368268,18643,16,5,cuda
