target_layer,model,subset,n_transitions,n_patients,n_incident_events,mae_next_gls,rmse_next_gls,average_precision,roc_auc,brier_score,sensitivity_at_p50,precision_at_p50,alerts_at_p50,sensitivity_top20pct,precision_top20pct,alerts_top20pct
mid,Persistence,all_pre_event_180d,40,25,7,1.5223749999999998,1.9402971744039619,0.33058295088370276,0.6796536796536796,0.13726953431470648,0.0,0.0,0,0.2857142857142857,0.25,8
mid,Persistence,selected_first_event_180d,25,25,7,1.849,2.2360538902271565,0.4964896214896215,0.7063492063492064,0.18642352785429994,0.0,0.0,0,0.2857142857142857,0.4,5
mid,Clinical ridge,all_pre_event_180d,40,25,7,1.6211022443884242,1.9231970802008558,0.32084974340613437,0.7445887445887446,0.14379236924559674,0.0,0.0,4,0.42857142857142855,0.375,8
mid,Clinical ridge,selected_first_event_180d,25,25,7,1.8732560720444957,2.149172549602086,0.640018315018315,0.8650793650793651,0.16880707544015602,0.0,0.0,1,0.5714285714285714,0.8,5
mid,Engineered ridge,all_pre_event_180d,40,25,7,1.6842280794374922,2.038354344627418,0.4562862513426423,0.7445887445887446,0.1342283545753083,0.2857142857142857,0.5,4,0.2857142857142857,0.25,8
mid,Engineered ridge,selected_first_event_180d,25,25,7,1.8924561226768464,2.2398061159567875,0.6994897959183672,0.8492063492063493,0.15458135665199318,0.2857142857142857,1.0,2,0.42857142857142855,0.6,5
mid,Endo–Mid curve CNN,all_pre_event_180d,40,25,7,1.968941301345825,2.5129307909652057,0.4441798941798942,0.774891774891775,0.1279341880539913,0.14285714285714285,0.3333333333333333,3,0.5714285714285714,0.5,8
mid,Endo–Mid curve CNN,selected_first_event_180d,25,25,7,2.2368928802490236,2.7967252264257882,0.677531012404962,0.8095238095238095,0.15429700826163045,0.14285714285714285,0.5,2,0.5714285714285714,0.8,5
endo,Persistence,all_pre_event_180d,40,26,8,1.8028749999999998,2.2392469437290745,0.5772728599015363,0.7578125,0.13553044756404295,0.0,0.0,0,0.5,0.5,8
endo,Persistence,selected_first_event_180d,26,26,8,2.164615384615385,2.5337821380452037,0.72207674571805,0.7847222222222223,0.17969078562376195,0.0,0.0,0,0.5,0.6666666666666666,6
endo,Clinical ridge,all_pre_event_180d,40,26,8,1.954914192673725,2.3878259386060163,0.394597890199637,0.71875,0.143182344180264,0.0,0.0,0,0.375,0.375,8
endo,Clinical ridge,selected_first_event_180d,26,26,8,2.3129145038779626,2.7189351880116286,0.7509424603174603,0.8472222222222223,0.18060469997047746,0.0,0.0,0,0.375,0.5,6
endo,Engineered ridge,all_pre_event_180d,40,26,8,2.0950941030545427,2.639099782937442,0.3432130004498426,0.625,0.16766189341462567,0.125,0.5,2,0.375,0.375,8
endo,Engineered ridge,selected_first_event_180d,26,26,8,2.455305805095676,2.970651085306204,0.6760179434092477,0.7222222222222222,0.19691499860471579,0.125,1.0,1,0.375,0.5,6
endo,Endo–Mid curve CNN,all_pre_event_180d,40,26,8,2.149610080718994,2.7936680746072167,0.38933774558774564,0.73828125,0.1499722946916796,0.0,0.0,1,0.5,0.5,8
endo,Endo–Mid curve CNN,selected_first_event_180d,26,26,8,2.569207514249361,3.2121121716280006,0.608996212121212,0.7847222222222222,0.19733363489580955,0.0,0.0,0,0.5,0.6666666666666666,6
