outcome,feature,n_patients,spearman_rho,bootstrap_ci_low,bootstrap_ci_high,permutation_p,fdr_q
gls_worsening_pp,endo_peak_abs_robust_sd,103,-0.045535545129345864,-0.2379938757797674,0.15016261814116338,0.6456708658268346,0.7748050389922015
gls_worsening_pp,endo_vendor_peak_systolic_abs_robust_sd,103,-0.02986795825416321,-0.21983842869596942,0.17273354785412878,0.7550489902019596,0.8310685688949166
gls_worsening_pp,endo_peak_abs_std,103,0.06741258357472557,-0.11700084268404155,0.2511478619899512,0.4977004599080184,0.6636006132106913
gls_worsening_pp,endo_peak_abs_cv,103,-0.2296344092004154,-0.4039072932561509,-0.04518448637366229,0.020395920815836834,0.1791641671665667
gls_worsening_pp,endo_time_to_peak_ms_std,103,-0.1725951044113412,-0.3664444011652394,0.0177767073976739,0.08938212357528494,0.2623475304939012
gls_worsening_pp,endo_time_to_peak_norm_std,103,-0.15160692467668818,-0.349819543908743,0.050785809937887234,0.1269746050789842,0.2623475304939012
gls_worsening_pp,endo_time_to_peak_norm_circular_std,103,-0.15858101893702553,-0.3550466845868598,0.03749743947434371,0.10797840431913618,0.2623475304939012
gls_worsening_pp,endo_vendor_time_to_peak_norm_circular_std,103,-0.15012973463256943,-0.3555325832909499,0.04716444889894146,0.1241751649670066,0.2623475304939012
gls_worsening_pp,endo_time_to_peak_es_ratio_std,103,-0.14932798836327082,-0.34953163725657305,0.0631214849769111,0.1311737652469506,0.2623475304939012
gls_worsening_pp,endo_post_systolic_index_std,103,-0.11511099518519041,-0.3173322700867848,0.08601251795947003,0.2383523295340932,0.38992201559688067
gls_worsening_pp,endo_post_systolic_fraction,103,-0.026860820539652008,-0.23142747756090756,0.18444083094229624,0.7828434313137372,0.8310685688949166
gls_worsening_pp,endo_curve_dispersion_rms,103,0.11163493088062856,-0.08141859514793909,0.3053058459565317,0.2599480103979204,0.38992201559688067
gls_worsening_pp,endo_curve_integrated_robust_mad,103,0.014003102648708882,-0.17637104723651265,0.20585976568913658,0.8852229554089183,0.8852229554089183
gls_worsening_pp,endo_shape_dispersion_rms,103,-0.20265509809723628,-0.3980193395731358,-0.013707864687755292,0.04539092181563687,0.2351529694061188
gls_worsening_pp,endo_shape_incoherence,103,-0.19538446754551447,-0.38309472056437655,-0.00602031917869985,0.04899020195960808,0.2351529694061188
gls_worsening_pp,endo_latent_pairwise_mean,103,0.1320739693349401,-0.0645933034836325,0.33501187413136096,0.1845630873825235,0.34073185362927416
gls_worsening_pp,endo_apical_basal_peak_gradient,103,0.22209469942132626,0.023732589483207604,0.4018945537489589,0.022395520895820836,0.1791641671665667
gls_worsening_pp,endo_impaired_segment_fraction_lt15,103,-0.46823103209465916,-0.6081375043637423,-0.2980889948260531,0.0001999600079984003,0.004799040191961607
gls_worsening_pp,endo_within_view_peak_robust_sd_mean,103,0.02513419640123159,-0.170626502566149,0.21491283333592073,0.7964407118576284,0.8310685688949166
gls_worsening_pp,endo_within_ring_peak_robust_sd_mean,103,-0.09636357645860334,-0.276061535603962,0.08401169661460235,0.34333133373325336,0.4847030593881224
gls_worsening_pp,endo_spatial_peak_graph_roughness,103,0.047149399787643514,-0.14368348283111007,0.23948333870864513,0.6394721055788842,0.7748050389922015
