endpoint,baseline_endpoint_control,feature,n_patients,standardized_beta_feature,bootstrap_ci_low,bootstrap_ci_high,permutation_p,loocv_base_rmse,loocv_extended_rmse,loocv_delta_rmse_extended_minus_base,loocv_base_mae,loocv_extended_mae,loocv_delta_mae_extended_minus_base,loocv_extended_prediction_spearman,fdr_q,primary_holm_p,replicate_strategy
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_peak_abs_robust_sd,103,0.027301748513999635,-0.14422543903076432,0.19286702351299997,0.7368526294741051,2.598931468688067,2.6234194060427676,0.024487937354700673,2.1470280614774766,2.16791020769413,0.020882146216653297,0.4048994519799176,0.8717560835658955,1.0,replicate_mean
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_time_to_peak_norm_circular_std,103,-0.03556553954688302,-0.2049585875719481,0.1444051384159017,0.7002599480103979,2.598931468688067,2.6259765917363005,0.027045123048233588,2.1470280614774766,2.1682363810222767,0.02120831954480007,0.3936694819624366,0.8717560835658955,1.0,replicate_mean
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_peak_abs_robust_sd,97,0.2060366670666193,-0.0105850356917465,0.4113034971557782,0.02539492101579684,5.872349863738136,5.7799135229236756,-0.0924363408144604,4.349219246055533,4.285111092782168,-0.06410815327336472,0.2715417059920544,0.2697060587882424,0.10157968406318736,replicate_mean
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_time_to_peak_norm_circular_std,97,0.04878610918293215,-0.1409048856649489,0.25413695625989907,0.6212757448510298,5.872349863738136,5.930706510109058,0.05835664637092197,4.349219246055533,4.411137239770302,0.06191799371476936,0.18835658095061436,0.8208540110159788,1.0,replicate_mean
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_peak_abs_robust_sd,103,0.03834129715351703,-0.12637432204282495,0.1996295980923709,0.6472705458908218,2.587568621614656,2.610080124099575,0.022511502484919177,2.1337579481117817,2.151419477994443,0.01766152988266123,0.4185511416931,0.793241351729654,1.0,first_export
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_time_to_peak_norm_circular_std,103,-0.024367030006417545,-0.2003647105204456,0.14849623817137575,0.793241351729654,2.587568621614656,2.613708622170738,0.02614000055608212,2.1337579481117817,2.156089692210218,0.022331744098436523,0.40373526926905895,0.793241351729654,1.0,first_export
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_peak_abs_robust_sd,96,0.2051090449441444,-0.01426208239478193,0.4117016725083241,0.02499500099980004,5.94861220710398,5.852781451872134,-0.09583075523184625,4.374820183795538,4.349992892579101,-0.024827291216436898,0.230393586505479,0.04999000199960008,0.09998000399920016,first_export
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_time_to_peak_norm_circular_std,96,0.04051047457322844,-0.1535395472736091,0.23805121458467357,0.6860627874425115,5.94861220710398,6.0085504625559265,0.05993825545194653,4.374820183795538,4.43687087456284,0.062050690767302186,0.15688522033201552,0.6860627874425115,1.0,first_export
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_peak_abs_robust_sd,103,0.010310992924372375,-0.15768305709215552,0.1771985827801372,0.9004199160167966,2.617223962093674,2.6426593937148817,0.025435431621207538,2.1643251117746356,2.1857420497318234,0.021416937957187798,0.3845163274690137,0.9004199160167966,1.0,latest_export
final_gls_magnitude,baseline_gls_magnitude+followup_years,endo_time_to_peak_norm_circular_std,103,-0.0376182338985826,-0.21441693657226318,0.13992802759641104,0.6712657468506299,2.617223962093674,2.644542046273495,0.027318084179821067,2.1643251117746356,2.189425891079525,0.025100779304889187,0.37900291873764896,0.9004199160167966,1.0,latest_export
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_peak_abs_robust_sd,96,0.20320082537984488,-0.0074440812473832215,0.4236924824410455,0.022795440911817635,5.910690395002827,5.826932276811486,-0.08375811819134071,4.4021560353898215,4.359560968211092,-0.04259506717872963,0.26517497127292644,0.04559088182363527,0.09118176364727054,latest_export
final_ef,baseline_ef+baseline_gls_magnitude+baseline_endo_peak_abs_mean+followup_years,endo_time_to_peak_norm_circular_std,96,0.05769133506140327,-0.13203873824594814,0.2576492872961513,0.5536892621475705,5.910690395002827,5.966217453660651,0.055527058657824035,4.4021560353898215,4.462030030516849,0.05987399512702751,0.18526368622451816,0.5536892621475705,1.0,latest_export
