metric,n_technical_pairs,n_adjacent_visit_changes,technical_median_absolute_difference,longitudinal_median_absolute_change,technical_to_longitudinal_median_ratio,technical_mean_absolute_difference,longitudinal_mean_absolute_change
mid_post_systolic_fraction,16,297,0.11111111111111105,0.1111111111111111,0.9999999999999994,0.12499999999999997,0.1425364758698092
endo_post_systolic_fraction,16,297,0.11111111111111105,0.11111111111111116,0.999999999999999,0.14583333333333331,0.1522633744855967
mid_curve_integrated_robust_mad,16,297,0.49332364417801156,0.6805902103342318,0.7248468119101282,0.5221701009751338,0.8047232293612712
ef_biplane,11,276,2.3500000000000014,3.370000000000001,0.6973293768545996,2.8954545454545464,4.701177536231884
mid_vendor_peak_systolic_abs_robust_sd,16,297,1.104537000000001,1.6160339999999982,0.6834862385321114,1.5247614374999996,1.9155741111111109
endo_time_to_peak_es_ratio_std,16,297,0.018575028185192813,0.02781192007372288,0.6678801080959088,0.031945413092690784,0.03906384999751606
gls_endo_peak_avg,16,297,1.1649999999999991,1.8300000000000018,0.6366120218579224,1.1637500000000003,2.1031986531986533
mid_peak_abs_robust_sd,16,297,0.9006794999999999,1.4751869999999991,0.6105527638190957,1.3088578124999999,1.7967539545454545
endo_peak_abs_mean,16,297,1.1158333333333328,1.8394444444444424,0.6066143159166418,1.117673611111111,2.1177759072203517
endo_curve_integrated_robust_mad,16,297,0.3786224798653528,0.6351861158062388,0.5960811649429223,0.4543113198651315,0.7806893777064874
endo_peak_abs_robust_sd,16,297,0.8265494999999978,1.460360999999999,0.565989847715735,1.174960500000001,1.7388227323232321
endo_time_to_peak_ms_std,16,297,5.729950467747667,10.594828533684591,0.5408252195427411,10.26379139336597,14.624062819547346
mid_latent_pairwise_mean,16,297,0.2793560338090928,0.5311883762863912,0.5259076558905678,0.3295619549184656,0.6693446575168193
endo_vendor_peak_systolic_abs_robust_sd,16,297,0.7672455000000022,1.5122520000000002,0.507352941176472,1.3028347499999997,1.8575929696969697
endo_time_to_peak_norm_circular_std,16,297,0.00634379631351268,0.012746419309243966,0.49769242322916746,0.012084415751508258,0.01672083029890095
endo_latent_pairwise_mean,16,297,0.283418794005899,0.5754984076207292,0.4924753748279361,0.34812454827566763,0.6814185914332266
endo_spatial_peak_graph_roughness,16,297,0.5743333333333314,1.1686666666666685,0.49144324015972374,0.6901041666666666,1.4901621773288438
gls_mid_peak_avg,16,297,0.75,1.5500000000000007,0.4838709677419353,0.915,1.807878787878788
mid_peak_abs_std,16,297,0.557683353872819,1.174581037674436,0.47479342504709726,0.7361832937821473,1.399830079761467
mid_peak_abs_mean,16,297,0.75555555555556,1.6205555555555513,0.4662324305793663,0.8996527777777789,1.8078909465020574
endo_vendor_time_to_peak_norm_circular_std,16,297,0.005804908021099273,0.012713045873954332,0.4566103260110147,0.011083105285719964,0.016465904585899863
endo_curve_dispersion_rms,16,297,0.3483013241624793,0.7693578078429804,0.4527169551174097,0.48544827134817214,0.912798017347191
endo_peak_abs_std,16,297,0.43973512550531213,1.076148326837508,0.40861943891839503,0.7138997834266152,1.3571035618988778
mid_curve_dispersion_rms,16,297,0.3121948702370989,0.7728566779223947,0.40394924331422744,0.4761217180361793,0.9170827354062744
mid_spatial_peak_graph_roughness,16,297,0.5105,1.269333333333333,0.40217962184873957,0.6874166666666665,1.5135965207631874
mid_vendor_time_to_peak_norm_circular_std,16,297,0.005817508563037723,0.01585594600643017,0.3668976017374497,0.012877711699371748,0.020625635080773603
mid_shape_incoherence,16,297,0.020214598672994355,0.060083951093087506,0.336439237187915,0.06300384975174003,0.08463826789346256
mid_time_to_peak_norm_circular_std,16,297,0.005455695513268223,0.01627277260913252,0.33526527066484085,0.012538896035136173,0.020414068270903283
endo_shape_incoherence,16,297,0.01566615343492872,0.04736244391538191,0.33077164394046016,0.047639526343367655,0.06678801663830877
mid_time_to_peak_es_ratio_std,16,297,0.010346314553645493,0.03611775883583834,0.28646059133046814,0.033218134104926786,0.05195226535980381
mid_time_to_peak_ms_std,16,297,3.1501493710721284,12.93313217355071,0.24357203876060557,10.375950505172302,19.29700727474012
