outcome,feature,n_visits,n_patients,patient_centered_pearson_r,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,cluster_signflip_p,fdr_q
gls_endo_magnitude,endo_peak_abs_robust_sd,400,103,0.1692683714175623,0.03785818820657465,0.28720721443026714,0.007998400319936013,0.010664533759914684
gls_endo_magnitude,endo_time_to_peak_norm_circular_std,400,103,-0.3455802052755252,-0.45337157569126835,-0.23375764506450544,0.0001999600079984003,0.0005332266879957342
gls_endo_magnitude,endo_curve_integrated_robust_mad,400,103,0.17969468310274472,0.053225314239897195,0.3037086728224211,0.0061987602479504095,0.009918016396720655
gls_endo_magnitude,endo_shape_incoherence,400,103,-0.3560168909589972,-0.4720340005425858,-0.2176152522617775,0.0001999600079984003,0.0005332266879957342
gls_endo_magnitude,endo_post_systolic_fraction,400,103,-0.007750828332992389,-0.1331623857545851,0.11448657718505975,0.9072185562887423,0.9072185562887423
gls_endo_magnitude,endo_spatial_peak_graph_roughness,400,103,0.24351723628617686,0.12597650900425408,0.3571609869683896,0.0005998800239952009,0.0011997600479904018
gls_endo_magnitude,mid_peak_abs_robust_sd,400,103,0.1407245299718658,0.029293541819369388,0.25840150703957593,0.01779644071185763,0.020338789384980148
gls_endo_magnitude,mid_time_to_peak_norm_circular_std,400,103,-0.36544022674308657,-0.4713631093835812,-0.2629224520905574,0.0001999600079984003,0.0005332266879957342
ef_biplane,endo_peak_abs_robust_sd,384,102,-0.0309807163236144,-0.12706847812876643,0.0689264873833662,0.5594881023795241,0.6608678264347131
ef_biplane,endo_time_to_peak_norm_circular_std,384,102,-0.20405802595597755,-0.31567529720293325,-0.07964768875428156,0.0015996800639872025,0.004265813503965874
ef_biplane,endo_curve_integrated_robust_mad,384,102,0.02324383019049582,-0.07803974734210482,0.12870393273764685,0.6608678264347131,0.6608678264347131
ef_biplane,endo_shape_incoherence,384,102,-0.22257622198103028,-0.32439857850980197,-0.10957456000276682,0.0007998400319936012,0.003199360127974405
ef_biplane,endo_post_systolic_fraction,384,102,-0.029907099836631538,-0.1625695311694927,0.10023587220296906,0.6540691861627674,0.6608678264347131
ef_biplane,endo_spatial_peak_graph_roughness,384,102,0.038776334666524234,-0.07089922075417063,0.14085584069853588,0.4767046590681864,0.6608678264347131
ef_biplane,mid_peak_abs_robust_sd,384,102,-0.020622164623070104,-0.11006963615124774,0.06779522543018235,0.6588682263547291,0.6608678264347131
ef_biplane,mid_time_to_peak_norm_circular_std,384,102,-0.24493137951773264,-0.36529018180157297,-0.10892330034067745,0.0007998400319936012,0.003199360127974405
