target_layer,fold,repeat,best_epoch,validation_mae,scale_multiplier,parameter_count,train_patients,validation_patients,device
mid,1,1,33,1.7313508987426758,1.7117685176946382,18643,44,13,cuda
mid,1,2,26,1.4266002178192139,1.3452860593252671,18643,44,13,cuda
mid,1,3,9,1.5941896438598633,1.051179500384929,18643,44,13,cuda
mid,2,1,24,1.8725004196166992,1.3900562808875336,18643,43,13,cuda
mid,2,2,35,1.837159514427185,1.8114596078658223,18643,43,13,cuda
mid,2,3,29,1.6814268827438354,1.526749136269407,18643,43,13,cuda
mid,3,1,11,1.3984899520874023,1.000488398084574,18643,45,13,cuda
mid,3,2,13,1.6043647527694702,1.1359103882157768,18643,45,13,cuda
mid,3,3,16,1.3331118822097778,1.066395329559094,18643,45,13,cuda
mid,4,1,18,1.7528769969940186,1.4394864153402773,18643,43,13,cuda
mid,4,2,7,1.4829338788986206,0.8668129596704519,18643,43,13,cuda
mid,4,3,15,2.020679235458374,1.9823476525394115,18643,43,13,cuda
mid,5,1,33,1.657649040222168,2.1030711282580095,18643,44,13,cuda
mid,5,2,10,1.4119536876678467,1.3611481805509364,18643,44,13,cuda
mid,5,3,15,1.659731388092041,1.6814977316989366,18643,44,13,cuda
endo,1,1,9,1.8239978551864624,1.1419596679280513,18643,46,14,cuda
endo,1,2,19,1.479949712753296,1.2765303839986915,18643,46,14,cuda
endo,1,3,18,1.809270977973938,1.5216060186353444,18643,46,14,cuda
endo,2,1,14,1.815934658050537,1.2192773655943503,18643,46,14,cuda
endo,2,2,13,1.5023787021636963,0.919783049759572,18643,46,14,cuda
endo,2,3,14,1.981346845626831,1.2996024435115543,18643,46,14,cuda
endo,3,1,12,1.9430618286132812,1.3190286533058662,18643,46,14,cuda
endo,3,2,17,1.3916822671890259,1.0257411712530264,18643,46,14,cuda
endo,3,3,12,2.038503885269165,1.6522322525777022,18643,46,14,cuda
endo,4,1,40,1.794035792350769,1.7381504500656075,18643,47,14,cuda
endo,4,2,25,2.0146801471710205,1.6235429930931957,18643,47,14,cuda
endo,4,3,45,1.7901504039764404,1.7039673397735258,18643,47,14,cuda
endo,5,1,10,1.43976891040802,0.8851050294416818,18643,46,13,cuda
endo,5,2,20,1.7777026891708374,1.4228638651073013,18643,46,13,cuda
endo,5,3,13,1.7758896350860596,1.0529408594142224,18643,46,13,cuda
