target_layer,model,subset,n_transitions,n_patients,n_incident_events,mae_next_gls,rmse_next_gls,average_precision,roc_auc,brier_score,sensitivity_at_p50,precision_at_p50,alerts_at_p50,sensitivity_top20pct,precision_top20pct,alerts_top20pct
mid,Persistence,all_pre_event_180d,121,71,15,1.6723553719008264,2.083778999163628,0.19485438168611482,0.6251572327044026,0.11701889931864255,0.0,0.0,0,0.3333333333333333,0.2,25
mid,Persistence,selected_first_event_180d,71,71,15,1.949507042253521,2.357087379689806,0.29489597286589764,0.6166666666666667,0.1659324208896442,0.0,0.0,0,0.26666666666666666,0.26666666666666666,15
mid,Clinical ridge,all_pre_event_180d,121,71,15,1.5986827712051543,1.9922123193129067,0.2198349662185186,0.5742138364779874,0.11146709591694422,0.0,0.0,0,0.4666666666666667,0.28,25
mid,Clinical ridge,selected_first_event_180d,71,71,15,1.8820323476128011,2.2842178017889063,0.3901139916968068,0.6071428571428572,0.16177968934780004,0.0,0.0,0,0.5333333333333333,0.5333333333333333,15
mid,Engineered ridge,all_pre_event_180d,121,71,15,1.633832803724452,2.0408389017288973,0.24373477571322044,0.5867924528301887,0.11085785999066315,0.0,0.0,0,0.4666666666666667,0.28,25
mid,Engineered ridge,selected_first_event_180d,71,71,15,1.9138385115543055,2.3182886407849286,0.4819681806313775,0.613095238095238,0.15750074140506878,0.0,0.0,0,0.4666666666666667,0.4666666666666667,15
mid,Endo–Mid curve CNN,all_pre_event_180d,121,71,15,1.6927424719313944,2.243025914934286,0.1876735717195751,0.5641509433962264,0.12400007291094088,0.0,0.0,4,0.4666666666666667,0.28,25
mid,Endo–Mid curve CNN,selected_first_event_180d,71,71,15,1.9027653191794809,2.4536023523777137,0.31995080715600727,0.5880952380952381,0.1657561201140021,0.0,0.0,2,0.4666666666666667,0.4666666666666667,15
endo,Persistence,all_pre_event_180d,126,75,17,1.9144444444444444,2.4167660078104247,0.37956308703834896,0.7134376686454398,0.11287816165003009,0.0,0.0,0,0.47058823529411764,0.3076923076923077,26
endo,Persistence,selected_first_event_180d,75,75,17,2.2194000000000003,2.68889983698414,0.48607855391793264,0.7028397565922921,0.15693227575686597,0.0,0.0,0,0.4117647058823529,0.4666666666666667,15
endo,Clinical ridge,all_pre_event_180d,126,75,17,1.8042981864452738,2.2557759567246243,0.24144184776267646,0.6513761467889908,0.11501800470723374,0.0,0.0,0,0.47058823529411764,0.3076923076923077,26
endo,Clinical ridge,selected_first_event_180d,75,75,17,2.0650171315240606,2.5218830996591226,0.43795540295593416,0.6845841784989857,0.16305955619775608,0.0,0.0,0,0.47058823529411764,0.5333333333333333,15
endo,Engineered ridge,all_pre_event_180d,126,75,17,1.8562368049220892,2.3167266985134227,0.2289592492093468,0.6422018348623852,0.11682297304024569,0.0,0.0,0,0.47058823529411764,0.3076923076923077,26
endo,Engineered ridge,selected_first_event_180d,75,75,17,2.107389817598515,2.579866285916686,0.4320478115181164,0.6764705882352942,0.1657618037583588,0.0,0.0,0,0.47058823529411764,0.5333333333333333,15
endo,Endo–Mid curve CNN,all_pre_event_180d,126,75,17,1.9420515950520834,2.5545837946027423,0.2510840989269175,0.6529951430113329,0.12095692903092611,0.058823529411764705,0.5,2,0.4117647058823529,0.2692307692307692,26
endo,Endo–Mid curve CNN,selected_first_event_180d,75,75,17,2.12097643737793,2.7555217277790067,0.38778086182034566,0.6713995943204868,0.1659959759728221,0.058823529411764705,0.5,2,0.35294117647058826,0.4,15
