variant,repeat,fold,channels,parameters,best_epoch,epochs_run,best_validation_loss,seconds,device
attention_full6,0,0,6,17491,29,54,1.5661956071853638,4.081865310668945,NVIDIA GeForce RTX 4060 Ti
attention_gap2,0,0,2,17043,1,26,1.621201992034912,1.065941333770752,NVIDIA GeForce RTX 4060 Ti
attention_separate4,0,0,4,17267,29,54,1.58778977394104,2.5123066902160645,NVIDIA GeForce RTX 4060 Ti
attention_gap_shape4,0,0,4,17267,36,61,1.5395420789718628,3.1440341472625732,NVIDIA GeForce RTX 4060 Ti
attention_full6,0,1,6,17491,20,45,0.9190725684165955,2.620736837387085,NVIDIA GeForce RTX 4060 Ti
attention_gap2,0,1,2,17043,24,49,0.9478414058685303,2.6673829555511475,NVIDIA GeForce RTX 4060 Ti
attention_separate4,0,1,4,17267,21,46,0.9185956120491028,2.596379280090332,NVIDIA GeForce RTX 4060 Ti
attention_gap_shape4,0,1,4,17267,22,47,0.9165911078453064,2.5817501544952393,NVIDIA GeForce RTX 4060 Ti
attention_full6,0,2,6,17491,16,41,1.37241530418396,2.4077186584472656,NVIDIA GeForce RTX 4060 Ti
attention_gap2,0,2,2,17043,19,44,1.3698135614395142,2.3094003200531006,NVIDIA GeForce RTX 4060 Ti
attention_separate4,0,2,4,17267,16,41,1.3739033937454224,2.312575340270996,NVIDIA GeForce RTX 4060 Ti
attention_gap_shape4,0,2,4,17267,15,40,1.378826379776001,2.2169253826141357,NVIDIA GeForce RTX 4060 Ti
attention_full6,0,3,6,17491,21,46,1.1569597721099854,3.0008087158203125,NVIDIA GeForce RTX 4060 Ti
attention_gap2,0,3,2,17043,27,52,1.1394872665405273,2.7112014293670654,NVIDIA GeForce RTX 4060 Ti
attention_separate4,0,3,4,17267,23,48,1.1371989250183105,2.7855420112609863,NVIDIA GeForce RTX 4060 Ti
attention_gap_shape4,0,3,4,17267,23,48,1.1380330324172974,2.7364110946655273,NVIDIA GeForce RTX 4060 Ti
attention_full6,0,4,6,17491,19,44,1.285089373588562,2.6407663822174072,NVIDIA GeForce RTX 4060 Ti
attention_gap2,0,4,2,17043,23,48,1.2960833311080933,2.534536361694336,NVIDIA GeForce RTX 4060 Ti
attention_separate4,0,4,4,17267,19,44,1.2771024703979492,2.4463160037994385,NVIDIA GeForce RTX 4060 Ti
attention_gap_shape4,0,4,4,17267,20,45,1.2806501388549805,2.4506280422210693,NVIDIA GeForce RTX 4060 Ti
attention_full6,1,0,6,17491,22,47,1.0396991968154907,2.7674989700317383,NVIDIA GeForce RTX 4060 Ti
attention_gap2,1,0,2,17043,34,59,1.0003235340118408,3.0367202758789062,NVIDIA GeForce RTX 4060 Ti
attention_separate4,1,0,4,17267,31,56,1.0200797319412231,3.171973943710327,NVIDIA GeForce RTX 4060 Ti
attention_gap_shape4,1,0,4,17267,33,58,1.0196387767791748,3.3921782970428467,NVIDIA GeForce RTX 4060 Ti
attention_full6,1,1,6,17491,1,26,1.3666325807571411,1.5549943447113037,NVIDIA GeForce RTX 4060 Ti
attention_gap2,1,1,2,17043,16,41,1.3694868087768555,2.134521722793579,NVIDIA GeForce RTX 4060 Ti
attention_separate4,1,1,4,17267,1,26,1.37200927734375,1.5459568500518799,NVIDIA GeForce RTX 4060 Ti
attention_gap_shape4,1,1,4,17267,1,26,1.3718935251235962,1.5268185138702393,NVIDIA GeForce RTX 4060 Ti
attention_full6,1,2,6,17491,1,26,1.2395786046981812,1.6194381713867188,NVIDIA GeForce RTX 4060 Ti
attention_gap2,1,2,2,17043,1,26,1.2486753463745117,1.3466582298278809,NVIDIA GeForce RTX 4060 Ti
attention_separate4,1,2,4,17267,1,26,1.2430596351623535,1.4214997291564941,NVIDIA GeForce RTX 4060 Ti
