variant,repeat,fold,channels,parameters,best_epoch,epochs_run,best_validation_loss,seconds,device,length,kernel1,kernel2,effective_receptive_field,receptive_field_cycle_fraction
attention_t64_scaled_k5_k3,0,0,6,16531,27,52,1.563389778137207,2.8196747303009033,NVIDIA GeForce RTX 4060 Ti,64,5,3,7,0.109375
attention_t64_scaled_k5_k3,0,1,6,16531,21,46,0.916572630405426,2.0512008666992188,NVIDIA GeForce RTX 4060 Ti,64,5,3,7,0.109375
attention_t64_scaled_k5_k3,0,2,6,16531,17,42,1.3702936172485352,2.093932867050171,NVIDIA GeForce RTX 4060 Ti,64,5,3,7,0.109375
attention_t64_scaled_k5_k3,0,3,6,16531,23,48,1.1459404230117798,2.687744617462158,NVIDIA GeForce RTX 4060 Ti,64,5,3,7,0.109375
attention_t64_scaled_k5_k3,0,4,6,16531,17,42,1.2973486185073853,2.483924388885498,NVIDIA GeForce RTX 4060 Ti,64,5,3,7,0.109375
attention_t64_scaled_k5_k3,1,0,6,16531,23,48,1.0141738653182983,2.9671387672424316,NVIDIA GeForce RTX 4060 Ti,64,5,3,7,0.109375
attention_t64_scaled_k5_k3,1,1,6,16531,12,37,1.3687118291854858,2.3391504287719727,NVIDIA GeForce RTX 4060 Ti,64,5,3,7,0.109375
attention_t64_scaled_k5_k3,1,2,6,16531,1,26,1.2474828958511353,1.6688663959503174,NVIDIA GeForce RTX 4060 Ti,64,5,3,7,0.109375
attention_t64_scaled_k5_k3,1,3,6,16531,15,40,1.2156707048416138,2.51900315284729,NVIDIA GeForce RTX 4060 Ti,64,5,3,7,0.109375
attention_t64_scaled_k5_k3,1,4,6,16531,27,52,0.9732099175453186,3.1932036876678467,NVIDIA GeForce RTX 4060 Ti,64,5,3,7,0.109375
attention_t64_scaled_k5_k3,2,0,6,16531,16,41,1.043540358543396,3.0073049068450928,NVIDIA GeForce RTX 4060 Ti,64,5,3,7,0.109375
attention_t64_scaled_k5_k3,2,1,6,16531,3,28,1.1279654502868652,1.8749573230743408,NVIDIA GeForce RTX 4060 Ti,64,5,3,7,0.109375
attention_t64_scaled_k5_k3,2,2,6,16531,21,46,1.0044506788253784,2.8783180713653564,NVIDIA GeForce RTX 4060 Ti,64,5,3,7,0.109375
attention_t64_scaled_k5_k3,2,3,6,16531,28,53,1.0788557529449463,3.4231367111206055,NVIDIA GeForce RTX 4060 Ti,64,5,3,7,0.109375
attention_t64_scaled_k5_k3,2,4,6,16531,32,57,0.9391491413116455,3.6094772815704346,NVIDIA GeForce RTX 4060 Ti,64,5,3,7,0.109375
attention_t72_scaled_k5_k5,0,0,6,17299,30,55,1.4965698719024658,3.949760675430298,NVIDIA GeForce RTX 4060 Ti,72,5,5,9,0.125
attention_t72_scaled_k5_k5,0,1,6,17299,25,50,0.9532395601272583,3.2035021781921387,NVIDIA GeForce RTX 4060 Ti,72,5,5,9,0.125
attention_t72_scaled_k5_k5,0,2,6,17299,18,43,1.374869704246521,2.718003511428833,NVIDIA GeForce RTX 4060 Ti,72,5,5,9,0.125
attention_t72_scaled_k5_k5,0,3,6,17299,23,48,1.1514390707015991,2.924131155014038,NVIDIA GeForce RTX 4060 Ti,72,5,5,9,0.125
attention_t72_scaled_k5_k5,0,4,6,17299,16,41,1.3143901824951172,2.4825387001037598,NVIDIA GeForce RTX 4060 Ti,72,5,5,9,0.125
attention_t72_scaled_k5_k5,1,0,6,17299,32,57,1.0022488832473755,3.501246452331543,NVIDIA GeForce RTX 4060 Ti,72,5,5,9,0.125
attention_t72_scaled_k5_k5,1,1,6,17299,1,26,1.3641780614852905,1.5602643489837646,NVIDIA GeForce RTX 4060 Ti,72,5,5,9,0.125
attention_t72_scaled_k5_k5,1,2,6,17299,4,29,1.2462913990020752,1.7937304973602295,NVIDIA GeForce RTX 4060 Ti,72,5,5,9,0.125
attention_t72_scaled_k5_k5,1,3,6,17299,14,39,1.2312793731689453,2.904618501663208,NVIDIA GeForce RTX 4060 Ti,72,5,5,9,0.125
attention_t72_scaled_k5_k5,1,4,6,17299,27,52,0.986426591873169,3.447009325027466,NVIDIA GeForce RTX 4060 Ti,72,5,5,9,0.125
attention_t72_scaled_k5_k5,2,0,6,17299,14,39,1.0500214099884033,2.579878807067871,NVIDIA GeForce RTX 4060 Ti,72,5,5,9,0.125
attention_t72_scaled_k5_k5,2,1,6,17299,4,29,1.130327582359314,1.9179446697235107,NVIDIA GeForce RTX 4060 Ti,72,5,5,9,0.125
attention_t72_scaled_k5_k5,2,2,6,17299,19,44,1.0059418678283691,2.9060399532318115,NVIDIA GeForce RTX 4060 Ti,72,5,5,9,0.125
attention_t72_scaled_k5_k5,2,3,6,17299,17,42,1.1223021745681763,2.729357957839966,NVIDIA GeForce RTX 4060 Ti,72,5,5,9,0.125
attention_t72_scaled_k5_k5,2,4,6,17299,32,57,0.9699032306671143,3.577686071395874,NVIDIA GeForce RTX 4060 Ti,72,5,5,9,0.125
