variant,repeat,fold,channels,parameters,best_epoch,epochs_run,best_validation_loss,seconds,device
attention_t64,0,0,6,17491,29,54,1.5785855054855347,2.8870561122894287,NVIDIA GeForce RTX 4060 Ti
attention_t72,0,0,6,17491,29,54,1.5662415027618408,2.5305352210998535,NVIDIA GeForce RTX 4060 Ti
attention_t96,0,0,6,17491,29,54,1.5661956071853638,3.257791042327881,NVIDIA GeForce RTX 4060 Ti
attention_t64,0,1,6,17491,20,45,0.9191582798957825,2.6089673042297363,NVIDIA GeForce RTX 4060 Ti
attention_t72,0,1,6,17491,20,45,0.9215713739395142,2.905850410461426,NVIDIA GeForce RTX 4060 Ti
attention_t96,0,1,6,17491,20,45,0.9190725684165955,3.328857898712158,NVIDIA GeForce RTX 4060 Ti
attention_t64,0,2,6,17491,16,41,1.3724219799041748,2.702925682067871,NVIDIA GeForce RTX 4060 Ti
attention_t72,0,2,6,17491,16,41,1.3724170923233032,2.7557339668273926,NVIDIA GeForce RTX 4060 Ti
attention_t96,0,2,6,17491,16,41,1.37241530418396,2.8859333992004395,NVIDIA GeForce RTX 4060 Ti
attention_t64,0,3,6,17491,21,46,1.1568838357925415,2.8097589015960693,NVIDIA GeForce RTX 4060 Ti
attention_t72,0,3,6,17491,21,46,1.1569523811340332,3.0782368183135986,NVIDIA GeForce RTX 4060 Ti
attention_t96,0,3,6,17491,21,46,1.1569597721099854,3.2967984676361084,NVIDIA GeForce RTX 4060 Ti
attention_t64,0,4,6,17491,19,44,1.285360336303711,2.6564626693725586,NVIDIA GeForce RTX 4060 Ti
attention_t72,0,4,6,17491,19,44,1.2854236364364624,2.8749637603759766,NVIDIA GeForce RTX 4060 Ti
attention_t96,0,4,6,17491,19,44,1.285089373588562,2.870306968688965,NVIDIA GeForce RTX 4060 Ti
attention_t64,1,0,6,17491,22,47,1.039674162864685,2.8437705039978027,NVIDIA GeForce RTX 4060 Ti
attention_t72,1,0,6,17491,22,47,1.0396993160247803,2.861227512359619,NVIDIA GeForce RTX 4060 Ti
attention_t96,1,0,6,17491,22,47,1.0396991968154907,3.0198886394500732,NVIDIA GeForce RTX 4060 Ti
attention_t64,1,1,6,17491,1,26,1.3666353225708008,1.4496419429779053,NVIDIA GeForce RTX 4060 Ti
attention_t72,1,1,6,17491,1,26,1.3666326999664307,1.5384905338287354,NVIDIA GeForce RTX 4060 Ti
attention_t96,1,1,6,17491,1,26,1.3666325807571411,1.7739784717559814,NVIDIA GeForce RTX 4060 Ti
attention_t64,1,2,6,17491,1,26,1.2395771741867065,1.906181812286377,NVIDIA GeForce RTX 4060 Ti
attention_t72,1,2,6,17491,1,26,1.2395782470703125,1.8434884548187256,NVIDIA GeForce RTX 4060 Ti
attention_t96,1,2,6,17491,1,26,1.2395786046981812,1.8130509853363037,NVIDIA GeForce RTX 4060 Ti
attention_t64,1,3,6,17491,14,39,1.2210382223129272,2.4376211166381836,NVIDIA GeForce RTX 4060 Ti
attention_t72,1,3,6,17491,14,39,1.2210417985916138,2.5001652240753174,NVIDIA GeForce RTX 4060 Ti
attention_t96,1,3,6,17491,14,39,1.2210159301757812,2.751492977142334,NVIDIA GeForce RTX 4060 Ti
attention_t64,1,4,6,17491,28,53,1.0033587217330933,3.235382318496704,NVIDIA GeForce RTX 4060 Ti
attention_t72,1,4,6,17491,28,53,1.0029277801513672,3.4223833084106445,NVIDIA GeForce RTX 4060 Ti
attention_t96,1,4,6,17491,28,53,1.0029633045196533,3.423801898956299,NVIDIA GeForce RTX 4060 Ti
attention_t64,2,0,6,17491,16,41,1.0437991619110107,2.247325897216797,NVIDIA GeForce RTX 4060 Ti
attention_t72,2,0,6,17491,16,41,1.0439268350601196,2.4531242847442627,NVIDIA GeForce RTX 4060 Ti
attention_t96,2,0,6,17491,16,41,1.042711615562439,2.6404478549957275,NVIDIA GeForce RTX 4060 Ti
attention_t64,2,1,6,17491,16,41,1.1244338750839233,2.309725046157837,NVIDIA GeForce RTX 4060 Ti
attention_t72,2,1,6,17491,16,41,1.1244308948516846,2.447946548461914,NVIDIA GeForce RTX 4060 Ti
attention_t96,2,1,6,17491,16,41,1.1243983507156372,2.749485969543457,NVIDIA GeForce RTX 4060 Ti
attention_t64,2,2,6,17491,22,47,0.986352264881134,3.008854866027832,NVIDIA GeForce RTX 4060 Ti
attention_t72,2,2,6,17491,22,47,0.9863041043281555,2.8205478191375732,NVIDIA GeForce RTX 4060 Ti
attention_t96,2,2,6,17491,22,47,0.9866178035736084,3.088982582092285,NVIDIA GeForce RTX 4060 Ti
attention_t64,2,3,6,17491,17,42,1.1162610054016113,2.548738718032837,NVIDIA GeForce RTX 4060 Ti
attention_t72,2,3,6,17491,17,42,1.1162587404251099,2.6397764682769775,NVIDIA GeForce RTX 4060 Ti
attention_t96,2,3,6,17491,17,42,1.116335153579712,2.869083881378174,NVIDIA GeForce RTX 4060 Ti
attention_t64,2,4,6,17491,32,57,0.9313139319419861,3.5459399223327637,NVIDIA GeForce RTX 4060 Ti
attention_t72,2,4,6,17491,32,57,0.93159019947052,3.7040855884552,NVIDIA GeForce RTX 4060 Ti
attention_t96,2,4,6,17491,32,57,0.9316427707672119,3.704655647277832,NVIDIA GeForce RTX 4060 Ti
