variant,repeat,fold,channels,parameters,best_epoch,epochs_run,best_validation_loss,seconds,device,temporal_bins,use_segment_attention
segment_self_attention,0,0,6,22363,29,54,1.493910789489746,4.348833799362183,NVIDIA GeForce RTX 4060 Ti,1,
segment_self_attention,0,1,6,22363,24,49,0.8610202670097351,3.994000434875488,NVIDIA GeForce RTX 4060 Ti,1,
segment_self_attention,0,2,6,22363,17,42,1.3697556257247925,3.735105991363525,NVIDIA GeForce RTX 4060 Ti,1,
segment_self_attention,0,3,6,22363,21,46,1.1447744369506836,4.699753284454346,NVIDIA GeForce RTX 4060 Ti,1,
segment_self_attention,0,4,6,22363,20,45,1.2762751579284668,4.649117469787598,NVIDIA GeForce RTX 4060 Ti,1,
segment_self_attention,1,0,6,22363,27,52,0.9856491684913636,4.80724835395813,NVIDIA GeForce RTX 4060 Ti,1,
segment_self_attention,1,1,6,22363,11,36,1.3653298616409302,2.4062130451202397,NVIDIA GeForce RTX 4060 Ti,1,
segment_self_attention,1,2,6,22363,3,28,1.2326526641845703,2.249886035919189,NVIDIA GeForce RTX 4060 Ti,1,
segment_self_attention,1,3,6,22363,14,39,1.2424829006195068,3.887078523635864,NVIDIA GeForce RTX 4060 Ti,1,
segment_self_attention,1,4,6,22363,12,37,1.033360242843628,3.633303880691528,NVIDIA GeForce RTX 4060 Ti,1,
segment_self_attention,2,0,6,22363,16,41,1.023742437362671,3.988525629043579,NVIDIA GeForce RTX 4060 Ti,1,
segment_self_attention,2,1,6,22363,1,26,1.129845380783081,2.5563089847564697,NVIDIA GeForce RTX 4060 Ti,1,
segment_self_attention,2,2,6,22363,22,47,1.0110639333724976,4.593908548355103,NVIDIA GeForce RTX 4060 Ti,1,
segment_self_attention,2,3,6,22363,21,46,1.0809026956558228,4.281076908111572,NVIDIA GeForce RTX 4060 Ti,1,
segment_self_attention,2,4,6,22363,21,46,1.0452401638031006,4.25010347366333,NVIDIA GeForce RTX 4060 Ti,1,
timing8_segment_self_attention,0,0,6,26995,29,54,1.51450514793396,5.55474853515625,NVIDIA GeForce RTX 4060 Ti,8,
timing8_segment_self_attention,0,1,6,26995,24,49,0.9217823147773744,4.841782808303833,NVIDIA GeForce RTX 4060 Ti,8,
timing8_segment_self_attention,0,2,6,26995,23,48,1.340208649635315,4.827954053878784,NVIDIA GeForce RTX 4060 Ti,8,
timing8_segment_self_attention,0,3,6,26995,23,48,1.125605225563049,5.027851104736328,NVIDIA GeForce RTX 4060 Ti,8,
timing8_segment_self_attention,0,4,6,26995,17,42,1.3013368844985962,4.44364595413208,NVIDIA GeForce RTX 4060 Ti,8,
timing8_segment_self_attention,1,0,6,26995,33,58,0.904367983341217,5.921736001968384,NVIDIA GeForce RTX 4060 Ti,8,
timing8_segment_self_attention,1,1,6,26995,19,44,1.3461532592773438,4.681656360626221,NVIDIA GeForce RTX 4060 Ti,8,
timing8_segment_self_attention,1,2,6,26995,19,44,1.2324371337890625,4.389968633651733,NVIDIA GeForce RTX 4060 Ti,8,
timing8_segment_self_attention,1,3,6,26995,22,47,1.2165193557739258,4.468666076660156,NVIDIA GeForce RTX 4060 Ti,8,
timing8_segment_self_attention,1,4,6,26995,26,51,0.9732562303543092,5.074865579605103,NVIDIA GeForce RTX 4060 Ti,8,
timing8_segment_self_attention,2,0,6,26995,10,35,1.045573353767395,3.2808732986450195,NVIDIA GeForce RTX 4060 Ti,8,
