native_points,reports,report_fraction
18.0,1,0.002403846153846154
19.0,2,0.004807692307692308
21.0,3,0.007211538461538462
22.0,3,0.007211538461538462
23.0,3,0.007211538461538462
24.0,1,0.002403846153846154
25.0,1,0.002403846153846154
27.0,3,0.007211538461538462
28.0,3,0.007211538461538462
30.0,6,0.014423076923076924
31.0,1,0.002403846153846154
33.0,3,0.007211538461538462
34.0,2,0.004807692307692308
35.0,2,0.004807692307692308
36.0,7,0.016826923076923076
37.0,4,0.009615384615384616
38.0,6,0.014423076923076924
39.0,10,0.02403846153846154
40.0,5,0.01201923076923077
41.0,5,0.01201923076923077
42.0,3,0.007211538461538462
43.0,9,0.021634615384615384
44.0,10,0.02403846153846154
45.0,9,0.021634615384615384
46.0,5,0.01201923076923077
47.0,4,0.009615384615384616
48.0,12,0.028846153846153848
49.0,12,0.028846153846153848
50.0,11,0.026442307692307692
51.0,12,0.028846153846153848
52.0,6,0.014423076923076924
53.0,5,0.01201923076923077
54.0,9,0.021634615384615384
55.0,10,0.02403846153846154
56.0,16,0.038461538461538464
57.0,8,0.019230769230769232
58.0,11,0.026442307692307692
59.0,16,0.038461538461538464
60.0,14,0.03365384615384615
61.0,11,0.026442307692307692
62.0,12,0.028846153846153848
63.0,3,0.007211538461538462
64.0,9,0.021634615384615384
65.0,7,0.016826923076923076
66.0,13,0.03125
67.0,11,0.026442307692307692
68.0,5,0.01201923076923077
69.0,5,0.01201923076923077
70.0,7,0.016826923076923076
71.0,6,0.014423076923076924
72.0,3,0.007211538461538462
73.0,9,0.021634615384615384
74.0,1,0.002403846153846154
75.0,1,0.002403846153846154
76.0,3,0.007211538461538462
77.0,5,0.01201923076923077
78.0,1,0.002403846153846154
79.0,4,0.009615384615384616
80.0,4,0.009615384615384616
81.0,4,0.009615384615384616
82.0,6,0.014423076923076924
83.0,5,0.01201923076923077
84.0,1,0.002403846153846154
85.0,3,0.007211538461538462
87.0,4,0.009615384615384616
88.0,1,0.002403846153846154
89.0,1,0.002403846153846154
92.0,1,0.002403846153846154
94.0,2,0.004807692307692308
95.0,1,0.002403846153846154
96.0,1,0.002403846153846154
99.0,1,0.002403846153846154
101.0,1,0.002403846153846154
102.0,1,0.002403846153846154
103.0,1,0.002403846153846154
117.0,1,0.002403846153846154
128.0,1,0.002403846153846154
129.0,1,0.002403846153846154
133.0,3,0.007211538461538462
134.0,2,0.004807692307692308
156.0,1,0.002403846153846154
