outcome,model,reference_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high,delta_brier_score,delta_brier_score_ci_low,delta_brier_score_ci_high
mid_gls_relative_drop_10,transmural_only_sparse,clinical_ridge,101,-0.15296442687747036,-0.26197150295524907,-0.051294998191738626,-0.1754543048753613,-0.28610471117302466,-0.054612962161136216,0.04919436376970693,0.016334161879317025,0.08416068363644222
mid_gls_relative_drop_10,variability_only_sparse,clinical_ridge,101,-0.0375494071146244,-0.14117924092714004,0.06567808462316177,-0.06594644978884434,-0.18623336051554829,0.08077613339939568,0.003833807165576769,-0.029310898708516647,0.03550333651535826
mid_gls_relative_drop_10,clinical_plus_transmural,clinical_ridge,101,-0.12332015810276675,-0.2138327526132405,-0.028440623750499803,-0.10551956150631225,-0.20512237322953533,0.012953577663992594,0.02754083279588182,-6.27342340332064e-05,0.05568714780373699
mid_gls_relative_drop_10,clinical_plus_variability,clinical_ridge,101,0.03280632411067197,-0.03813649186089539,0.10004611066559738,0.02063388486803308,-0.05948518120433907,0.11207807014757738,-0.004970396186858739,-0.02154215253995458,0.012108951626424334
mid_gls_relative_drop_10,combined_sparse,clinical_ridge,101,-0.1359683794466403,-0.23472574009841093,-0.04792828522498484,-0.11106865518882159,-0.2207100992298198,-0.018133175094771855,0.03144678130076889,0.004640291582465395,0.05932317694560983
mid_gls_relative_drop_10,combined_extra_trees,clinical_ridge,101,-0.07628458498023705,-0.13769857533177202,-0.017764460126283264,-0.08437477382275993,-0.16129405016089612,-0.014121051219842303,0.013707995805234074,-0.004737051658698932,0.033383026022978594
mid_gls_relative_drop_12,transmural_only_sparse,clinical_ridge,101,-0.06762295081967218,-0.19351442630967672,0.05940980629539952,-0.03574880619105203,-0.1808320107770353,0.08627283370673645,0.019697478910073923,-0.017798285634368402,0.05716723315327448
mid_gls_relative_drop_12,variability_only_sparse,clinical_ridge,101,-0.04713114754098369,-0.16505376344086028,0.07137880067567562,-0.06136090440128883,-0.20013278212260774,0.07594651740533184,0.011659722550036444,-0.016448200407585115,0.03896959510036788
mid_gls_relative_drop_12,clinical_plus_transmural,clinical_ridge,101,-0.10122950819672139,-0.21850211398994915,0.01301169590643277,-0.10373356811592005,-0.23125861535042366,0.017275362781008174,0.026207351137674778,-0.001609214709102722,0.05496210395453125
mid_gls_relative_drop_12,clinical_plus_variability,clinical_ridge,101,-0.01967213114754096,-0.11681381873088084,0.08362113652562696,0.0347574217823684,-0.08262991178500377,0.12786646952213185,0.0023045343825307263,-0.01983988779142732,0.023995061284039696
mid_gls_relative_drop_12,combined_sparse,clinical_ridge,101,-0.10491803278688538,-0.20886207263441622,-0.0039022881880024654,-0.09395573933555634,-0.2190109362040248,0.015632357116310874,0.019972568116592704,-0.004301119338657939,0.04391186628439447
mid_gls_relative_drop_12,combined_extra_trees,clinical_ridge,101,-0.0565573770491804,-0.15199212804608614,0.037299880368622515,-0.03559520976430508,-0.16629544118638434,0.06389951013045694,0.008891350815208698,-0.011395593008026611,0.030122460704684106
mid_gls_relative_drop_15,transmural_only_sparse,clinical_ridge,101,0.0,-0.14782314605684174,0.14705501473164517,0.09028271163022639,-0.05907080556700778,0.2313131797984498,-0.0006165586128285827,-0.02657967243994975,0.02710065917620614
mid_gls_relative_drop_15,variability_only_sparse,clinical_ridge,101,0.03755868544600938,-0.10449061795012499,0.18023023023023024,0.08255170547301344,-0.08791830491821244,0.2248785533483329,-0.010373516582905251,-0.02995769540264869,0.010251847603322449
mid_gls_relative_drop_15,clinical_plus_transmural,clinical_ridge,101,-0.06056338028169006,-0.2020757575757576,0.07597368421052617,0.0036017675053276466,-0.13544901970738416,0.12959443973505563,0.005306220714300536,-0.015224332801765633,0.029193056637487412
mid_gls_relative_drop_15,clinical_plus_variability,clinical_ridge,101,-0.027699530516431814,-0.16608112270783496,0.1120919167039857,0.001686381444951257,-0.124822078818254,0.12597208557601908,0.007607230821139038,-0.01801077987140944,0.034130679478774316
