outcome,model,reference_model,n,delta_rmse,delta_rmse_ci_low,delta_rmse_ci_high,delta_mae,delta_mae_ci_low,delta_mae_ci_high,delta_spearman_rho,delta_spearman_rho_ci_low,delta_spearman_rho_ci_high
final_mid_relative_decline,clinical_plus_transmural_ridge,clinical_ridge,101,0.013166598073983737,0.001498889656971713,0.02335497234288591,0.011822494628095911,0.002762544010239382,0.01978826795554516,-0.15362842166569596,-0.28414236456847886,-0.034408050370478914
final_mid_relative_decline,clinical_plus_variability_ridge,clinical_ridge,101,0.006962237600571103,-0.0023270985880839822,0.016524589156502293,0.008593161222358356,0.0008752591869229578,0.016423770161827993,-0.08245777518928354,-0.18319227466809593,0.011258750805488322
final_mid_relative_decline,combined_ridge,clinical_ridge,101,0.011588733479963975,0.0007060252726219689,0.024030080766997447,0.010411898902876249,0.0021507009023488633,0.019845462330958488,-0.142853814793244,-0.2600848328856925,-0.02722617112923821
final_mid_relative_decline,combined_extra_trees,clinical_ridge,101,0.001955835481268653,-0.007466021792111059,0.010842430696948397,0.0018541988039684348,-0.005895681880110613,0.008663106637054609,-0.023261502620850305,-0.12009872714959458,0.0829386926437019
future_mid_relative_decline,clinical_plus_transmural_ridge,clinical_ridge,101,0.01547068050502548,0.003180752077809774,0.027513065026798848,0.008896870525503947,-0.0003252008179016441,0.018284437156398062,-0.14354105998835176,-0.277708755266701,-0.0166496237257859
future_mid_relative_decline,clinical_plus_variability_ridge,clinical_ridge,101,0.008293013175575653,-0.0025806595133785427,0.017231729309822016,0.006685045054005953,-0.0016918166826239097,0.013956039182373304,-0.0772393709959231,-0.16488368674421794,0.02517618764417544
future_mid_relative_decline,combined_ridge,clinical_ridge,101,0.01281817956009318,-0.0007118351395099392,0.024994470566510687,0.0061634257612925986,-0.003978225989412889,0.016369784417490898,-0.12422830518345951,-0.25587735852118454,0.030299526655405064
future_mid_relative_decline,combined_extra_trees,clinical_ridge,101,0.0035408287627146096,-0.005700487892225127,0.01214778930975477,0.001619003518789422,-0.006207888276600362,0.008818528739022929,-0.04684915550378571,-0.1538904385436657,0.061866277383744624
final_ef_absolute_decline,clinical_plus_transmural_ridge,clinical_ridge,95,1.3472790007358526,0.013263112004815942,2.8206686513456525,0.842277576371325,0.17700879102402758,1.5574803106502393,-0.5608311928412335,-0.7727594676865056,-0.343386255958061
final_ef_absolute_decline,clinical_plus_variability_ridge,clinical_ridge,95,1.1728465500494343,-0.04907693011818639,2.4355263777210894,0.6753002574078533,0.12106206812593832,1.3027663680253159,-0.2360178892687234,-0.42101784341468695,-0.06562215164461464
final_ef_absolute_decline,combined_ridge,clinical_ridge,95,1.5012286335361624,0.18424955431612414,2.8437073720509307,0.9203988230361064,0.2437242099114932,1.6671691036759577,-0.48360500844555426,-0.6909738881948546,-0.2595712542313463
final_ef_absolute_decline,combined_extra_trees,clinical_ridge,95,1.0337772530436027,-0.20435000732263467,2.304691368617431,0.5193178866313612,-0.036483879362361644,1.1180166591901557,-0.1524926686254358,-0.3273372104438191,0.02591613493165926
future_ef_absolute_decline,clinical_plus_transmural_ridge,clinical_ridge,92,1.7664719434146594,0.9664221366747849,2.5622578258527273,1.263312951353461,0.6880372808889789,1.8604590264475445,-0.30704498867191715,-0.46324040385894455,-0.15583133081068332
future_ef_absolute_decline,clinical_plus_variability_ridge,clinical_ridge,92,1.3530783463527483,0.6963166152686002,2.035673711675587,1.016466887236815,0.47995858656382323,1.5945782583653574,-0.14684894348288458,-0.25550805643358265,-0.036356868781039296
future_ef_absolute_decline,combined_ridge,clinical_ridge,92,1.9249867253631123,0.9843693214935137,2.8711463624700975,1.4060091409474005,0.7884253078215623,2.07928440373288,-0.28519026555492194,-0.46052632761153245,-0.12797660722179469
future_ef_absolute_decline,combined_extra_trees,clinical_ridge,92,0.8095522016653725,0.19336483293541878,1.4124801429359841,0.5018733611694612,0.021506389353616536,1.02972320791228,-0.09956383027911775,-0.2078365888128543,0.008472054802254653
