outcome,model,feature_set,n_features,n,rmse,mae,spearman_rho
final_mid_relative_decline,clinical_ridge,clinical,12,101,0.13146587648432148,0.10799072621458218,0.44054746651135696
final_mid_relative_decline,clinical_plus_transmural_ridge,clinical_plus_transmural,257,101,0.14463247455830522,0.11981322084267809,0.286919044845661
final_mid_relative_decline,clinical_plus_variability_ridge,clinical_plus_variability,120,101,0.13842811408489258,0.11658388743694054,0.3580896913220734
final_mid_relative_decline,combined_ridge,combined,365,101,0.14305460996428546,0.11840262511745843,0.29769365171811296
final_mid_relative_decline,combined_extra_trees,combined,365,101,0.13342171196559013,0.10984492501855062,0.41728596389050665
future_mid_relative_decline,clinical_ridge,clinical,12,101,0.13637293124663014,0.11216581016526618,0.3893185789167152
future_mid_relative_decline,clinical_plus_transmural_ridge,clinical_plus_transmural,257,101,0.15184361175165562,0.12106268069077013,0.24577751892836341
future_mid_relative_decline,clinical_plus_variability_ridge,clinical_plus_variability,120,101,0.1446659444222058,0.11885085521927213,0.3120792079207921
future_mid_relative_decline,combined_ridge,combined,365,101,0.14919111080672331,0.11832923592655878,0.26509027373325567
future_mid_relative_decline,combined_extra_trees,combined,365,101,0.13991376000934475,0.1137848136840556,0.34246942341292946
final_ef_absolute_decline,clinical_ridge,clinical,12,95,5.35319663118068,4.026439752341071,0.5091091063192044
final_ef_absolute_decline,clinical_plus_transmural_ridge,clinical_plus_transmural,257,95,6.700475631916532,4.868717328712396,-0.051722086522029115
final_ef_absolute_decline,clinical_plus_variability_ridge,clinical_plus_variability,120,95,6.526043181230114,4.701740009748924,0.27309121705048095
final_ef_absolute_decline,combined_ridge,combined,365,95,6.854425264716842,4.9468385753771775,0.02550409787365008
final_ef_absolute_decline,combined_extra_trees,combined,365,95,6.3869738842242825,4.545757638972432,0.35661643769376855
future_ef_absolute_decline,clinical_ridge,clinical,12,92,4.7520745049303645,3.786283488051266,0.6622998320053018
future_ef_absolute_decline,clinical_plus_transmural_ridge,clinical_plus_transmural,257,92,6.518546448345024,5.049596439404727,0.3552548433333847
future_ef_absolute_decline,clinical_plus_variability_ridge,clinical_plus_variability,120,92,6.105152851283113,4.802750375288081,0.5154508885224173
future_ef_absolute_decline,combined_ridge,combined,365,92,6.677061230293477,5.192292628998667,0.3771095664503799
future_ef_absolute_decline,combined_extra_trees,combined,365,92,5.561626706595737,4.288156849220727,0.5627360017261841
