feature_set,feature
clinical,days_v1_v2
clinical,v1_mid_gls
clinical,v2_mid_gls
clinical,early_mid_abs_decline
clinical,early_mid_rel_decline
clinical,v1_endo_gls
clinical,v2_endo_gls
clinical,early_endo_abs_decline
clinical,early_endo_rel_decline
clinical,v1_ef
clinical,v2_ef
clinical,early_ef_abs_decline
transmural,v1_tm_paired_segments
transmural,v2_tm_paired_segments
transmural,d_tm_paired_segments
transmural,v1_tm_peak_layer_correlation
transmural,v2_tm_peak_layer_correlation
transmural,d_tm_peak_layer_correlation
transmural,v1_tm_ttp_layer_correlation
transmural,v2_tm_ttp_layer_correlation
transmural,d_tm_ttp_layer_correlation
transmural,v1_tm_fraction_endo_peak_gt_mid
transmural,v2_tm_fraction_endo_peak_gt_mid
transmural,d_tm_fraction_endo_peak_gt_mid
transmural,v1_tm_fraction_ttp_discordant_gt_5pct_cycle
transmural,v2_tm_fraction_ttp_discordant_gt_5pct_cycle
transmural,d_tm_fraction_ttp_discordant_gt_5pct_cycle
transmural,v1_tm_peak_gap_mean
transmural,v2_tm_peak_gap_mean
transmural,d_tm_peak_gap_mean
transmural,v1_tm_peak_gap_std
transmural,v2_tm_peak_gap_std
transmural,d_tm_peak_gap_std
transmural,v1_tm_peak_gap_robust_sd
transmural,v2_tm_peak_gap_robust_sd
transmural,d_tm_peak_gap_robust_sd
transmural,v1_tm_peak_gap_iqr
transmural,v2_tm_peak_gap_iqr
transmural,d_tm_peak_gap_iqr
transmural,v1_tm_peak_gap_p90_p10
transmural,v2_tm_peak_gap_p90_p10
transmural,d_tm_peak_gap_p90_p10
transmural,v1_tm_peak_gap_median
transmural,v2_tm_peak_gap_median
transmural,d_tm_peak_gap_median
transmural,v1_tm_peak_ratio_mean
transmural,v2_tm_peak_ratio_mean
transmural,d_tm_peak_ratio_mean
transmural,v1_tm_peak_ratio_std
transmural,v2_tm_peak_ratio_std
transmural,d_tm_peak_ratio_std
transmural,v1_tm_peak_ratio_robust_sd
transmural,v2_tm_peak_ratio_robust_sd
transmural,d_tm_peak_ratio_robust_sd
transmural,v1_tm_peak_ratio_iqr
transmural,v2_tm_peak_ratio_iqr
transmural,d_tm_peak_ratio_iqr
transmural,v1_tm_peak_ratio_p90_p10
transmural,v2_tm_peak_ratio_p90_p10
transmural,d_tm_peak_ratio_p90_p10
transmural,v1_tm_peak_ratio_median
transmural,v2_tm_peak_ratio_median
transmural,d_tm_peak_ratio_median
transmural,v1_tm_ttp_gap_mean
transmural,v2_tm_ttp_gap_mean
transmural,d_tm_ttp_gap_mean
transmural,v1_tm_ttp_gap_std
transmural,v2_tm_ttp_gap_std
transmural,d_tm_ttp_gap_std
transmural,v1_tm_ttp_gap_robust_sd
transmural,v2_tm_ttp_gap_robust_sd
transmural,d_tm_ttp_gap_robust_sd
transmural,v1_tm_ttp_gap_iqr
transmural,v2_tm_ttp_gap_iqr
transmural,d_tm_ttp_gap_iqr
transmural,v1_tm_ttp_gap_p90_p10
transmural,v2_tm_ttp_gap_p90_p10
transmural,d_tm_ttp_gap_p90_p10
transmural,v1_tm_ttp_gap_median
transmural,v2_tm_ttp_gap_median
transmural,d_tm_ttp_gap_median
transmural,v1_tm_vendor_peak_gap_mean
transmural,v2_tm_vendor_peak_gap_mean
