outcome,feature_family,feature,n,partial_spearman_rho,p_value,ci_low,ci_high,fdr_q
final_ef_absolute_decline,transmural,d_tm_sd_gap_dct06,95,0.31192609182530795,0.002089594308065715,0.10041852514276337,0.503915736108302,0.7376267907471974
final_ef_absolute_decline,variability,d_var__mid_impaired_segment_fraction_lt15,95,0.2365481522956327,0.021003494746890616,0.04647818463172251,0.4159546792877862,1.0
final_ef_absolute_decline,transmural,v1_tm_vendor_peak_gap_robust_sd,95,-0.22639977603583425,0.027370679800846176,-0.4067854175799884,-0.015778103635330942,1.0
final_ef_absolute_decline,transmural,v1_tm_mean_gap_dct04,95,-0.22593784994400895,0.027695788434938088,-0.4338746872457999,-0.013776884590688376,1.0
final_ef_absolute_decline,transmural,v1_tm_vendor_ttp_gap_robust_sd,95,0.20634098544232926,0.04483667223905899,-0.012248417394751604,0.3824313159884616,1.0
final_ef_absolute_decline,transmural,v1_tm_ttp_gap_p90_p10,95,0.2007838745800672,0.051055959401601,-0.011425697156564439,0.38552463906120904,1.0
final_ef_absolute_decline,transmural,d_tm_ttp_gap_p90_p10,95,-0.1991741321388578,0.05298480070777502,-0.387701942185963,-0.008006307768507793,1.0
final_ef_absolute_decline,transmural,v2_tm_segment_curve_correlation_median,95,-0.19396696528555432,0.059638311314552966,-0.3759728135355239,-0.019215869650478917,1.0
final_ef_absolute_decline,transmural,v1_tm_sd_gap_dct06,95,-0.19381298992161256,0.05984498395010456,-0.3904027870566118,0.012341399804094402,1.0
final_ef_absolute_decline,transmural,d_tm_curve_abs_area_robust_sd,95,0.19098544232922732,0.06374525639430058,-0.004259771446937093,0.36579802765613145,1.0
final_ef_absolute_decline,variability,d_var__endo_peak_abs_robust_sd,95,0.1909154535274356,0.06384435640684039,-0.005010834408225891,0.3732411615746163,1.0
final_ef_absolute_decline,transmural,d_tm_sd_gap_dct05,95,-0.18884378499440088,0.0668348578307898,-0.38881790178026404,0.044107321496915854,1.0
final_ef_absolute_decline,variability,d_var__mid_within_ring_peak_robust_sd_mean,95,0.18741601343784994,0.06896117094375388,-0.020397660795665656,0.3724365578399024,1.0
final_ef_absolute_decline,variability,v1_var__mid_impaired_segment_fraction_lt15,95,-0.18689809630459128,0.06974586369124458,-0.3735475841390222,0.009446573670220232,1.0
final_ef_absolute_decline,transmural,v1_tm_peak_ratio_p90_p10,95,-0.17964725643896978,0.08150721664492021,-0.39140690546861995,0.04315054241852211,1.0
final_ef_absolute_decline,transmural,d_tm_peak_gap_p90_p10,95,0.17259238521836506,0.09442001618040172,-0.055514484807162465,0.3815871687511207,1.0
final_ef_absolute_decline,transmural,v2_tm_curve_abs_area_median,95,0.17256438969764837,0.09447429502390046,-0.03576103464329636,0.36578089455861634,1.0
final_ef_absolute_decline,transmural,d_tm_consensus_curve_correlation,95,-0.17103863381858903,0.09746988293852614,-0.34882511860034643,0.04804332121617527,1.0
final_ef_absolute_decline,transmural,d_tm_vendor_peak_gap_robust_sd,95,0.1696808510638298,0.10019803033254857,-0.02710463058157324,0.3776239827441236,1.0
final_ef_absolute_decline,transmural,v2_tm_shape_rms_std,95,-0.166461366181411,0.10690618567810393,-0.3480757872583224,0.02619694803278998,1.0
final_ef_absolute_decline,transmural,v2_tm_curve_abs_area_mean,95,0.16543952967525194,0.10910694116782506,,,1.0
final_ef_absolute_decline,variability,d_var__mid_spatial_timing_graph_roughness,95,-0.16472564389697647,0.11066525381643413,,,1.0
final_ef_absolute_decline,transmural,d_tm_vendor_peak_gap_p90_p10,95,0.1633818589025756,0.11364539270745148,,,1.0
final_ef_absolute_decline,transmural,v1_tm_peak_ratio_std,95,-0.16167413213885778,0.11752192713120238,,,1.0
final_ef_absolute_decline,transmural,d_tm_sd_gap_dct04,95,-0.16140817469204927,0.11813472955300502,,,1.0
final_ef_absolute_decline,transmural,v2_tm_mean_shape_gap_dct04,95,-0.1613241881298992,0.11832875751082693,,,1.0
final_ef_absolute_decline,variability,v1_var__endo_curve_pairwise_rmse,95,0.16068029115341545,0.11982448346907706,,,1.0
final_ef_absolute_decline,transmural,v2_tm_shape_rms_median,95,0.16009238521836508,0.12120283009362516,,,1.0
final_ef_absolute_decline,transmural,v2_tm_segment_curve_correlation_robust_sd,95,0.1595464725643897,0.12249361854353413,,,1.0
final_ef_absolute_decline,variability,d_var__endo_within_view_peak_robust_sd_mean,95,0.15863661814109742,0.12466838005009141,,,1.0
final_ef_absolute_decline,variability,d_var__endo_spatial_timing_graph_roughness,95,-0.1573908174692049,0.12769402367870805,,,1.0
final_ef_absolute_decline,transmural,v1_tm_vendor_peak_gap_p90_p10,95,-0.15442329227323628,0.13512723561828638,,,1.0
final_ef_absolute_decline,transmural,d_tm_mean_shape_gap_dct03,95,-0.1529255319148936,0.1390016323853854,,,1.0
final_ef_absolute_decline,transmural,v2_tm_curve_rms_mean,95,0.1500279955207167,0.1467350097385098,,,1.0
final_ef_absolute_decline,transmural,d_tm_mean_gap_dct03,95,-0.14972004479283316,0.1475755761584838,,,1.0
final_ef_absolute_decline,variability,v1_var__mid_shape_incoherence,95,0.1495380739081747,0.1480739733743353,,,1.0
final_ef_absolute_decline,transmural,d_tm_mean_gap_dct05,95,0.14771836506159017,0.15312772604230915,,,1.0
final_ef_absolute_decline,transmural,v2_tm_consensus_curve_correlation,95,-0.14692049272116461,0.1553838663660708,,,1.0
final_ef_absolute_decline,variability,v1_var__endo_curve_dispersion_rms,95,0.14666853303471444,0.1561014639362881,,,1.0
final_ef_absolute_decline,transmural,v1_tm_vendor_ttp_gap_iqr,95,0.14545072788353863,0.15960475186211143,,,1.0
final_ef_absolute_decline,transmural,d_tm_vendor_ttp_gap_robust_sd,95,-0.14503079507278835,0.1608262463352186,,,1.0
final_ef_absolute_decline,transmural,v2_tm_mean_gap_dct05,95,0.14487681970884658,0.16127586422914106,,,1.0
final_ef_absolute_decline,variability,d_var__endo_vendor_time_to_peak_norm_circular_std,95,-0.14367301231802912,0.1648232990102645,,,1.0
final_ef_absolute_decline,transmural,v2_tm_sd_gap_dct05,95,-0.14266517357222844,0.16783742449439448,,,1.0
final_ef_absolute_decline,variability,d_var__mid_within_view_peak_robust_sd_mean,95,0.1412374020156775,0.17217686702959795,,,1.0
final_ef_absolute_decline,variability,v1_var__mid_shape_pairwise_rmse,95,0.1370380739081747,0.1854177578697372,,,1.0
final_ef_absolute_decline,transmural,v2_tm_segment_curve_correlation_std,95,-0.1363801791713326,0.1875575254899252,,,1.0
final_ef_absolute_decline,transmural,d_tm_shape_rms_std,95,-0.13423852183650617,0.1946472708066882,,,1.0
final_ef_absolute_decline,variability,v2_var__endo_curve_integrated_robust_mad,95,0.13412653975363942,0.19502322567236827,,,1.0
final_ef_absolute_decline,transmural,v1_tm_mean_gap_dct02,95,0.13362262038073908,0.19672150648650827,,,1.0
final_ef_absolute_decline,transmural,v2_tm_ttp_gap_iqr,95,0.13355263157894737,0.19695821886060527,,,1.0
final_ef_absolute_decline,variability,v1_var__mid_curve_dispersion_rms,95,0.13285274356103025,0.1993366335062399,,,1.0
final_ef_absolute_decline,variability,v2_var__endo_within_view_peak_robust_sd_mean,95,0.13180291153415452,0.20294285302657217,,,1.0
final_ef_absolute_decline,transmural,v1_tm_sd_gap_dct04,95,0.13141097424412096,0.20430108632123975,,,1.0
final_ef_absolute_decline,transmural,d_tm_curve_rms_robust_sd,95,0.12935330347144458,0.21153859140951542,,,1.0
final_ef_absolute_decline,transmural,v1_tm_curve_rms_mean,95,0.1289333706606943,0.21303776153035817,,,1.0
final_ef_absolute_decline,transmural,v1_tm_peak_gap_p90_p10,95,-0.12698768197088464,0.2200823817059856,,,1.0
final_ef_absolute_decline,transmural,v1_tm_fraction_ttp_discordant_gt_5pct_cycle,95,0.12600783874580068,0.22369161193662518,,,1.0
final_ef_absolute_decline,transmural,d_tm_segment_curve_correlation_median,95,-0.125531914893617,0.22545961088487512,,,1.0
final_ef_absolute_decline,transmural,d_tm_curve_abs_area_p90_p10,95,0.12527995520716687,0.2263995739394773,,,1.0
final_ef_absolute_decline,transmural,v1_tm_curve_abs_area_mean,95,0.12526595744680852,0.2264518746344406,,,1.0
final_ef_absolute_decline,variability,v1_var__endo_spatial_timing_graph_roughness,95,0.12439809630459127,0.22971109281086483,,,1.0
final_ef_absolute_decline,transmural,d_tm_curve_rms_p90_p10,95,0.12372620380739081,0.23225680188849704,,,1.0
final_ef_absolute_decline,transmural,v1_tm_peak_gap_robust_sd,95,-0.12347424412094066,0.2332165021478199,,,1.0
final_ef_absolute_decline,transmural,v1_tm_mean_gap_dct01,95,-0.12301231802911533,0.23498313027621398,,,1.0
final_ef_absolute_decline,variability,v1_var__mid_shape_dispersion_rms,95,0.1228303471444569,0.2356816273448692,,,1.0
final_ef_absolute_decline,variability,d_var__mid_shape_incoherence,95,-0.12262038073908176,0.23648937985772173,,,1.0
final_ef_absolute_decline,transmural,v2_tm_mean_gap_dct01,95,-0.12189249720044791,0.23930448941693286,,,1.0
final_ef_absolute_decline,transmural,v1_tm_ttp_layer_correlation,95,0.1205347144456887,0.24461769963164637,,,1.0
final_ef_absolute_decline,transmural,v1_tm_vendor_ttp_gap_p90_p10,95,0.12003079507278837,0.24661018295039494,,,1.0
final_ef_absolute_decline,variability,v1_var__endo_shape_incoherence,95,0.11989081746920492,0.24716563022265303,,,1.0
final_ef_absolute_decline,variability,v1_var__mid_curve_pairwise_rmse,95,0.11795912653975364,0.2549188847721568,,,1.0
final_ef_absolute_decline,variability,v1_var__endo_peak_abs_robust_sd,95,-0.11752519596864501,0.25668319576562154,,,1.0
final_ef_absolute_decline,transmural,d_tm_curve_abs_area_mean,95,0.11720324748040313,0.2579975779953324,,,1.0
