outcome,feature,feature_family,selected_c,selection_fraction,sign_consistency_when_selected,coefficient_median,coefficient_q25,coefficient_q75,importance_score
mid_gls_relative_drop_15,v2_tm_segment_curve_correlation_std,transmural,0.3,0.5666666666666667,1.0,-0.050404558752717085,-0.23480227897953285,0.0,0.028562583293206347
mid_gls_relative_drop_15,v1_tm_segment_curve_correlation_mean,transmural,0.3,0.5133333333333333,1.0,0.010124240796597097,0.0,0.2134152777787559,0.00519711027558651
mid_gls_relative_drop_15,early_mid_abs_decline,clinical,0.3,0.043333333333333335,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,early_mid_rel_decline,clinical,0.3,0.043333333333333335,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v1_endo_gls,clinical,0.3,0.03,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v2_endo_gls,clinical,0.3,0.0,,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,early_endo_abs_decline,clinical,0.3,0.006666666666666667,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,early_endo_rel_decline,clinical,0.3,0.0,,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v1_ef,clinical,0.3,0.02666666666666667,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v2_ef,clinical,0.3,0.01,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,early_ef_abs_decline,clinical,0.3,0.14666666666666667,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v1_tm_peak_layer_correlation,transmural,0.3,0.0,,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v2_var__mid_curve_pairwise_rmse,variability,0.3,0.0,,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v2_tm_peak_gap_std,transmural,0.3,0.0,,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,d_var__mid_within_view_peak_robust_sd_mean,variability,0.3,0.0,,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v1_mid_gls,clinical,0.3,0.013333333333333334,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,d_var__mid_curve_pairwise_rmse,variability,0.3,0.0,,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v1_var__mid_curve_integrated_robust_mad,variability,0.3,0.0,,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v2_var__mid_curve_integrated_robust_mad,variability,0.3,0.0033333333333333335,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,d_var__mid_curve_integrated_robust_mad,variability,0.3,0.0,,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v1_var__mid_shape_dispersion_rms,variability,0.3,0.39,1.0,0.0,-0.15338832496299892,0.0,0.0
mid_gls_relative_drop_15,v2_var__mid_shape_dispersion_rms,variability,0.3,0.3566666666666667,1.0,0.0,-0.07931787624938848,0.0,0.0
mid_gls_relative_drop_15,d_var__mid_shape_dispersion_rms,variability,0.3,0.03666666666666667,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v1_var__mid_shape_pairwise_rmse,variability,0.3,0.3233333333333333,1.0,0.0,-0.11501145529323234,0.0,0.0
mid_gls_relative_drop_15,v2_var__mid_shape_pairwise_rmse,variability,0.3,0.0033333333333333335,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,d_var__mid_shape_pairwise_rmse,variability,0.3,0.10666666666666667,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v1_var__mid_shape_incoherence,variability,0.3,0.0,,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v2_var__mid_shape_incoherence,variability,0.3,0.0,,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,d_var__mid_shape_incoherence,variability,0.3,0.0,,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v1_var__mid_within_view_peak_robust_sd_mean,variability,0.3,0.0033333333333333335,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v2_tm_peak_layer_correlation,transmural,0.3,0.023333333333333334,0.7142857142857143,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,d_tm_peak_gap_std,transmural,0.3,0.0,,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v1_tm_peak_gap_robust_sd,transmural,0.3,0.013333333333333334,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v2_tm_peak_gap_robust_sd,transmural,0.3,0.023333333333333334,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,d_tm_peak_gap_robust_sd,transmural,0.3,0.0033333333333333335,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v1_tm_peak_gap_iqr,transmural,0.3,0.03,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v2_tm_peak_gap_iqr,transmural,0.3,0.04666666666666667,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,d_tm_peak_gap_iqr,transmural,0.3,0.06333333333333334,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v1_tm_peak_gap_p90_p10,transmural,0.3,0.0033333333333333335,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v2_tm_peak_gap_p90_p10,transmural,0.3,0.023333333333333334,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,d_tm_peak_gap_p90_p10,transmural,0.3,0.0,,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v1_tm_peak_gap_median,transmural,0.3,0.06,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v2_tm_peak_gap_median,transmural,0.3,0.0,,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,d_tm_peak_gap_median,transmural,0.3,0.03666666666666667,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v1_tm_peak_ratio_mean,transmural,0.3,0.0,,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v2_tm_peak_ratio_mean,transmural,0.3,0.0,,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,d_tm_peak_ratio_mean,transmural,0.3,0.0033333333333333335,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v1_tm_peak_ratio_std,transmural,0.3,0.05333333333333334,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v2_tm_peak_ratio_std,transmural,0.3,0.016666666666666666,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,d_tm_peak_ratio_std,transmural,0.3,0.006666666666666667,0.5,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v1_tm_peak_ratio_robust_sd,transmural,0.3,0.06,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v2_tm_peak_ratio_robust_sd,transmural,0.3,0.016666666666666666,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,d_tm_peak_ratio_robust_sd,transmural,0.3,0.0033333333333333335,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v1_tm_peak_ratio_iqr,transmural,0.3,0.02,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v2_tm_peak_ratio_iqr,transmural,0.3,0.013333333333333334,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,d_tm_peak_ratio_iqr,transmural,0.3,0.0033333333333333335,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v1_tm_peak_ratio_p90_p10,transmural,0.3,0.0,,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v2_tm_peak_ratio_p90_p10,transmural,0.3,0.06,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,d_tm_peak_ratio_p90_p10,transmural,0.3,0.0,,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v1_tm_peak_ratio_median,transmural,0.3,0.0033333333333333335,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v2_tm_peak_ratio_median,transmural,0.3,0.01,0.6666666666666666,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,d_tm_peak_ratio_median,transmural,0.3,0.0,,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v1_tm_ttp_gap_mean,transmural,0.3,0.023333333333333334,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v2_tm_ttp_gap_mean,transmural,0.3,0.04666666666666667,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,d_tm_ttp_gap_mean,transmural,0.3,0.016666666666666666,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v1_tm_ttp_gap_std,transmural,0.3,0.0,,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v2_tm_ttp_gap_std,transmural,0.3,0.02,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,d_tm_ttp_gap_std,transmural,0.3,0.11,1.0,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,v1_tm_ttp_gap_robust_sd,transmural,0.3,0.0,,0.0,0.0,0.0,0.0
mid_gls_relative_drop_15,d_tm_ttp_gap_robust_sd,transmural,0.3,0.0,,0.0,0.0,0.0,0.0
