feature,feature_family,description,models_evaluated,models_top10,mean_normalized_positive_auc_importance,best_auc_drop,mean_auc_drop,best_ap_drop
first_mid_gls,clinical,Baseline Mid-GLS magnitude,4,3,0.5392285861713098,0.030018356548968672,0.013767411726595374,0.010692554220714245
first_endo_gls,clinical,Baseline Endo-GLS magnitude,4,3,0.37570884468895527,0.01846452866861037,0.007801533311737441,0.0156608195086001
mid_decline_slope_per_100d,clinical,Mid-GLS decline slope per 100 days,3,3,0.13307306683033268,0.004427167692473755,0.003311377461037305,0.003034668625525705
d_tm_sd_gap_dct04,Endo–Mid,Change since previous visit: Endo–Mid sd gap DCT04,2,2,0.6699346405228789,0.0367130979375877,0.02116402116402122,0.042736160623276676
cur_tm_mean_gap_dct02,Endo–Mid,Current visit: Endo–Mid mean gap DCT02,2,2,0.2883986928104573,0.007018680488068307,0.006694741388618974,0.013681136412996564
cur_tm_mean_shape_gap_dct04,Endo–Mid,Current visit: Endo–Mid mean shape gap DCT04,2,2,0.2833333333333352,0.00712666018788477,0.0066407515387107985,0.014925678386079833
current_mid_decline_from_first,clinical,Current relative Mid-GLS decline from baseline,4,2,0.22062693498451985,0.012849584278155746,0.004049238743116301,0.001565633925551535
cur_var__endo_vendor_peak_systolic_abs_robust_sd,variability,"Current visit, Endo: vendor peak-systolic amplitude dispersion",2,2,0.22034137395965658,0.007342619587517474,0.005291005291005291,0.015015176871578662
cur_tm_mean_shape_gap_dct01,Endo–Mid,Current visit: Endo–Mid mean shape gap DCT01,1,1,1.0,0.016520894071914594,0.016520894071914594,0.020123672875219545
cur_tm_mean_shape_gap_dct07,Endo–Mid,Current visit: Endo–Mid mean shape gap DCT07,1,1,0.5228758169934699,0.008638375985314917,0.008638375985314917,0.009137196368243061
cur_var__endo_vendor_time_to_peak_norm_circular_std,variability,"Current visit, Endo: vendor time-to-peak dispersion",1,1,0.50326797385621,0.008314436885865528,0.008314436885865528,0.007078414814258638
cur_tm_segment_curve_correlation_std,Endo–Mid,Current visit: Endo–Mid segment curve correlation std,1,1,0.47058823529412047,0.01727675197062961,0.01727675197062961,0.023093334735603377
last_ef_relative_change,clinical,Most recent relative EF change,1,1,0.3450292397660809,0.006370802289169641,0.006370802289169641,0.007970205816427545
d_tm_vendor_peak_gap_mean,Endo–Mid,Change since previous visit: Endo–Mid vendor peak gap mean,1,1,0.2810457516339915,0.004643127092106791,0.004643127092106791,0.0011753309154678426
current_endo_decline_from_first,clinical,Current relative Endo-GLS decline from baseline,2,1,0.261953904368768,0.007018680488068196,0.004697116942014967,0.0009907131498359534
cur_var__endo_peak_abs_robust_sd,variability,"Current visit, Endo: robust dispersion of peak amplitude",1,1,0.2614379084967316,0.004319187992657403,0.004319187992657403,0.005071631406305233
cur_var__mid_peak_abs_robust_sd,variability,"Current visit, Mid: robust dispersion of peak amplitude",2,1,0.2576291907650363,0.010366051182377656,0.0065867616888025116,-0.0008049243936628647
cur_tm_shape_rms_mean,Endo–Mid,Current visit: Endo–Mid shape RMS mean,1,1,0.2549019607843116,0.00421120829284094,0.00421120829284094,-0.0009677079703309666
d_tm_peak_gap_mean,Endo–Mid,Change since previous visit: Endo–Mid peak gap mean,1,1,0.22647058823529626,0.008314436885865528,0.008314436885865528,0.008446512553451913
cur_tm_sd_gap_dct06,Endo–Mid,Current visit: Endo–Mid sd gap DCT06,1,1,0.21176470588235421,0.007774538386783325,0.007774538386783325,0.015347552213422933
current_mid_decline_from_roll2,clinical,Current Mid-GLS decline from prior-2-visit mean,1,1,0.19298245614034665,0.003563330093942274,0.003563330093942274,-0.008020049017883335
current_mid_gls,clinical,Current Mid-GLS magnitude,1,1,0.1520467836257282,0.0028074721952272563,0.0028074721952272563,0.007639256554736074
has_previous_visit,clinical,Whether a prior visit is available,3,1,0.0974658869395723,0.005398984990821809,0.0011157902314364865,0.012699702461260953
