model,feature,feature_family,description,used_fraction,auc_drop_screen,auc_drop_split_sd,auc_positive_split_fraction,ap_drop_screen,ap_drop_split_sd,ap_positive_split_fraction,native_importance_mean,selection_fraction,coefficient_median_when_selected,coefficient_sign_consistency,auc_rank_screen,ap_rank_screen,native_rank
clinical_plus_transmural_sparse,history_visits,clinical,Number of visits observed so far,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,days_since_first,clinical,Days since the baseline visit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06590551500117312,0.3333333333333333,-0.23834194866854178,1.0,1.0,1.0,18.0
clinical_plus_transmural_sparse,days_since_previous,clinical,Days since the previous visit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10869332387966094,0.4,-0.24667004536888715,1.0,1.0,1.0,13.0
clinical_plus_transmural_sparse,has_previous_visit,clinical,Whether a prior visit is available,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06396390030237971,0.5333333333333333,-0.09583934876657357,1.0,1.0,1.0,19.0
clinical_plus_transmural_sparse,current_mid_gls,clinical,Current Mid-GLS magnitude,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,current_endo_gls,clinical,Current Endo-GLS magnitude,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,current_ef,clinical,Current ejection fraction,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,first_mid_gls,clinical,Baseline Mid-GLS magnitude,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4262486115067722,0.7333333333333333,0.6410898421682563,1.0,1.0,1.0,3.0
clinical_plus_transmural_sparse,first_endo_gls,clinical,Baseline Endo-GLS magnitude,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07175103746579553,0.13333333333333333,0.5381327809934665,1.0,1.0,1.0,17.0
clinical_plus_transmural_sparse,first_ef,clinical,Baseline ejection fraction,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,1.0,66.0
clinical_plus_transmural_sparse,current_mid_decline_from_first,clinical,Current relative Mid-GLS decline from baseline,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12869875056654256,0.5333333333333333,0.1629183878601631,1.0,1.0,1.0,11.0
