feature_set,feature
clinical,history_visits
clinical,days_since_first
clinical,days_since_previous
clinical,has_previous_visit
clinical,current_mid_gls
clinical,current_endo_gls
clinical,current_ef
clinical,first_mid_gls
clinical,first_endo_gls
clinical,first_ef
clinical,current_mid_decline_from_first
clinical,current_endo_decline_from_first
clinical,current_ef_decline_from_first
clinical,last_mid_relative_change
clinical,last_endo_relative_change
clinical,last_ef_relative_change
clinical,mid_decline_slope_per_100d
clinical,endo_decline_slope_per_100d
clinical,ef_decline_slope_per_100d
clinical,current_endo_mid_gap
clinical,last_endo_mid_gap_change
clinical,current_mid_decline_from_roll2
clinical,current_endo_decline_from_roll2
clinical,current_ef_decline_from_roll2
clinical,current_mid_decline_from_roll3
clinical,current_endo_decline_from_roll3
clinical,current_ef_decline_from_roll3
clinical_plus_transmural,history_visits
clinical_plus_transmural,days_since_first
clinical_plus_transmural,days_since_previous
clinical_plus_transmural,has_previous_visit
clinical_plus_transmural,current_mid_gls
clinical_plus_transmural,current_endo_gls
clinical_plus_transmural,current_ef
clinical_plus_transmural,first_mid_gls
clinical_plus_transmural,first_endo_gls
clinical_plus_transmural,first_ef
clinical_plus_transmural,current_mid_decline_from_first
clinical_plus_transmural,current_endo_decline_from_first
clinical_plus_transmural,current_ef_decline_from_first
clinical_plus_transmural,last_mid_relative_change
clinical_plus_transmural,last_endo_relative_change
clinical_plus_transmural,last_ef_relative_change
clinical_plus_transmural,mid_decline_slope_per_100d
clinical_plus_transmural,endo_decline_slope_per_100d
clinical_plus_transmural,ef_decline_slope_per_100d
clinical_plus_transmural,current_endo_mid_gap
clinical_plus_transmural,last_endo_mid_gap_change
clinical_plus_transmural,current_mid_decline_from_roll2
clinical_plus_transmural,current_endo_decline_from_roll2
clinical_plus_transmural,current_ef_decline_from_roll2
clinical_plus_transmural,current_mid_decline_from_roll3
clinical_plus_transmural,current_endo_decline_from_roll3
clinical_plus_transmural,current_ef_decline_from_roll3
clinical_plus_transmural,cur_tm_paired_segments
clinical_plus_transmural,d_tm_paired_segments
clinical_plus_transmural,cur_tm_peak_layer_correlation
clinical_plus_transmural,d_tm_peak_layer_correlation
clinical_plus_transmural,cur_tm_ttp_layer_correlation
clinical_plus_transmural,d_tm_ttp_layer_correlation
clinical_plus_transmural,cur_tm_fraction_endo_peak_gt_mid
clinical_plus_transmural,d_tm_fraction_endo_peak_gt_mid
clinical_plus_transmural,cur_tm_fraction_ttp_discordant_gt_5pct_cycle
clinical_plus_transmural,d_tm_fraction_ttp_discordant_gt_5pct_cycle
clinical_plus_transmural,cur_tm_peak_gap_mean
clinical_plus_transmural,d_tm_peak_gap_mean
clinical_plus_transmural,cur_tm_peak_gap_std
clinical_plus_transmural,d_tm_peak_gap_std
clinical_plus_transmural,cur_tm_peak_gap_robust_sd
clinical_plus_transmural,d_tm_peak_gap_robust_sd
clinical_plus_transmural,cur_tm_peak_gap_iqr
clinical_plus_transmural,d_tm_peak_gap_iqr
clinical_plus_transmural,cur_tm_peak_gap_p90_p10
clinical_plus_transmural,d_tm_peak_gap_p90_p10
clinical_plus_transmural,cur_tm_peak_gap_median
clinical_plus_transmural,d_tm_peak_gap_median
clinical_plus_transmural,cur_tm_peak_ratio_mean
clinical_plus_transmural,d_tm_peak_ratio_mean
clinical_plus_transmural,cur_tm_peak_ratio_std
clinical_plus_transmural,d_tm_peak_ratio_std
clinical_plus_transmural,cur_tm_peak_ratio_robust_sd
clinical_plus_transmural,d_tm_peak_ratio_robust_sd
clinical_plus_transmural,cur_tm_peak_ratio_iqr
clinical_plus_transmural,d_tm_peak_ratio_iqr
clinical_plus_transmural,cur_tm_peak_ratio_p90_p10
clinical_plus_transmural,d_tm_peak_ratio_p90_p10
clinical_plus_transmural,cur_tm_peak_ratio_median
clinical_plus_transmural,d_tm_peak_ratio_median
clinical_plus_transmural,cur_tm_ttp_gap_mean
clinical_plus_transmural,d_tm_ttp_gap_mean
clinical_plus_transmural,cur_tm_ttp_gap_std
clinical_plus_transmural,d_tm_ttp_gap_std
clinical_plus_transmural,cur_tm_ttp_gap_robust_sd
clinical_plus_transmural,d_tm_ttp_gap_robust_sd
clinical_plus_transmural,cur_tm_ttp_gap_iqr
clinical_plus_transmural,d_tm_ttp_gap_iqr
clinical_plus_transmural,cur_tm_ttp_gap_p90_p10
clinical_plus_transmural,d_tm_ttp_gap_p90_p10
clinical_plus_transmural,cur_tm_ttp_gap_median
clinical_plus_transmural,d_tm_ttp_gap_median
clinical_plus_transmural,cur_tm_vendor_peak_gap_mean
clinical_plus_transmural,d_tm_vendor_peak_gap_mean
clinical_plus_transmural,cur_tm_vendor_peak_gap_std
clinical_plus_transmural,d_tm_vendor_peak_gap_std
clinical_plus_transmural,cur_tm_vendor_peak_gap_robust_sd
clinical_plus_transmural,d_tm_vendor_peak_gap_robust_sd
clinical_plus_transmural,cur_tm_vendor_peak_gap_iqr
clinical_plus_transmural,d_tm_vendor_peak_gap_iqr
clinical_plus_transmural,cur_tm_vendor_peak_gap_p90_p10
clinical_plus_transmural,d_tm_vendor_peak_gap_p90_p10
clinical_plus_transmural,cur_tm_vendor_peak_gap_median
clinical_plus_transmural,d_tm_vendor_peak_gap_median
clinical_plus_transmural,cur_tm_vendor_ttp_gap_mean
clinical_plus_transmural,d_tm_vendor_ttp_gap_mean
clinical_plus_transmural,cur_tm_vendor_ttp_gap_std
clinical_plus_transmural,d_tm_vendor_ttp_gap_std
clinical_plus_transmural,cur_tm_vendor_ttp_gap_robust_sd
clinical_plus_transmural,d_tm_vendor_ttp_gap_robust_sd
clinical_plus_transmural,cur_tm_vendor_ttp_gap_iqr
clinical_plus_transmural,d_tm_vendor_ttp_gap_iqr
clinical_plus_transmural,cur_tm_vendor_ttp_gap_p90_p10
clinical_plus_transmural,d_tm_vendor_ttp_gap_p90_p10
clinical_plus_transmural,cur_tm_vendor_ttp_gap_median
clinical_plus_transmural,d_tm_vendor_ttp_gap_median
clinical_plus_transmural,cur_tm_curve_rms_mean
clinical_plus_transmural,d_tm_curve_rms_mean
clinical_plus_transmural,cur_tm_curve_rms_std
clinical_plus_transmural,d_tm_curve_rms_std
clinical_plus_transmural,cur_tm_curve_rms_robust_sd
clinical_plus_transmural,d_tm_curve_rms_robust_sd
clinical_plus_transmural,cur_tm_curve_rms_iqr
clinical_plus_transmural,d_tm_curve_rms_iqr
clinical_plus_transmural,cur_tm_curve_rms_p90_p10
clinical_plus_transmural,d_tm_curve_rms_p90_p10
clinical_plus_transmural,cur_tm_curve_rms_median
clinical_plus_transmural,d_tm_curve_rms_median
clinical_plus_transmural,cur_tm_curve_abs_area_mean
clinical_plus_transmural,d_tm_curve_abs_area_mean
clinical_plus_transmural,cur_tm_curve_abs_area_std
clinical_plus_transmural,d_tm_curve_abs_area_std
clinical_plus_transmural,cur_tm_curve_abs_area_robust_sd
clinical_plus_transmural,d_tm_curve_abs_area_robust_sd
clinical_plus_transmural,cur_tm_curve_abs_area_iqr
clinical_plus_transmural,d_tm_curve_abs_area_iqr
clinical_plus_transmural,cur_tm_curve_abs_area_p90_p10
clinical_plus_transmural,d_tm_curve_abs_area_p90_p10
clinical_plus_transmural,cur_tm_curve_abs_area_median
clinical_plus_transmural,d_tm_curve_abs_area_median
clinical_plus_transmural,cur_tm_shape_rms_mean
clinical_plus_transmural,d_tm_shape_rms_mean
clinical_plus_transmural,cur_tm_shape_rms_std
clinical_plus_transmural,d_tm_shape_rms_std
clinical_plus_transmural,cur_tm_shape_rms_robust_sd
clinical_plus_transmural,d_tm_shape_rms_robust_sd
clinical_plus_transmural,cur_tm_shape_rms_iqr
clinical_plus_transmural,d_tm_shape_rms_iqr
clinical_plus_transmural,cur_tm_shape_rms_p90_p10
clinical_plus_transmural,d_tm_shape_rms_p90_p10
clinical_plus_transmural,cur_tm_shape_rms_median
clinical_plus_transmural,d_tm_shape_rms_median
clinical_plus_transmural,cur_tm_segment_curve_correlation_mean
clinical_plus_transmural,d_tm_segment_curve_correlation_mean
clinical_plus_transmural,cur_tm_segment_curve_correlation_std
clinical_plus_transmural,d_tm_segment_curve_correlation_std
clinical_plus_transmural,cur_tm_segment_curve_correlation_robust_sd
clinical_plus_transmural,d_tm_segment_curve_correlation_robust_sd
clinical_plus_transmural,cur_tm_segment_curve_correlation_iqr
clinical_plus_transmural,d_tm_segment_curve_correlation_iqr
clinical_plus_transmural,cur_tm_segment_curve_correlation_p90_p10
clinical_plus_transmural,d_tm_segment_curve_correlation_p90_p10
clinical_plus_transmural,cur_tm_segment_curve_correlation_median
clinical_plus_transmural,d_tm_segment_curve_correlation_median
clinical_plus_transmural,cur_tm_mean_gap_dct01
clinical_plus_transmural,d_tm_mean_gap_dct01
clinical_plus_transmural,cur_tm_mean_gap_dct02
clinical_plus_transmural,d_tm_mean_gap_dct02
clinical_plus_transmural,cur_tm_mean_gap_dct03
clinical_plus_transmural,d_tm_mean_gap_dct03
clinical_plus_transmural,cur_tm_mean_gap_dct04
clinical_plus_transmural,d_tm_mean_gap_dct04
clinical_plus_transmural,cur_tm_mean_gap_dct05
clinical_plus_transmural,d_tm_mean_gap_dct05
clinical_plus_transmural,cur_tm_mean_gap_dct06
clinical_plus_transmural,d_tm_mean_gap_dct06
clinical_plus_transmural,cur_tm_mean_gap_dct07
clinical_plus_transmural,d_tm_mean_gap_dct07
clinical_plus_transmural,cur_tm_mean_gap_dct08
clinical_plus_transmural,d_tm_mean_gap_dct08
clinical_plus_transmural,cur_tm_sd_gap_dct01
clinical_plus_transmural,d_tm_sd_gap_dct01
clinical_plus_transmural,cur_tm_sd_gap_dct02
clinical_plus_transmural,d_tm_sd_gap_dct02
clinical_plus_transmural,cur_tm_sd_gap_dct03
clinical_plus_transmural,d_tm_sd_gap_dct03
clinical_plus_transmural,cur_tm_sd_gap_dct04
clinical_plus_transmural,d_tm_sd_gap_dct04
clinical_plus_transmural,cur_tm_sd_gap_dct05
clinical_plus_transmural,d_tm_sd_gap_dct05
clinical_plus_transmural,cur_tm_sd_gap_dct06
clinical_plus_transmural,d_tm_sd_gap_dct06
clinical_plus_transmural,cur_tm_sd_gap_dct07
clinical_plus_transmural,d_tm_sd_gap_dct07
clinical_plus_transmural,cur_tm_sd_gap_dct08
clinical_plus_transmural,d_tm_sd_gap_dct08
clinical_plus_transmural,cur_tm_mean_shape_gap_dct01
clinical_plus_transmural,d_tm_mean_shape_gap_dct01
clinical_plus_transmural,cur_tm_mean_shape_gap_dct02
clinical_plus_transmural,d_tm_mean_shape_gap_dct02
clinical_plus_transmural,cur_tm_mean_shape_gap_dct03
clinical_plus_transmural,d_tm_mean_shape_gap_dct03
clinical_plus_transmural,cur_tm_mean_shape_gap_dct04
clinical_plus_transmural,d_tm_mean_shape_gap_dct04
clinical_plus_transmural,cur_tm_mean_shape_gap_dct05
clinical_plus_transmural,d_tm_mean_shape_gap_dct05
clinical_plus_transmural,cur_tm_mean_shape_gap_dct06
clinical_plus_transmural,d_tm_mean_shape_gap_dct06
clinical_plus_transmural,cur_tm_mean_shape_gap_dct07
clinical_plus_transmural,d_tm_mean_shape_gap_dct07
clinical_plus_transmural,cur_tm_mean_shape_gap_dct08
clinical_plus_transmural,d_tm_mean_shape_gap_dct08
clinical_plus_transmural,cur_tm_consensus_curve_correlation
clinical_plus_transmural,d_tm_consensus_curve_correlation
clinical_plus_transmural,cur_tm_consensus_phase_lag_fraction
clinical_plus_transmural,d_tm_consensus_phase_lag_fraction
clinical_plus_variability,history_visits
clinical_plus_variability,days_since_first
clinical_plus_variability,days_since_previous
clinical_plus_variability,has_previous_visit
clinical_plus_variability,current_mid_gls
clinical_plus_variability,current_endo_gls
clinical_plus_variability,current_ef
clinical_plus_variability,first_mid_gls
clinical_plus_variability,first_endo_gls
