repeat,fold,device,best_epoch,epochs_run,best_validation_loss,seconds,parameter_count,scalar_features
0,0,NVIDIA GeForce RTX 4060 Ti,29,64,1.4860361814498901,2.746649980545044,16746,96
0,1,NVIDIA GeForce RTX 4060 Ti,21,56,0.9065241813659668,2.032219648361206,16746,96
0,2,NVIDIA GeForce RTX 4060 Ti,12,47,1.3812059164047241,1.9299166202545166,16746,96
0,3,NVIDIA GeForce RTX 4060 Ti,20,55,1.1480618715286255,2.6229708194732666,16746,96
0,4,NVIDIA GeForce RTX 4060 Ti,21,56,1.259684443473816,2.8224058151245117,16746,96
1,0,NVIDIA GeForce RTX 4060 Ti,31,66,0.9844990968704224,3.3515408039093018,16746,96
1,1,NVIDIA GeForce RTX 4060 Ti,1,36,1.3653831481933594,1.874969720840454,16746,96
1,2,NVIDIA GeForce RTX 4060 Ti,1,36,1.2386066913604736,1.8141939640045166,16746,96
1,3,NVIDIA GeForce RTX 4060 Ti,14,49,1.2135741710662842,2.6916964054107666,16746,96
1,4,NVIDIA GeForce RTX 4060 Ti,27,62,0.9494850039482117,3.2513763904571533,16746,96
2,0,NVIDIA GeForce RTX 4060 Ti,16,51,1.0353001356124878,2.6454122066497803,16746,96
2,1,NVIDIA GeForce RTX 4060 Ti,1,36,1.128255844116211,1.9043750762939453,16746,96
2,2,NVIDIA GeForce RTX 4060 Ti,18,53,1.0175013542175293,2.779634475708008,16746,96
2,3,NVIDIA GeForce RTX 4060 Ti,18,53,1.107430100440979,2.7498741149902344,16746,96
2,4,NVIDIA GeForce RTX 4060 Ti,32,67,0.9805588126182556,3.503495216369629,16746,96
