task,model,reference_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high,delta_brier_score,delta_brier_score_ci_low,delta_brier_score_ci_high
mid_first_rel10,clinical_plus_transmural_sparse,clinical_ridge,211,-0.003898840885142252,-0.05762652840117614,0.048571937684553645,-0.001802409728169474,-0.0663845332537213,0.058595415920393655,-0.0032351960449082673,-0.017957521766924108,0.011644808652567604
mid_first_rel10,clinical_plus_variability_sparse,clinical_ridge,211,-0.008219178082191747,-0.04702037469043102,0.033224837772726494,0.0023443967550967337,-0.049536435475269806,0.055379420410929116,-0.0024082073925607572,-0.014388451976241298,0.009208480596578687
mid_first_rel10,combined_extra_trees,clinical_ridge,211,-0.08040042149631188,-0.15141646384030488,-0.009072348443568202,-0.051340700364907066,-0.1612244178813071,0.04239320525772873,-0.0033596705239895552,-0.024313038978994575,0.01951589094720634
mid_first_rel10,gpu_segment_curve_net,clinical_ridge,211,-0.06654373024236049,-0.14524746093750004,0.017122870970680038,-0.06489771424310509,-0.16769960437079529,0.04599195097332003,0.006923557115473017,-0.015035511003330506,0.027934797177587026
mid_first_rel12,clinical_plus_transmural_sparse,clinical_ridge,225,0.02663638240759869,-0.03554180965325279,0.09208373679577461,0.05773600750909108,-0.036715568862317124,0.1431188400959901,-0.012494689024323352,-0.029750563751075806,0.00442139792089901
mid_first_rel12,clinical_plus_variability_sparse,clinical_ridge,225,0.010324179227751529,-0.04296967837539611,0.06066708977951577,-0.00520669832898546,-0.070221811728899,0.05206695954994105,-0.006724089783220477,-0.020042881378860948,0.006663467841346905
mid_first_rel12,combined_extra_trees,clinical_ridge,225,0.02715259136898629,-0.042127862586072276,0.09888330140485327,0.023573268053549368,-0.06382737845737371,0.1047866566986334,-0.04514795129613672,-0.06717402549191837,-0.022571903263217553
mid_first_rel12,gpu_segment_curve_net,clinical_ridge,225,0.006917200082593666,-0.06732565394578889,0.08437697749214002,0.0032968861241275405,-0.08115440010295204,0.09662000118592384,-0.010458562936247029,-0.03138289095644295,0.00874692499815751
mid_first_rel15,clinical_plus_transmural_sparse,clinical_ridge,238,0.01263362487852282,-0.06759708171904155,0.09105898146367804,0.019102760314549494,-0.08715062409792701,0.11415778832755816,-0.006192667309726285,-0.02246194650217242,0.011227946269745194
mid_first_rel15,clinical_plus_variability_sparse,clinical_ridge,238,0.018788467768059536,-0.05018481569903952,0.08405641907925956,-0.0019172868807416643,-0.0922272365067513,0.0757848515253231,-0.002623209508544805,-0.02003206657191117,0.01559339349434678
mid_first_rel15,combined_extra_trees,clinical_ridge,238,0.04092430623042875,-0.04306939277687365,0.11652041090435437,0.023718423150332346,-0.08576686226295153,0.11449559400241772,-0.06800917271883869,-0.09321129941810356,-0.043368573184349446
mid_first_rel15,gpu_segment_curve_net,clinical_ridge,238,0.03325774754346189,-0.047656104961477694,0.11899834289962048,0.012350869216129767,-0.09019867271681485,0.11069695350623357,-0.010088385061214844,-0.03382551205332912,0.010068368099505207
