task,model,n,events,prevalence,roc_auc,average_precision,brier_score,sensitivity_top20pct,precision_top20pct,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high,brier_score_ci_low,brier_score_ci_high
mid_first_rel10,clinical_ridge,211,65,0.3080568720379147,0.6903055848261328,0.48178449341003127,0.22287818792081854,0.36923076923076925,0.5581395348837209,0.5968088878598306,0.7707149619283782,0.36510892351093094,0.6253373930548175,0.19950917837439203,0.24791128142959445
mid_first_rel10,clinical_plus_transmural_sparse,211,65,0.3080568720379147,0.6864067439409905,0.4799820836818618,0.21964299187591027,0.38461538461538464,0.5813953488372093,0.6040844287367726,0.764758378538561,0.37370428664489885,0.6218291285920343,0.19905341712544705,0.24136070889914463
mid_first_rel10,clinical_plus_variability_sparse,211,65,0.3080568720379147,0.682086406743941,0.484128890165128,0.22046998052825778,0.3384615384615385,0.5116279069767442,0.6056370479312845,0.7626228233097833,0.37977143895422927,0.632202406529372,0.20240324560595835,0.240813572631966
mid_first_rel10,combined_extra_trees,211,65,0.3080568720379147,0.6099051633298209,0.4304437930451242,0.21951851739682898,0.27692307692307694,0.4186046511627907,0.5248757215007216,0.69770022271157,0.32168911926989907,0.5654957137528492,0.19478993080749427,0.24361978557376276
mid_first_rel12,clinical_ridge,225,58,0.2577777777777778,0.6348337807144331,0.34635949717612996,0.23685724819784412,0.3275862068965517,0.4222222222222222,0.5538638913803684,0.7288398637169246,0.26232801304159314,0.48355559510199264,0.2124541262194735,0.259920389635375
mid_first_rel12,clinical_plus_transmural_sparse,225,58,0.2577777777777778,0.6614701631220318,0.40409550468522104,0.22436255917352077,0.3103448275862069,0.4,0.578643547586251,0.7395778993599494,0.30227675095070444,0.5229817011791952,0.20390238164046087,0.24594449457488504
mid_first_rel12,clinical_plus_variability_sparse,225,58,0.2577777777777778,0.6451579599421846,0.3411527988471445,0.23013315841462365,0.29310344827586204,0.37777777777777777,0.5663405968785402,0.7201073401834014,0.26183317917510324,0.47111877020761783,0.2113859383069203,0.2475671395995301
mid_first_rel12,combined_extra_trees,225,58,0.2577777777777778,0.6619863720834194,0.36993276522967933,0.1917092969017074,0.3275862068965517,0.4222222222222222,0.5769637467429068,0.7384767363066046,0.27751741418744297,0.5071307513769575,0.17036696806840543,0.21692903693797488
mid_first_rel15,clinical_ridge,238,49,0.20588235294117646,0.6309253860274269,0.28946554159244087,0.23562046919296983,0.32653061224489793,0.3333333333333333,0.538612168582205,0.7205219716345036,0.20938240169987207,0.4341002914809828,0.21263355660369776,0.26033021687342045
mid_first_rel15,clinical_plus_transmural_sparse,238,49,0.20588235294117646,0.6435590109059497,0.30856830190699036,0.22942780188324355,0.2857142857142857,0.2916666666666667,0.5647908140402091,0.7240364780618685,0.23342572239869475,0.4431783045429575,0.20937874790717997,0.2502352771169403
mid_first_rel15,clinical_plus_variability_sparse,238,49,0.20588235294117646,0.6497138537954864,0.2875482547116992,0.23299725968442503,0.2857142857142857,0.2916666666666667,0.5676763351786119,0.7305478981186528,0.21875049026871732,0.40576941330024585,0.2099144706875925,0.2542184681812088
mid_first_rel15,combined_extra_trees,238,49,0.20588235294117646,0.6718496922578556,0.3131839647427732,0.16761129647413114,0.30612244897959184,0.3125,0.5864487130597754,0.7518069171466257,0.22797626827307046,0.4531037683273164,0.14433047289874368,0.19200494408620822
mid_first_rel20,clinical_ridge,262,29,0.11068702290076336,0.7120023679147551,0.2877297563412389,0.20296346673040494,0.41379310344827586,0.22641509433962265,0.605015082309659,0.8045174445220827,0.165292154668968,0.4533489683650302,0.18153014538151008,0.2273288981269022
mid_first_rel20,clinical_plus_transmural_sparse,262,29,0.11068702290076336,0.6869912683143407,0.21936898823595602,0.18700749890230026,0.3793103448275862,0.20754716981132076,0.5884511590559978,0.773671584207196,0.12638657695624075,0.37535283800484165,0.16802149623233048,0.20897772924413266
mid_first_rel20,clinical_plus_variability_sparse,262,29,0.11068702290076336,0.6424448719846085,0.22774490826868213,0.21623682965226493,0.4482758620689655,0.24528301886792453,0.5274436315285339,0.7536188780478235,0.13126029490167465,0.38607482951652,0.19747635477306258,0.23640680677303907
mid_first_rel20,combined_extra_trees,262,29,0.11068702290076336,0.5931626461447389,0.13800232000267404,0.11445686694919509,0.20689655172413793,0.11320754716981132,0.4896478567931973,0.6876580530589842,0.09219589451874768,0.23104452810384404,0.09157916868602187,0.14067273828203053
mid_roll2_rel10,clinical_ridge,194,51,0.26288659793814434,0.667900726724256,0.40388608955591,0.2237136459430688,0.3333333333333333,0.4358974358974359,0.5818933444480558,0.7424312234377265,0.30703552776109105,0.5277215560718997,0.20534958035356823,0.2433128277843226
mid_roll2_rel10,clinical_plus_transmural_sparse,194,51,0.26288659793814434,0.6406142876731111,0.3516263214855353,0.21702443131645296,0.23529411764705882,0.3076923076923077,0.5571426673247029,0.7154883532543107,0.2654511497425269,0.47652048122107216,0.1974730092063889,0.23652562954324513
mid_roll2_rel10,clinical_plus_variability_sparse,194,51,0.26288659793814434,0.5556012614836144,0.2836641489465989,0.23842509496740172,0.19607843137254902,0.2564102564102564,0.47242713861910907,0.6471605603405768,0.2082976256793503,0.3931646041243858,0.22315143346248764,0.2519253600137752
mid_roll2_rel10,combined_extra_trees,194,51,0.26288659793814434,0.5551899081310846,0.2907293995092091,0.20573539638066352,0.1568627450980392,0.20512820512820512,0.4818057826181823,0.637899924148698,0.21768220421783405,0.39901043730467767,0.18427969174959113,0.2264620847739105
