task,comparison,reference_model,candidate_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high
mid_first_rel10,remove_apex_controlled,controlled18,controlled_noapex,211,-0.006849315068493289,-0.01713565387117762,0.0036387890191132977,-0.005744438016407727,-0.02020734512541829,0.008596583164263292
mid_first_rel10,fixed_qc_controlled,controlled_noapex,controlled_fixed_qc,211,0.003582718651211847,-0.010543636500863424,0.017172889788508457,0.012847568835206602,-0.009198102477767981,0.0389024159090222
mid_first_rel10,shape_qc_controlled,controlled_noapex,controlled_shape_qc,211,0.008640674394099213,-0.005428646657242448,0.023812169312169337,0.014145788375004298,-0.009353819901765563,0.03905373914483883
mid_first_rel10,fixed_qc_all18_controlled,controlled18,controlled18_fixed_qc,211,-0.004162276080084459,-0.013784133184523853,0.006889894622917115,-0.0015254768658935491,-0.015102908725167305,0.015296875122553054
mid_first_rel10,shape_qc_all18_controlled,controlled18,controlled18_shape_qc,211,0.0025289778714435718,-0.009050365349471267,0.01603629768668839,0.008737171652171472,-0.01564121342211517,0.030694001183827258
mid_first_rel12,remove_apex_controlled,controlled18,controlled_noapex,225,-0.0038199463142679635,-0.014706636460046562,0.006463270653188605,-0.005326750917822587,-0.019384634334348613,0.00577971152576944
mid_first_rel12,fixed_qc_controlled,controlled_noapex,controlled_fixed_qc,225,0.00882717323972737,-0.002475930490274683,0.023167624826499717,0.009489022678298653,-0.013839625740635828,0.032825638388088337
mid_first_rel12,shape_qc_controlled,controlled_noapex,controlled_shape_qc,225,0.00846582696675613,-0.007065507012321004,0.02301493517283635,0.008224018915896525,-0.016945713873859583,0.02952088502804359
mid_first_rel12,fixed_qc_all18_controlled,controlled18,controlled18_fixed_qc,225,-5.162089613863774e-05,-0.009367911484504004,0.009270656479909467,-0.00027300099260169075,-0.014632725375427952,0.013325442922166203
mid_first_rel12,shape_qc_all18_controlled,controlled18,controlled18_shape_qc,225,0.006917200082593444,-0.009890357934634747,0.02167420988193052,0.005443781842570161,-0.024215109625666774,0.025299168170235815
mid_first_rel15,remove_apex_controlled,controlled18,controlled_noapex,238,-0.00291545189504383,-0.013502355592656232,0.008552232048733479,-0.006591047597280186,-0.025954690027456408,0.004304707575024208
