task,model,n,events,prevalence,roc_auc,average_precision,brier_score,sensitivity_top20pct,precision_top20pct,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high,brier_score_ci_low,brier_score_ci_high
mid_first_rel10,controlled18,211,65,0.3080568720379147,0.6430453108535301,0.40482388850984685,0.23339912013413652,0.27692307692307694,0.4186046511627907,0.5637074563117069,0.7158250239857457,0.31191647283374807,0.5416285121379478,0.22218866310404367,0.24473177971741203
mid_first_rel12,controlled18,225,58,0.2577777777777778,0.6110365475944662,0.31981335034107566,0.23973404164253562,0.25862068965517243,0.3333333333333333,0.5295571177980508,0.7068011919680154,0.2448215547951164,0.46326236829265094,0.22721523510321984,0.25062227317217256
mid_first_rel15,controlled18,238,49,0.20588235294117646,0.619263578447252,0.2707189311805371,0.23692570140576716,0.2653061224489796,0.2708333333333333,0.5270730064355619,0.7078195985789024,0.19830905063706086,0.38823548498316535,0.22567601123855816,0.2489140690031485
mid_first_rel20,controlled18,262,29,0.11068702290076336,0.7171081841053721,0.21784561783479572,0.23855574237722102,0.3793103448275862,0.20754716981132076,0.621018093452304,0.8106908598132262,0.14248067872614284,0.35786206039932933,0.2275320536042945,0.24911319334255455
mid_roll2_rel10,controlled18,194,51,0.26288659793814434,0.5812422871246401,0.3076935678342533,0.24317292666184326,0.27450980392156865,0.358974358974359,0.5018831968462054,0.6665348719096378,0.23355448995060826,0.42243614203378743,0.23626942509189103,0.24998059451466068
mid_roll2_rel12,controlled18,194,42,0.21649484536082475,0.5635964912280702,0.24891744214333344,0.24914340935178092,0.21428571428571427,0.23076923076923078,0.46606813030236016,0.6653023538961039,0.17989702332839438,0.3523364347211884,0.24188369264215018,0.2565653786761792
mid_roll2_rel15,controlled18,194,29,0.14948453608247422,0.6019853709508881,0.20207352155516708,0.24835700865190605,0.3103448275862069,0.23076923076923078,0.4813366267319259,0.7188934016273403,0.13646541927585779,0.325291357632116,0.23893563227070277,0.25790864437964217
mid_roll2_rel20,controlled18,194,13,0.06701030927835051,0.5917977050573736,0.0968232222126584,0.23611558167563942,0.15384615384615385,0.05128205128205128,0.437774417562724,0.7434193121693122,0.052245132873314545,0.23788907401347356,0.2221351287897478,0.24943081762880354
mid_first_rel10,controlled_noapex,211,65,0.3080568720379147,0.6361959957850368,0.3990794504934391,0.23394321125213202,0.2923076923076923,0.4418604651162791,0.5541075072045596,0.7240029049897471,0.3060082912041481,0.5518674720031256,0.22223680860223788,0.2461380692605488
mid_first_rel12,controlled_noapex,225,58,0.2577777777777778,0.6072166012801983,0.3144865994232531,0.23976212485512305,0.22413793103448276,0.28888888888888886,0.5160429611439231,0.6923288773796192,0.23791419809477776,0.44403847607225133,0.2284562556162919,0.25210443825743445
