policy,analysis_id,layer,curves,accepted_curves,accepted_fraction
noapex,AutoStrainCap_1137189-5_20260707_113408,endo,12,12,1.0
noapex,AutoStrainCap_1137189-5_20260707_113408,mid,12,12,1.0
noapex,AutoStrainCap_1137189-5_20260707_114151,endo,12,12,1.0
noapex,AutoStrainCap_1137189-5_20260707_114151,mid,12,12,1.0
noapex,AutoStrainCap_1137189-5_20260707_114424,endo,12,12,1.0
noapex,AutoStrainCap_1137189-5_20260707_114424,mid,12,12,1.0
noapex,AutoStrainCap_1137189-5_20260707_114650,endo,12,12,1.0
noapex,AutoStrainCap_1137189-5_20260707_114650,mid,12,12,1.0
noapex,AutoStrainCap_1223278-1_20260705_171815,endo,12,12,1.0
noapex,AutoStrainCap_1223278-1_20260705_171815,mid,12,12,1.0
noapex,AutoStrainCap_1223278-1_20260705_172202,endo,12,12,1.0
noapex,AutoStrainCap_1223278-1_20260705_172202,mid,12,12,1.0
noapex,AutoStrainCap_1223278-1_20260705_172425,endo,12,12,1.0
noapex,AutoStrainCap_1223278-1_20260705_172425,mid,12,12,1.0
noapex,AutoStrainCap_1223278-1_20260705_172635,endo,12,12,1.0
noapex,AutoStrainCap_1223278-1_20260705_172635,mid,12,12,1.0
noapex,AutoStrainCap_1724395-7_20260707_104735,endo,12,12,1.0
noapex,AutoStrainCap_1724395-7_20260707_104735,mid,12,12,1.0
noapex,AutoStrainCap_1724395-7_20260707_105012,endo,12,12,1.0
noapex,AutoStrainCap_1724395-7_20260707_105012,mid,12,12,1.0
noapex,AutoStrainCap_1724395-7_20260707_105432,endo,12,12,1.0
noapex,AutoStrainCap_1724395-7_20260707_105432,mid,12,12,1.0
noapex,AutoStrainCap_1724395-7_20260707_105822,endo,12,12,1.0
noapex,AutoStrainCap_1724395-7_20260707_105822,mid,12,12,1.0
noapex,AutoStrainCap_1744250-0_20260703_143607,endo,12,12,1.0
noapex,AutoStrainCap_1744250-0_20260703_143607,mid,12,12,1.0
noapex,AutoStrainCap_1744250-0_20260703_143906,endo,12,12,1.0
noapex,AutoStrainCap_1744250-0_20260703_143906,mid,12,12,1.0
noapex,AutoStrainCap_1744250-0_20260703_144142,endo,12,12,1.0
noapex,AutoStrainCap_1744250-0_20260703_144142,mid,12,12,1.0
noapex,AutoStrainCap_1744250-0_20260703_144157,endo,12,12,1.0
noapex,AutoStrainCap_1744250-0_20260703_144157,mid,12,12,1.0
noapex,AutoStrainCap_2170348-3_20260707_143235,endo,12,12,1.0
noapex,AutoStrainCap_2170348-3_20260707_143235,mid,12,12,1.0
noapex,AutoStrainCap_2170348-3_20260707_143611,endo,12,12,1.0
noapex,AutoStrainCap_2170348-3_20260707_143611,mid,12,12,1.0
noapex,AutoStrainCap_2170348-3_20260707_143837,endo,12,12,1.0
noapex,AutoStrainCap_2170348-3_20260707_143837,mid,12,12,1.0
