policy,feature_set,feature
noapex,clinical,history_visits
noapex,clinical,days_since_first
noapex,clinical,days_since_previous
noapex,clinical,has_previous_visit
noapex,clinical,current_mid_gls
noapex,clinical,current_endo_gls
noapex,clinical,current_ef
noapex,clinical,first_mid_gls
noapex,clinical,first_endo_gls
noapex,clinical,first_ef
noapex,clinical,current_mid_decline_from_first
noapex,clinical,current_endo_decline_from_first
noapex,clinical,current_ef_decline_from_first
noapex,clinical,last_mid_relative_change
noapex,clinical,last_endo_relative_change
noapex,clinical,last_ef_relative_change
noapex,clinical,mid_decline_slope_per_100d
noapex,clinical,endo_decline_slope_per_100d
noapex,clinical,ef_decline_slope_per_100d
noapex,clinical,current_endo_mid_gap
noapex,clinical,last_endo_mid_gap_change
noapex,clinical,current_mid_decline_from_roll2
noapex,clinical,current_endo_decline_from_roll2
noapex,clinical,current_ef_decline_from_roll2
noapex,clinical,current_mid_decline_from_roll3
noapex,clinical,current_endo_decline_from_roll3
noapex,clinical,current_ef_decline_from_roll3
noapex,clinical_plus_transmural,history_visits
noapex,clinical_plus_transmural,days_since_first
noapex,clinical_plus_transmural,days_since_previous
noapex,clinical_plus_transmural,has_previous_visit
noapex,clinical_plus_transmural,current_mid_gls
noapex,clinical_plus_transmural,current_endo_gls
noapex,clinical_plus_transmural,current_ef
noapex,clinical_plus_transmural,first_mid_gls
noapex,clinical_plus_transmural,first_endo_gls
noapex,clinical_plus_transmural,first_ef
noapex,clinical_plus_transmural,current_mid_decline_from_first
noapex,clinical_plus_transmural,current_endo_decline_from_first
noapex,clinical_plus_transmural,current_ef_decline_from_first
noapex,clinical_plus_transmural,last_mid_relative_change
noapex,clinical_plus_transmural,last_endo_relative_change
noapex,clinical_plus_transmural,last_ef_relative_change
noapex,clinical_plus_transmural,mid_decline_slope_per_100d
noapex,clinical_plus_transmural,endo_decline_slope_per_100d
noapex,clinical_plus_transmural,ef_decline_slope_per_100d
noapex,clinical_plus_transmural,current_endo_mid_gap
noapex,clinical_plus_transmural,last_endo_mid_gap_change
noapex,clinical_plus_transmural,current_mid_decline_from_roll2
noapex,clinical_plus_transmural,current_endo_decline_from_roll2
noapex,clinical_plus_transmural,current_ef_decline_from_roll2
noapex,clinical_plus_transmural,current_mid_decline_from_roll3
noapex,clinical_plus_transmural,current_endo_decline_from_roll3
noapex,clinical_plus_transmural,current_ef_decline_from_roll3
noapex,clinical_plus_transmural,cur_tm_paired_segments
noapex,clinical_plus_transmural,d_tm_paired_segments
noapex,clinical_plus_transmural,cur_tm_peak_layer_correlation
noapex,clinical_plus_transmural,d_tm_peak_layer_correlation
noapex,clinical_plus_transmural,cur_tm_ttp_layer_correlation
noapex,clinical_plus_transmural,d_tm_ttp_layer_correlation
noapex,clinical_plus_transmural,cur_tm_fraction_endo_peak_gt_mid
noapex,clinical_plus_transmural,d_tm_fraction_endo_peak_gt_mid
noapex,clinical_plus_transmural,cur_tm_fraction_ttp_discordant_gt_5pct_cycle
noapex,clinical_plus_transmural,d_tm_fraction_ttp_discordant_gt_5pct_cycle
noapex,clinical_plus_transmural,cur_tm_peak_gap_mean
noapex,clinical_plus_transmural,d_tm_peak_gap_mean
noapex,clinical_plus_transmural,cur_tm_peak_gap_median
noapex,clinical_plus_transmural,d_tm_peak_gap_median
noapex,clinical_plus_transmural,cur_tm_peak_gap_std
noapex,clinical_plus_transmural,d_tm_peak_gap_std
noapex,clinical_plus_transmural,cur_tm_peak_gap_robust_sd
noapex,clinical_plus_transmural,d_tm_peak_gap_robust_sd
noapex,clinical_plus_transmural,cur_tm_peak_gap_iqr
noapex,clinical_plus_transmural,d_tm_peak_gap_iqr
noapex,clinical_plus_transmural,cur_tm_peak_ratio_mean
noapex,clinical_plus_transmural,d_tm_peak_ratio_mean
noapex,clinical_plus_transmural,cur_tm_peak_ratio_median
