task,model,reference_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high,delta_brier_score,delta_brier_score_ci_low,delta_brier_score_ci_high
mid_first_rel10,original18__transmural_sparse,clinical_ridge,211,-0.003898840885142252,-0.05762652840117614,0.048571937684553645,-0.001802409728169474,-0.0663845332537213,0.058595415920393655,-0.0032351960449082673,-0.017957521766924108,0.011644808652567604
mid_first_rel10,original18__variability_sparse,clinical_ridge,211,-0.008219178082191747,-0.04702037469043102,0.033224837772726494,0.0023443967550967337,-0.049536435475269806,0.055379420410929116,-0.0024082073925607572,-0.014388451976241298,0.009208480596578687
mid_first_rel10,original18__combined_trees,clinical_ridge,211,-0.08040042149631188,-0.15141646384030488,-0.009072348443568202,-0.051340700364907066,-0.1612244178813071,0.04239320525772873,-0.0033596705239895552,-0.024313038978994575,0.01951589094720634
mid_first_rel10,original18__gpu_curve_net,clinical_ridge,211,-0.06654373024236049,-0.14524746093750004,0.017122870970680038,-0.06489771424310509,-0.16769960437079529,0.04599195097332003,0.006923557115473017,-0.015035511003330506,0.027934797177587026
mid_first_rel10,noapex__transmural_sparse,clinical_ridge,211,0.0031612223393044925,-0.05003924577128671,0.05895423825001285,0.05699866052489544,-0.03432371027014455,0.12638469107505115,-0.004006891940043306,-0.018126443735651202,0.009069391469669168
mid_first_rel10,noapex__variability_sparse,clinical_ridge,211,0.028977871443624847,-0.026390827287606777,0.08505252085721322,0.04268348511866438,-0.060517448575157194,0.13949675219003785,-0.006307388776901457,-0.021371604198481022,0.008524260882495086
mid_first_rel10,noapex__combined_trees,clinical_ridge,211,-0.04963119072708122,-0.12374443349208265,0.017816139985185893,-0.041620383852854714,-0.15215654672244902,0.06397720159352697,-0.009846653234333341,-0.032861586930130304,0.015229108629099264
mid_first_rel10,noapex__gpu_curve_net,clinical_ridge,211,-0.1012118018967334,-0.18487810973847105,-0.012054574716510896,-0.09724698311263835,-0.23093558162530947,0.024394313448537305,0.01730858938257504,-0.005442986071930848,0.03811225321907562
mid_first_rel10,noapex_fixed_qc__transmural_sparse,clinical_ridge,211,0.0036880927291886856,-0.047967113906910684,0.05743816130614526,0.052234771185650786,-0.024386536998660387,0.11900077846325485,-0.004408082795090307,-0.020075084289309618,0.00901538072823505
mid_first_rel10,noapex_fixed_qc__variability_sparse,clinical_ridge,211,0.017597471022128497,-0.03883839131434793,0.07327868771322003,0.02307637840399457,-0.07700461892391143,0.11004567497871616,-0.007454264382969977,-0.023691518496547857,0.009529296445176427
