task,model,n,events,prevalence,roc_auc,average_precision,brier_score,sensitivity_top20pct,precision_top20pct,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high,brier_score_ci_low,brier_score_ci_high
mid_first_rel10,clinical_ridge,211,65,0.3080568720379147,0.6903055848261328,0.48178449341003127,0.22287818792081854,0.36923076923076925,0.5581395348837209,0.5968088878598306,0.7707149619283782,0.36510892351093094,0.6253373930548175,0.19950917837439203,0.24791128142959445
mid_first_rel12,clinical_ridge,225,58,0.2577777777777778,0.6348337807144331,0.34635949717612996,0.23685724819784412,0.3275862068965517,0.4222222222222222,0.5436270801845378,0.7208318210713709,0.2533386229006985,0.4940420664583654,0.21197660106648208,0.2607195866861158
mid_first_rel15,clinical_ridge,238,49,0.20588235294117646,0.6309253860274269,0.28946554159244087,0.23562046919296983,0.32653061224489793,0.3333333333333333,0.5435871719619938,0.7281731014555364,0.2136209072599333,0.4308778678053731,0.20973751679051936,0.26083028339542647
mid_first_rel20,clinical_ridge,262,29,0.11068702290076336,0.7120023679147551,0.2877297563412389,0.20296346673040494,0.41379310344827586,0.22641509433962265,0.6176367606421976,0.8070897950840946,0.17069590028504436,0.45811860076586985,0.1800691681494496,0.22535111395143065
mid_roll2_rel10,clinical_ridge,194,51,0.26288659793814434,0.667900726724256,0.40388608955591,0.2237136459430688,0.3333333333333333,0.4358974358974359,0.5852050120772947,0.7463781889567421,0.3142910613886718,0.5466963443052345,0.20436961625811542,0.24227838609760413
mid_roll2_rel12,clinical_ridge,194,42,0.21649484536082475,0.6011904761904763,0.2698710746347459,0.23288525628649412,0.21428571428571427,0.23076923076923078,0.5065863740131049,0.6858591492971962,0.1962017672586505,0.3932381108204219,0.21557200103338384,0.25225292188226056
mid_roll2_rel15,clinical_ridge,194,29,0.14948453608247422,0.5801462904911181,0.21207481912083048,0.23369508503324662,0.2413793103448276,0.1794871794871795,0.45686537755757406,0.6827936609426379,0.12953161636292898,0.360627677271896,0.21828829967835775,0.2507511550883776
mid_roll2_rel20,clinical_ridge,194,13,0.06701030927835051,0.5826604334891629,0.1273004596076186,0.1994861006984473,0.23076923076923078,0.07692307692307693,0.4357429788213628,0.7510547119346002,0.05136632362908149,0.32934889772428727,0.18278735703937538,0.21569689927146996
mid_first_rel10,original18__transmural_sparse,211,65,0.3080568720379147,0.6864067439409905,0.4799820836818618,0.21964299187591027,0.38461538461538464,0.5813953488372093,0.6035346597846597,0.7614348193055724,0.37502467580016746,0.6151455044721685,0.2002325637339877,0.24151404233324844
mid_first_rel10,original18__variability_sparse,211,65,0.3080568720379147,0.682086406743941,0.484128890165128,0.22046998052825778,0.3384615384615385,0.5116279069767442,0.601233855861185,0.7608321792773513,0.3702155221434773,0.629754092423,0.20063465189694923,0.23992344384574765
mid_first_rel10,original18__combined_trees,211,65,0.3080568720379147,0.6099051633298209,0.4304437930451242,0.21951851739682898,0.27692307692307694,0.4186046511627907,0.5232890869051583,0.6980577070924867,0.32428781660454664,0.562042129082296,0.19428837982077451,0.24464278564305336
mid_first_rel12,original18__transmural_sparse,225,58,0.2577777777777778,0.6614701631220318,0.40409550468522104,0.22436255917352077,0.3103448275862069,0.4,0.5813365446371227,0.7418773566587745,0.3016107750369323,0.5386016273056046,0.2042933962297857,0.2444092429309217
mid_first_rel12,original18__variability_sparse,225,58,0.2577777777777778,0.6451579599421846,0.3411527988471445,0.23013315841462365,0.29310344827586204,0.37777777777777777,0.5579207368078755,0.7248165976711559,0.26324619277941075,0.48224492526529184,0.20995161190638797,0.24911107783477635
mid_first_rel12,original18__combined_trees,225,58,0.2577777777777778,0.6619863720834194,0.36993276522967933,0.1917092969017074,0.3275862068965517,0.4222222222222222,0.5754381047003997,0.7396948198131716,0.27640694943360783,0.50026225793595,0.1705425037273077,0.21605423535106305
mid_first_rel15,original18__transmural_sparse,238,49,0.20588235294117646,0.6435590109059497,0.30856830190699036,0.22942780188324355,0.2857142857142857,0.2916666666666667,0.5635930858205545,0.7249045600150744,0.226885387132911,0.4552407422855543,0.21043954811085275,0.2497630679431155
mid_first_rel15,original18__variability_sparse,238,49,0.20588235294117646,0.6497138537954864,0.2875482547116992,0.23299725968442503,0.2857142857142857,0.2916666666666667,0.5600310799995674,0.7341208987678969,0.21545307930419838,0.4019212924455312,0.21109182763284917,0.25641440374764346
mid_first_rel15,original18__combined_trees,238,49,0.20588235294117646,0.6718496922578556,0.3131839647427732,0.16761129647413114,0.30612244897959184,0.3125,0.5912086219010338,0.7524138285799797,0.23401088573093284,0.44896392993906525,0.14467734522202183,0.19330039699858498
mid_first_rel20,original18__transmural_sparse,262,29,0.11068702290076336,0.6869912683143407,0.21936898823595602,0.18700749890230026,0.3793103448275862,0.20754716981132076,0.589304066985646,0.7792834084084085,0.13051572083429755,0.39292769447791825,0.1653825700405639,0.20765522887528254
mid_first_rel20,original18__variability_sparse,262,29,0.11068702290076336,0.6424448719846085,0.22774490826868213,0.21623682965226493,0.4482758620689655,0.24528301886792453,0.528256640085558,0.7482619092407096,0.1280994926504739,0.3867470908530746,0.19443661786660635,0.23549778284185582
mid_first_rel20,original18__combined_trees,262,29,0.11068702290076336,0.5931626461447389,0.13800232000267404,0.11445686694919509,0.20689655172413793,0.11320754716981132,0.4910479435240817,0.6820369977362761,0.09022501987683094,0.2329864130803865,0.09234006186249266,0.13995801949327158
mid_roll2_rel10,original18__transmural_sparse,194,51,0.26288659793814434,0.6406142876731111,0.3516263214855353,0.21702443131645296,0.23529411764705882,0.3076923076923077,0.5602706940294968,0.7087310213940649,0.26422358057866724,0.4764445483534361,0.19970727446401,0.23504395609011394
mid_roll2_rel10,original18__variability_sparse,194,51,0.26288659793814434,0.5556012614836144,0.2836641489465989,0.23842509496740172,0.19607843137254902,0.2564102564102564,0.4657838301887617,0.6385289818917791,0.20932931221869053,0.3892342735834726,0.22511836474838753,0.2517802010339167
mid_roll2_rel10,original18__combined_trees,194,51,0.26288659793814434,0.5551899081310846,0.2907293995092091,0.20573539638066352,0.1568627450980392,0.20512820512820512,0.4782615493166964,0.6272650874391277,0.216569805671961,0.3907062229036203,0.18523437531564568,0.22825654076250418
mid_roll2_rel12,original18__transmural_sparse,194,42,0.21649484536082475,0.5769110275689223,0.24648547891648628,0.22026656990669524,0.19047619047619047,0.20512820512820512,0.4823692375886524,0.6630044334975369,0.17784323214799735,0.36085158226478736,0.20262059495579432,0.23833492845987336
mid_roll2_rel12,original18__variability_sparse,194,42,0.21649484536082475,0.5422932330827067,0.23477164068864348,0.2345004372238852,0.19047619047619047,0.20512820512820512,0.44543927220010815,0.6430842475386779,0.17015117570831778,0.33444553247204,0.2208047350310804,0.24748089826453087
mid_roll2_rel12,original18__combined_trees,194,42,0.21649484536082475,0.5578007518796992,0.2537706557325665,0.18563162601889155,0.16666666666666666,0.1794871794871795,0.4727723121188376,0.6450094906972734,0.17659020950375634,0.3588058225388427,0.16450789144541528,0.21003962254915687
mid_roll2_rel15,original18__transmural_sparse,194,29,0.14948453608247422,0.5801462904911181,0.18949196659507422,0.20842729512048538,0.2413793103448276,0.1794871794871795,0.466403819343154,0.6963590948928372,0.12955210351700877,0.3180558528527457,0.187827958095235,0.23012241629320646
mid_roll2_rel15,original18__variability_sparse,194,29,0.14948453608247422,0.5009404388714733,0.14915536326180107,0.22829973094554193,0.13793103448275862,0.10256410256410256,0.3987076271186441,0.610725467109444,0.10386717107960837,0.2199761629523241,0.21289587581054498,0.24388886629844997
mid_roll2_rel15,original18__combined_trees,194,29,0.14948453608247422,0.5636363636363637,0.20597413441858453,0.13995132458725043,0.27586206896551724,0.20512820512820512,0.4575051604507373,0.6839353601294457,0.1310148684189588,0.3658135012015695,0.11682359984644079,0.16494068487726854
mid_roll2_rel20,original18__transmural_sparse,194,13,0.06701030927835051,0.5992350191245219,0.09793285431832338,0.1621784752501511,0.23076923076923078,0.07692307692307693,0.43375204650159277,0.7540145944741533,0.04768111419916022,0.23363353107550044,0.1409796528619951,0.18690559485674987
mid_roll2_rel20,original18__variability_sparse,194,13,0.06701030927835051,0.43136421589460267,0.059355636158277235,0.20359002016301492,0.07692307692307693,0.02564102564102564,0.288810861423221,0.5856332464078475,0.03357347601665252,0.1067963298888898,0.18303202428443296,0.22476157152183113
mid_roll2_rel20,original18__combined_trees,194,13,0.06701030927835051,0.39481512962175946,0.05664724864805305,0.07881420327498537,0.07692307692307693,0.02564102564102564,0.24800166237666238,0.5471109083094209,0.03389946029749184,0.1075697016679206,0.05475911297279536,0.10608458125110776
mid_first_rel10,original18__gpu_curve_net,211,65,0.3080568720379147,0.6237618545837723,0.4168867791669262,0.22980174503629155,0.27692307692307694,0.4186046511627907,0.5494473673953906,0.7005387217194954,0.31968196704090057,0.5488194984848073,0.21506360894347426,0.24281873509631544
mid_first_rel12,original18__gpu_curve_net,225,58,0.2577777777777778,0.6417509807970267,0.3496563833002575,0.2263986852615971,0.27586206896551724,0.35555555555555557,0.5621571778594829,0.717163883265857,0.26391829040043424,0.48168742509526763,0.21067733017812462,0.2406656268731929
mid_first_rel15,original18__gpu_curve_net,238,49,0.20588235294117646,0.6641831335708888,0.30181641080857063,0.225532084131755,0.2857142857142857,0.2916666666666667,0.5815747480403136,0.7373644196503312,0.22102688680325647,0.4320360225260654,0.20931622935237848,0.2412894721064775
mid_first_rel20,original18__gpu_curve_net,262,29,0.11068702290076336,0.6015243451235756,0.14882697215273039,0.23262360144927682,0.27586206896551724,0.1509433962264151,0.4966026007407029,0.7053216175359033,0.09635432659228316,0.2639690692688267,0.2179319852019299,0.2480779870509165
mid_roll2_rel10,original18__gpu_curve_net,194,51,0.26288659793814434,0.5251611133964075,0.2855682487357294,0.24751304423266904,0.17647058823529413,0.23076923076923078,0.43385887218737257,0.6122628501143671,0.20450130889003548,0.4033281219907034,0.2364144314070195,0.25992640381196036
mid_roll2_rel12,original18__gpu_curve_net,194,42,0.21649484536082475,0.5347744360902256,0.23821016850445148,0.2469249288535924,0.19047619047619047,0.20512820512820512,0.4408263684261583,0.6256428196278512,0.17310988643874364,0.3421977866990242,0.23642572525824934,0.2582728469728464
mid_roll2_rel15,original18__gpu_curve_net,194,29,0.14948453608247422,0.5367816091954023,0.16644204623410108,0.23909376194046647,0.13793103448275862,0.10256410256410256,0.43809159401834985,0.6369927788557596,0.1134648664097458,0.2806130719238291,0.22736239502113967,0.2503686090875152
mid_roll2_rel20,original18__gpu_curve_net,194,13,0.06701030927835051,0.527836804079898,0.07401041136664545,0.21911748041705564,0.07692307692307693,0.02564102564102564,0.3867020160554644,0.6584928929765884,0.04054939155133044,0.14488785049277025,0.2052840798031356,0.23333585318714348
mid_first_rel10,noapex__transmural_sparse,211,65,0.3080568720379147,0.6934668071654373,0.5387831539349267,0.21887129598077523,0.35384615384615387,0.5348837209302325,0.6136250254570395,0.7697941392702193,0.4237995065472626,0.6551209571140799,0.19989737793856155,0.23853854090743098
mid_first_rel10,noapex__variability_sparse,211,65,0.3080568720379147,0.7192834562697576,0.5244679785286956,0.21657079914391708,0.38461538461538464,0.5813953488372093,0.6443060915704477,0.7900367505975548,0.4180964809065424,0.6588830009420936,0.19866555947788508,0.2370734895430263
mid_first_rel10,noapex__combined_trees,211,65,0.3080568720379147,0.6406743940990516,0.44016410955717655,0.2130315346864852,0.35384615384615387,0.5348837209302325,0.5553740713420672,0.7221893515423862,0.3445048871276313,0.5779099340166575,0.18845756044061537,0.2400965585667127
mid_first_rel12,noapex__transmural_sparse,225,58,0.2577777777777778,0.607474705760892,0.3421072599124707,0.23743621410245477,0.25862068965517243,0.3333333333333333,0.5249868363944578,0.695251169577285,0.2602504945657287,0.46202790972972635,0.2154375604582021,0.2588576637055682
mid_first_rel12,noapex__variability_sparse,225,58,0.2577777777777778,0.6269874045013422,0.33033854841889765,0.2371641797049,0.2413793103448276,0.3111111111111111,0.5442123822881185,0.7132489444801423,0.2589133247167872,0.45679018360236356,0.21927199586465465,0.25562568040470374
mid_first_rel12,noapex__combined_trees,225,58,0.2577777777777778,0.5943629981416477,0.31040337265359086,0.20549239718397805,0.27586206896551724,0.35555555555555557,0.5088385821486583,0.6818596116486453,0.2414032274166486,0.4300611733347414,0.17958715516932783,0.23022276476341555
mid_first_rel15,noapex__transmural_sparse,238,49,0.20588235294117646,0.6183997408487204,0.290286305306364,0.23106030039966455,0.24489795918367346,0.25,0.5273538318843846,0.7053549142743222,0.21531017313054923,0.4052206523917872,0.2099064532969108,0.2541542959743638
mid_first_rel15,noapex__variability_sparse,238,49,0.20588235294117646,0.6095454054637729,0.2530512525999613,0.24140206599315192,0.22448979591836735,0.22916666666666666,0.5103946706887884,0.7090876775389643,0.19070045284824386,0.36933332739184294,0.2174328829720803,0.26434462789434765
mid_first_rel15,noapex__combined_trees,238,49,0.20588235294117646,0.6107331821617537,0.285769114948477,0.1771962535995682,0.32653061224489793,0.3333333333333333,0.5108144750243933,0.7014472587587334,0.2067934818692875,0.4127671178770146,0.15344498422814296,0.2044219127638549
mid_first_rel20,noapex__transmural_sparse,262,29,0.11068702290076336,0.6809234867544769,0.25742266209634723,0.19149812859648768,0.4482758620689655,0.24528301886792453,0.5624582951576232,0.7844842534695744,0.14743356659570053,0.42360519364163596,0.1698781443736566,0.21554406317028724
