task,comparison,reference_model,candidate_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high
mid_first_rel10,remove_apex__transmural_sparse,original18__transmural_sparse,noapex__transmural_sparse,211,0.007060063224446744,-0.04577262470348577,0.060198495506714765,0.05880107025306491,-0.027898610045216456,0.13086094493936165
mid_first_rel10,fixed_qc_vs_noapex__transmural_sparse,noapex__transmural_sparse,noapex_fixed_qc__transmural_sparse,211,0.0005268703898841931,-0.02828093634973437,0.03011322783177095,-0.0047638893392446535,-0.047997450655636,0.044234046120968804
mid_first_rel10,shape_qc_vs_noapex__transmural_sparse,noapex__transmural_sparse,noapex_shape_qc__transmural_sparse,211,-0.03414120126448883,-0.07723638805101829,0.007998618605236471,-0.10039945178467097,-0.1618999410706424,-0.03055865145953833
mid_first_rel10,remove_apex__variability_sparse,original18__variability_sparse,noapex__variability_sparse,211,0.037197049525816595,-0.009289305730509944,0.09127497236182366,0.04033908836356764,-0.058988537018779354,0.14598952317438432
mid_first_rel10,fixed_qc_vs_noapex__variability_sparse,noapex__variability_sparse,noapex_fixed_qc__variability_sparse,211,-0.01138040042149635,-0.03792436512728257,0.013427267847557751,-0.01960710671466981,-0.06051232840459136,0.019565796719426775
mid_first_rel10,shape_qc_vs_noapex__variability_sparse,noapex__variability_sparse,noapex_shape_qc__variability_sparse,211,-0.023814541622760865,-0.047060729940702505,0.00032491089246975704,-0.04785547224043862,-0.09400004276166404,-0.004398371427669508
mid_first_rel10,remove_apex__combined_trees,original18__combined_trees,noapex__combined_trees,211,0.03076923076923066,-0.012480025733233485,0.07377425290472744,0.009720316512052352,-0.04620981338589692,0.08092060565750388
mid_first_rel10,fixed_qc_vs_noapex__combined_trees,noapex__combined_trees,noapex_fixed_qc__combined_trees,211,-0.013698630136986134,-0.05225765229592585,0.02075724270013006,-0.003951333330718565,-0.05480996263931118,0.05420494957133759
mid_first_rel10,shape_qc_vs_noapex__combined_trees,noapex__combined_trees,noapex_shape_qc__combined_trees,211,-0.026975763962065247,-0.06648206640047138,0.010798672241784104,-0.02036773211643661,-0.07518923574628393,0.023694523311303527
mid_first_rel10,remove_apex__gpu_curve_net,original18__gpu_curve_net,noapex__gpu_curve_net,211,-0.03466807165437291,-0.09912926113155947,0.028677969590406693,-0.032349268869533265,-0.12646853930825555,0.053459271188785885
mid_first_rel10,fixed_qc_vs_noapex__gpu_curve_net,noapex__gpu_curve_net,noapex_fixed_qc__gpu_curve_net,211,0.014172813487881908,-0.033056030122777025,0.059031573991928585,0.0040442539933501775,-0.04253055996149948,0.06621173317279341
mid_first_rel10,shape_qc_vs_noapex__gpu_curve_net,noapex__gpu_curve_net,noapex_shape_qc__gpu_curve_net,211,-0.00010537407797694964,-0.059945639125061075,0.06315118012422362,0.007649403758812068,-0.05606190971815164,0.07954928380337853
mid_first_rel12,remove_apex__transmural_sparse,original18__transmural_sparse,noapex__transmural_sparse,225,-0.053995457361139754,-0.11488267798158694,0.0023440702129554594,-0.061988244772750334,-0.1490250947501943,0.008452928665137227
mid_first_rel12,fixed_qc_vs_noapex__transmural_sparse,noapex__transmural_sparse,noapex_fixed_qc__transmural_sparse,225,-0.030353086929589046,-0.06302633296638782,-0.0019082623259093004,-0.029387460354117156,-0.060190837020123004,0.006615851381029014
mid_first_rel12,shape_qc_vs_noapex__transmural_sparse,noapex__transmural_sparse,noapex_shape_qc__transmural_sparse,225,-0.0359281437125748,-0.07715024741340538,0.003536941367508989,-0.04154980268197561,-0.09338394655670404,0.0012559501668263598
mid_first_rel12,remove_apex__variability_sparse,original18__variability_sparse,noapex__variability_sparse,225,-0.01817055544084245,-0.06363095088294131,0.02832947435188193,-0.010814250428246852,-0.06111041724155539,0.03832601003108823
mid_first_rel12,fixed_qc_vs_noapex__variability_sparse,noapex__variability_sparse,noapex_fixed_qc__variability_sparse,225,-0.0029940119760479833,-0.029195478659905093,0.02174856222682318,0.0004264159293834724,-0.03449748724471616,0.02655634430372511
mid_first_rel12,shape_qc_vs_noapex__variability_sparse,noapex__variability_sparse,noapex_shape_qc__variability_sparse,225,-0.010117695643196423,-0.050717081214240345,0.02623031862518587,-0.0013567411959913844,-0.04170097041957416,0.045733985873223214
mid_first_rel12,remove_apex__combined_trees,original18__combined_trees,noapex__combined_trees,225,-0.06762337394177165,-0.10639121437105296,-0.02807275162257517,-0.05952939257608847,-0.12394738211530205,-0.012418594752089814
mid_first_rel12,fixed_qc_vs_noapex__combined_trees,noapex__combined_trees,noapex_fixed_qc__combined_trees,225,-0.011150113565971398,-0.039376476794378806,0.014044879223768916,-0.004716248996479322,-0.03584188848286768,0.018353592902656996
mid_first_rel12,shape_qc_vs_noapex__combined_trees,noapex__combined_trees,noapex_shape_qc__combined_trees,225,-0.03727028701218249,-0.07317896709025748,0.0021032767498370603,-0.01405113665335439,-0.051733175637744405,0.025290245715672198
mid_first_rel12,remove_apex__gpu_curve_net,original18__gpu_curve_net,noapex__gpu_curve_net,225,-0.059776997728680614,-0.13092491195245426,0.009785605174835068,-0.040343295869580964,-0.13435503878435573,0.03870138458542689
mid_first_rel12,fixed_qc_vs_noapex__gpu_curve_net,noapex__gpu_curve_net,noapex_fixed_qc__gpu_curve_net,225,-0.020132149494115348,-0.06991539311902469,0.023514574992259764,-0.0030916196547256525,-0.04379140066933138,0.039937638573520916
mid_first_rel12,shape_qc_vs_noapex__gpu_curve_net,noapex__gpu_curve_net,noapex_shape_qc__gpu_curve_net,225,-0.03107577947553175,-0.08433886200852168,0.02381880114213732,-0.015128410318263952,-0.07442150510733522,0.04371020876568117
mid_first_rel15,remove_apex__transmural_sparse,original18__transmural_sparse,noapex__transmural_sparse,238,-0.025159270057229288,-0.09999071452956597,0.0396817636145367,-0.01828199660062635,-0.11327920290305535,0.07318240176777811
mid_first_rel15,fixed_qc_vs_noapex__transmural_sparse,noapex__transmural_sparse,noapex_fixed_qc__transmural_sparse,238,-0.01652089407191437,-0.05450512069192535,0.025397543913398473,-0.03617904130784366,-0.09899015883748816,0.0030726883183306675
mid_first_rel15,shape_qc_vs_noapex__transmural_sparse,noapex__transmural_sparse,noapex_shape_qc__transmural_sparse,238,0.00799049778641614,-0.04113496897913143,0.059195578231292414,0.007219800963766676,-0.06420587857271515,0.07734654707074125
mid_first_rel15,remove_apex__variability_sparse,original18__variability_sparse,noapex__variability_sparse,238,-0.04016844833171351,-0.08959452581554868,0.010840137573700243,-0.034497002111737896,-0.09380437257082788,0.021403117922939682
mid_first_rel15,fixed_qc_vs_noapex__variability_sparse,noapex__variability_sparse,noapex_fixed_qc__variability_sparse,238,-0.019220386567325387,-0.04609762701245832,0.005716197303208342,-0.011964364061251204,-0.04046478626189792,0.007037511002619114
mid_first_rel15,shape_qc_vs_noapex__variability_sparse,noapex__variability_sparse,noapex_shape_qc__variability_sparse,238,0.003131411294676534,-0.030185118516138424,0.03493300110640562,0.0012651935470853748,-0.02796559134290866,0.02612869490859483
mid_first_rel15,remove_apex__combined_trees,original18__combined_trees,noapex__combined_trees,238,-0.06111651009610197,-0.11904985179367086,-0.004528473912415762,-0.027414849794296203,-0.10338713241425068,0.036830426762480446
mid_first_rel15,fixed_qc_vs_noapex__combined_trees,noapex__combined_trees,noapex_fixed_qc__combined_trees,238,-0.005291005291005346,-0.0351947173890957,0.021239031168327913,-0.006578778084772918,-0.04140799726155936,0.02658027122911563
mid_first_rel15,shape_qc_vs_noapex__combined_trees,noapex__combined_trees,noapex_shape_qc__combined_trees,238,-0.0006478781988985549,-0.031577410854883,0.03316871346528572,-0.013242122902789977,-0.052087521675261594,0.02361827935764351
mid_first_rel15,remove_apex__gpu_curve_net,original18__gpu_curve_net,noapex__gpu_curve_net,238,-0.10868156786524141,-0.18877713447074518,-0.036123543549530464,-0.0683920100325863,-0.15681144475239234,0.005396132442313672
mid_first_rel15,fixed_qc_vs_noapex__gpu_curve_net,noapex__gpu_curve_net,noapex_fixed_qc__gpu_curve_net,238,0.011661807580174988,-0.034136823396641015,0.06096363298796767,0.014435888512213446,-0.019500932058986523,0.05828016279178017
mid_first_rel15,shape_qc_vs_noapex__gpu_curve_net,noapex__gpu_curve_net,noapex_shape_qc__gpu_curve_net,238,0.03206997084548102,-0.02010862605417466,0.08687692428465402,0.022313700983163015,-0.025880494720368685,0.08032520128926048
mid_first_rel20,remove_apex__transmural_sparse,original18__transmural_sparse,noapex__transmural_sparse,262,-0.006067781559863761,-0.08670516301111142,0.0670526861033002,0.03805367386039121,-0.0775482782348615,0.14096785779942483
mid_first_rel20,fixed_qc_vs_noapex__transmural_sparse,noapex__transmural_sparse,noapex_fixed_qc__transmural_sparse,262,-0.0355187213260324,-0.0702033195657305,-0.005204867712293973,0.008775073949885692,-0.04216491271151448,0.07256773597992809
mid_first_rel20,shape_qc_vs_noapex__transmural_sparse,noapex__transmural_sparse,noapex_shape_qc__transmural_sparse,262,-0.04543436436288306,-0.08556213761412515,-0.004996636243084212,-0.030605296366287837,-0.1000862270251249,0.025482822915142388
mid_first_rel20,remove_apex__variability_sparse,original18__variability_sparse,noapex__variability_sparse,262,-0.027083025011099604,-0.07440930091185391,0.01641749077580973,-0.010082363858019722,-0.05809636330112371,0.03723160178495789
mid_first_rel20,fixed_qc_vs_noapex__variability_sparse,noapex__variability_sparse,noapex_fixed_qc__variability_sparse,262,-0.015391445907947277,-0.05190352548431158,0.017087877824369987,-0.006824331475488471,-0.04320651815503147,0.02350737125821372
mid_first_rel20,shape_qc_vs_noapex__variability_sparse,noapex__variability_sparse,noapex_shape_qc__variability_sparse,262,0.012431552464111206,-0.030492717909566935,0.049882189930511106,-0.01923426118309063,-0.06703138194626689,0.03478419428670244
mid_first_rel20,remove_apex__combined_trees,original18__combined_trees,noapex__combined_trees,262,-0.035222731981648714,-0.11335123101100059,0.04361188808216601,-0.005978008924283074,-0.06619314708489225,0.049935228247191946
mid_first_rel20,fixed_qc_vs_noapex__combined_trees,noapex__combined_trees,noapex_fixed_qc__combined_trees,262,0.007695722953973583,-0.04687771493605788,0.06102361634308898,-0.007031696200441098,-0.043624781889533885,0.010520262274142971
mid_first_rel20,shape_qc_vs_noapex__combined_trees,noapex__combined_trees,noapex_shape_qc__combined_trees,262,0.03492674263726492,-0.026050121753246825,0.09820041516490333,0.0008124649137443707,-0.04280869121297793,0.026014245675306715
mid_first_rel20,remove_apex__gpu_curve_net,original18__gpu_curve_net,noapex__gpu_curve_net,262,-0.05431404469439105,-0.13890149304885352,0.030754535493967963,-0.0097737029811861,-0.08057412341652259,0.06672586282402339
mid_first_rel20,fixed_qc_vs_noapex__gpu_curve_net,noapex__gpu_curve_net,noapex_fixed_qc__gpu_curve_net,262,-0.012135563119727633,-0.0655624851375132,0.037923131114943276,-0.0035874306247303256,-0.04691649242356715,0.028501046252126655
mid_first_rel20,shape_qc_vs_noapex__gpu_curve_net,noapex__gpu_curve_net,noapex_shape_qc__gpu_curve_net,262,0.013245523161166228,-0.04804238893625071,0.08146664830583035,0.02464463645547163,-0.02361811994747919,0.0960906305804742
mid_roll2_rel10,remove_apex__transmural_sparse,original18__transmural_sparse,noapex__transmural_sparse,194,-0.046208693267516754,-0.13122557257198292,0.03982505676584621,-0.011173183687880228,-0.10537112250378491,0.07490561786350367
mid_roll2_rel10,fixed_qc_vs_noapex__transmural_sparse,noapex__transmural_sparse,noapex_fixed_qc__transmural_sparse,194,-0.02564102564102555,-0.06662326223394933,0.01625381515320486,0.0023195354007734537,-0.03538118791707088,0.04304829565414048
mid_roll2_rel10,shape_qc_vs_noapex__transmural_sparse,noapex__transmural_sparse,noapex_shape_qc__transmural_sparse,194,-0.04991087344028511,-0.13348010933358576,0.025028970703986776,-0.012455727991466714,-0.07777663960315857,0.0561226175661103
mid_roll2_rel10,remove_apex__variability_sparse,original18__variability_sparse,noapex__variability_sparse,194,-0.006033182503770718,-0.04078458954503791,0.03039223787472223,0.007665835055292225,-0.02370665585601939,0.0541713359858476
mid_roll2_rel10,fixed_qc_vs_noapex__variability_sparse,noapex__variability_sparse,noapex_fixed_qc__variability_sparse,194,0.012203482791718012,-0.018038605158904028,0.04577665183386463,0.00971440663412304,-0.017891171396056012,0.03713782447647538
mid_roll2_rel10,shape_qc_vs_noapex__variability_sparse,noapex__variability_sparse,noapex_shape_qc__variability_sparse,194,-0.03263403263403264,-0.05847352752537692,-0.004762391067538077,-0.011234775008223286,-0.03531244856471026,0.017815313467132863
mid_roll2_rel10,remove_apex__combined_trees,original18__combined_trees,noapex__combined_trees,194,-0.043740573152337814,-0.133888625765083,0.03901266185366323,-0.01890859370452308,-0.07848838155605468,0.05243734926085442
mid_roll2_rel10,fixed_qc_vs_noapex__combined_trees,noapex__combined_trees,noapex_fixed_qc__combined_trees,194,0.011243658302481752,-0.0382828196413923,0.06223160173160179,0.019299812127753502,-0.023140790876262782,0.05742899978349521
mid_roll2_rel10,shape_qc_vs_noapex__combined_trees,noapex__combined_trees,noapex_shape_qc__combined_trees,194,0.01933360756890168,-0.04532406907300817,0.09056594380796514,0.013252150149975161,-0.028303635355677276,0.06154938318403725
mid_roll2_rel10,remove_apex__gpu_curve_net,original18__gpu_curve_net,noapex__gpu_curve_net,194,-0.06732483203071438,-0.1486377348142053,0.007384593214756221,-0.04368701961663857,-0.12865932036233152,0.010551154147455477
mid_roll2_rel10,fixed_qc_vs_noapex__gpu_curve_net,noapex__gpu_curve_net,noapex_fixed_qc__gpu_curve_net,194,0.011106540518305286,-0.03572392135148632,0.060072202548336416,0.003924718846298136,-0.022950411484763348,0.038688311073911165
mid_roll2_rel10,shape_qc_vs_noapex__gpu_curve_net,noapex__gpu_curve_net,noapex_shape_qc__gpu_curve_net,194,0.023172905525846665,-0.03837943254787288,0.08258127119458156,0.01999192439258779,-0.017361724115806856,0.07409807446262529
mid_roll2_rel12,remove_apex__transmural_sparse,original18__transmural_sparse,noapex__transmural_sparse,194,-0.017857142857142905,-0.11041197636942317,0.0761908278199689,-0.007755015316682795,-0.08131443888728636,0.05367583032728419
mid_roll2_rel12,fixed_qc_vs_noapex__transmural_sparse,noapex__transmural_sparse,noapex_fixed_qc__transmural_sparse,194,-0.04777568922305764,-0.09241152187280002,-0.004684263598367079,-0.017797897196261347,-0.047827386117730866,0.011517486012305426
mid_roll2_rel12,shape_qc_vs_noapex__transmural_sparse,noapex__transmural_sparse,noapex_shape_qc__transmural_sparse,194,-0.049812030075187974,-0.10709133286252549,0.007453100044685729,-0.018770875748622184,-0.0586267643494015,0.015948694674467287
mid_roll2_rel12,remove_apex__variability_sparse,original18__variability_sparse,noapex__variability_sparse,194,-0.036810776942355905,-0.0809758287699465,0.007302937031049202,-0.002724604852819529,-0.041487025829619696,0.05639040979111677
