model,score_quintile,n,events,mean_score,observed_event_rate
clinical_ridge,1,48,5,0.19310024840945653,0.10416666666666667
clinical_ridge,2,47,6,0.38697109953572834,0.1276595744680851
clinical_ridge,3,48,12,0.4861051856759997,0.25
clinical_ridge,4,47,10,0.5685897645520622,0.2127659574468085
clinical_ridge,5,48,16,0.6775565700965526,0.3333333333333333
existing_combined_trees,1,48,4,0.0998328630937082,0.08333333333333333
existing_combined_trees,2,47,6,0.2142883381622449,0.1276595744680851
existing_combined_trees,3,48,9,0.3024663892542062,0.1875
existing_combined_trees,4,47,15,0.3989614363279312,0.3191489361702128
existing_combined_trees,5,48,15,0.5165683671231296,0.3125
attention_binary,1,48,2,0.2548530399799347,0.041666666666666664
attention_binary,2,47,7,0.4524960348792111,0.14893617021276595
attention_binary,3,48,10,0.5092061360677084,0.20833333333333334
attention_binary,4,47,17,0.5419246592420214,0.3617021276595745
attention_binary,5,48,13,0.5894080268012153,0.2708333333333333
