threshold,noise_sd_gls_points,noise_relative_to_mean_gls,observed_events,observed_eligible,expected_observed_label_flip_fraction,observed_event_identity_reproducibility,ambiguous_observed_fraction_p10_p90,oracle_auc_mean,oracle_auc_sim_low,oracle_auc_sim_high,oracle_ap_mean,oracle_ap_sim_low,oracle_ap_sim_high,simulated_prevalence_mean
0.1,0.0,0.0,65,211,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3080568720379147
0.1,0.5,0.030361222646435967,65,211,0.07165269323946866,0.8803008099142348,0.2132701421800948,0.9813523019373392,0.9676127284348761,0.9928042948061884,0.9610103271966209,0.9315585922097553,0.9844713678622652,0.30754045070468367
0.1,0.771,0.04681700532080427,65,211,0.10767422112505315,0.8233705143238348,0.3459715639810427,0.9565458507342849,0.9327251742266474,0.9782641461517525,0.9132884423025064,0.8632174117988339,0.955705879100536,0.30956629786039164
0.1,0.942,0.057200543465885365,65,211,0.13162510315175385,0.7868101663598721,0.43601895734597157,0.9375323542130455,0.9040171333573948,0.9634794506037709,0.880438006348334,0.8167412166524731,0.9329795215880912,0.313541645815869
0.1,1.5,0.0910836679393079,65,211,0.1917188487359239,0.702729159135397,0.5971563981042654,0.8722488887804128,0.8254667435592586,0.9176482410328421,0.7807662999912565,0.6915450861256219,0.8613475019139951,0.32862753536457
0.12,0.0,0.0,58,225,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2577777777777777
0.12,0.5,0.030361222646435967,58,225,0.06724791695275169,0.890258060819142,0.2311111111111111,0.9803750464900187,0.9668267792483778,0.9910782258194323,0.9512048573308133,0.9154597218546149,0.9783516229422365,0.2695361926983458
0.12,0.771,0.04681700532080427,58,225,0.10260111247468817,0.8246070827561662,0.3333333333333333,0.9557693956249343,0.9313774603574648,0.9762429324792736,0.89611681889302,0.8336474264130925,0.9449106595007842,0.2724846072825468
0.12,0.942,0.057200543465885365,58,225,0.12242983722598906,0.7923185336060414,0.4088888888888889,0.9389096397805591,0.9082916344311819,0.9656756016170329,0.8630729236147937,0.7944066717049334,0.9205712587704904,0.27610014536885374
0.12,1.5,0.0910836679393079,58,225,0.1814405377694691,0.7041052522006837,0.5822222222222222,0.8733191623051932,0.8194380113400994,0.9169930297871635,0.7554726059500502,0.6528710606539303,0.8433703408621104,0.2944839315607697
0.15,0.0,0.0,49,238,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20588235294117652
0.15,0.5,0.030361222646435967,49,238,0.06907079440568642,0.8415476513782654,0.2184873949579832,0.9790282769273924,0.9642468085367482,0.9903850349040139,0.932341594623656,0.88690296180284,0.9689507787170318,0.21360895712672448
0.15,0.771,0.04681700532080427,49,238,0.09935885167131436,0.7854286184451649,0.31512605042016806,0.9564341550967211,0.9321312392141246,0.976178113298416,0.8694519324310876,0.7959846316116275,0.926937304739574,0.21808385426531135
0.15,0.942,0.057200543465885365,49,238,0.11692312586912126,0.7517009717285524,0.36134453781512604,0.9393835314923019,0.9071247992875593,0.964171795866118,0.8281488122034598,0.7410308373119083,0.8985957705810361,0.22320576207452927
0.15,1.5,0.0910836679393079,49,238,0.16823680908650476,0.6711614945291121,0.542016806722689,0.8759691318964381,0.8258187061056306,0.9198081384202267,0.7125324209502316,0.6053445522398783,0.8141687133620343,0.24340137968004194
0.2,0.0,0.0,29,262,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11068702290076331
0.2,0.5,0.030361222646435967,29,262,0.04841321833173184,0.8274068912285171,0.16793893129770993,0.980673120391115,0.9665445875072254,0.9926145930582722,0.894279959985173,0.8210319993270756,0.9545785289946779,0.1240318307079219
0.2,0.771,0.04681700532080427,29,262,0.0746039731443034,0.7612593520759031,0.2480916030534351,0.9578470728547944,0.9311465131974159,0.9781126413482325,0.8058340815155661,0.7064638222037446,0.8935325094606826,0.13453023347367318
0.2,0.942,0.057200543465885365,29,262,0.08991400720327775,0.7296259289424618,0.3053435114503817,0.9412616738073136,0.9110360900673401,0.9680114571964006,0.755080833860762,0.644872593541516,0.8585689794012654,0.14248089862955793
0.2,1.5,0.0910836679393079,29,262,0.13487621341121245,0.6557888227470913,0.4351145038167939,0.883197520727794,0.8359283144547205,0.9285663760280579,0.6343367789689626,0.4890164125806099,0.7644691755872579,0.1690398189244321
