task,comparison,reference_model,candidate_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high
mid_first_rel10,attention_vs_uniform,uniform_binary,attention_binary,211,0.01617492096944151,-0.021512726621749082,0.051915304499267206,0.011487222963238897,-0.06064253699604621,0.06946868799636986
mid_first_rel10,uniform_aux_vs_binary,uniform_binary,uniform_gls_aux,211,0.0029504741833509263,-0.026596158240440548,0.02651386633315928,-0.004695496015673151,-0.04494458887372355,0.032776958724301
mid_first_rel10,attention_aux_vs_binary,attention_binary,attention_gls_aux,211,-0.001369863013698569,-0.03196379231793131,0.028496307340738634,-0.010238262753643701,-0.05462986525195927,0.04144782641312701
mid_first_rel10,attention_aux_vs_uniform,uniform_binary,attention_gls_aux,211,0.01480505795574294,-0.02808624515019863,0.061861917958413795,0.0012489602095951957,-0.07112618760015257,0.06103221638340114
mid_first_rel12,attention_vs_uniform,uniform_binary,attention_binary,225,-0.0005162089613877097,-0.03846040524557446,0.039125488093273986,0.01519775373954868,-0.042659455145337574,0.05467649586183373
mid_first_rel12,uniform_aux_vs_binary,uniform_binary,uniform_gls_aux,225,0.000877555234358729,-0.027112124266862166,0.02993405165676015,-0.011885618171723455,-0.050984582543664274,0.022954159618189383
mid_first_rel12,attention_aux_vs_binary,attention_binary,attention_gls_aux,225,-0.020648358455502724,-0.05441195608060414,0.013447907206429915,-0.026150459878183818,-0.06872213574869096,0.019370151495300008
mid_first_rel12,attention_aux_vs_uniform,uniform_binary,attention_gls_aux,225,-0.021164567416890434,-0.06668284755643446,0.021724258779147156,-0.010952706138635138,-0.08977746060526257,0.04857441271841155
mid_first_rel15,attention_vs_uniform,uniform_binary,attention_binary,238,0.018680488068243073,-0.01667620594794176,0.05432916915769898,0.030683634429479523,-0.019176193612812236,0.06596191476920976
mid_first_rel15,uniform_aux_vs_binary,uniform_binary,uniform_gls_aux,238,-0.004859086491739606,-0.03660739750445629,0.02789282369378633,-0.010445727903717117,-0.05434108280602948,0.028528731736764963
mid_first_rel15,attention_aux_vs_binary,attention_binary,attention_gls_aux,238,-0.024673361408055206,-0.06545174364907543,0.016323859386686512,-0.02516450075628701,-0.07940142015314763,0.022080596871771663
mid_first_rel15,attention_aux_vs_uniform,uniform_binary,attention_gls_aux,238,-0.0059928733398121325,-0.059802149792185025,0.037302382814535066,0.005519133673192511,-0.07562915054321924,0.06571643943108885
mid_first_rel20,attention_vs_uniform,uniform_binary,attention_binary,262,0.019609294065413674,-0.01943859879329784,0.06349572623383282,0.009093015209664101,-0.011859849162468343,0.05058210791550903
mid_first_rel20,uniform_aux_vs_binary,uniform_binary,uniform_gls_aux,262,-0.005993784223767951,-0.035521558560848314,0.027609691488116192,-0.010051537935695742,-0.04952733532051326,0.008130019532244076
mid_first_rel20,attention_aux_vs_binary,attention_binary,attention_gls_aux,262,-0.05387006067781552,-0.111123870141142,0.004465090978248822,-0.03184797144855614,-0.10506964336970119,-0.0024247339256244223
mid_first_rel20,attention_aux_vs_uniform,uniform_binary,attention_gls_aux,262,-0.03426076661240185,-0.09929552267172198,0.04253747033109636,-0.022754956238892038,-0.0822153181086778,0.011126093800036726
mid_roll2_rel10,attention_vs_uniform,uniform_binary,attention_binary,194,0.01686548745372274,-0.03730823460251642,0.0649678837052063,0.011370897670201496,-0.04168344823026691,0.054327850062077875
mid_roll2_rel10,uniform_aux_vs_binary,uniform_binary,uniform_gls_aux,194,-0.035033593857123235,-0.08740817921891153,0.012882498411264945,-0.021692837607925952,-0.08511379195249409,0.022548574338644337
mid_roll2_rel10,attention_aux_vs_binary,attention_binary,attention_gls_aux,194,0.00815850815850827,-0.04936721977603828,0.06515062729343608,0.0003905978644067609,-0.05163097258699822,0.056208301969082795
mid_roll2_rel10,attention_aux_vs_uniform,uniform_binary,attention_gls_aux,194,0.02502399561223101,-0.03685639353142213,0.09218388525673125,0.011761495534608257,-0.041123146086735535,0.06138565349195826
mid_roll2_rel12,attention_vs_uniform,uniform_binary,attention_binary,194,0.012844611528821992,-0.033627042704947645,0.054219151155327446,0.009764651477754765,-0.028321251955344438,0.047858000066806204
mid_roll2_rel12,uniform_aux_vs_binary,uniform_binary,uniform_gls_aux,194,-0.022399749373433586,-0.06766518032399688,0.02337657454656743,-0.007423107159117898,-0.041662889280653675,0.023438504359472687
mid_roll2_rel12,attention_aux_vs_binary,attention_binary,attention_gls_aux,194,-0.011669799498746802,-0.058177106186924094,0.0372917064553094,-0.011444270995531663,-0.04874380409874072,0.023066696455173223
mid_roll2_rel12,attention_aux_vs_uniform,uniform_binary,attention_gls_aux,194,0.0011748120300751896,-0.06002146739353106,0.05744649329086412,-0.001679619517776898,-0.04642089584105309,0.03577461321887453
