task,model,reference_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high,delta_brier_score,delta_brier_score_ci_low,delta_brier_score_ci_high
mid_first_rel10,uniform_binary,clinical_ridge,211,-0.06654373024236049,-0.14041592926015564,0.014240968719440934,-0.06489771424310509,-0.1685159238541306,0.040460151158741894,0.006923557115473017,-0.01617990413168022,0.02711803488721679
mid_first_rel10,attention_binary,clinical_ridge,211,-0.05036880927291898,-0.13687989304662998,0.0415275637733263,-0.05341049127986619,-0.17438643458698713,0.057009071835810755,0.005799965582856392,-0.019366280702988237,0.028447757701022976
mid_first_rel10,uniform_gls_aux,clinical_ridge,211,-0.06359325605900956,-0.13550998900293265,0.011444131848543563,-0.06959321025877824,-0.17428164125839107,0.032728020957102553,0.010777590725725095,-0.01162682998153464,0.032571392984580026
mid_first_rel10,attention_gls_aux,clinical_ridge,211,-0.05173867228661755,-0.12148146305142724,0.03584252927856211,-0.06364875403350989,-0.16564971545331442,0.04002849668417799,0.007928842595602864,-0.014508829244153367,0.029444825464533732
mid_first_rel12,uniform_binary,clinical_ridge,225,0.006917200082593666,-0.06102135872415897,0.09115408592001707,0.0032968861241275405,-0.07338556054527397,0.09498817875245225,-0.010458562936247029,-0.03506021594609174,0.010508362407321512
mid_first_rel12,attention_binary,clinical_ridge,225,0.006400991121205957,-0.0845342161248552,0.08422603633248316,0.01849463986367622,-0.09307502345693992,0.10391166850875372,-0.010657782962624957,-0.03080747445081104,0.013087822229660463
mid_first_rel12,uniform_gls_aux,clinical_ridge,225,0.007794755316952395,-0.07436808041100498,0.08910682802910279,-0.008588732047595915,-0.09903445572111964,0.08313608432058434,-0.005927397989432037,-0.028574725787889662,0.01396126290751322
mid_first_rel12,attention_gls_aux,clinical_ridge,225,-0.014247367334296768,-0.09996889208355426,0.0621435359749295,-0.007655820014507597,-0.10596910294274584,0.0739962201558551,-0.003954464129922314,-0.025069144661863548,0.014110411898950258
mid_first_rel15,uniform_binary,clinical_ridge,238,0.03325774754346189,-0.05212060365699818,0.1296461764788171,0.012350869216129767,-0.09151502897482036,0.11202961799209588,-0.010088385061214844,-0.03199150524510764,0.013879142882352027
mid_first_rel15,attention_binary,clinical_ridge,238,0.051938235611704964,-0.043847451554235944,0.13907900496471842,0.04303450364560929,-0.08345526998335935,0.14295727203171904,-0.011989461398517393,-0.03486325937783768,0.013582378053219562
mid_first_rel15,uniform_gls_aux,clinical_ridge,238,0.028398661051722285,-0.0584119557210081,0.11431782407363228,0.0019051413124126504,-0.11433408018954308,0.0982786436052802,-0.005193474527343728,-0.02622684883564222,0.014260275688287239
mid_first_rel15,attention_gls_aux,clinical_ridge,238,0.027264874203649758,-0.05961013101753565,0.1238419011790023,0.01787000288932228,-0.0933027151665533,0.10562336307478169,-0.005362686826705931,-0.028164651554193572,0.013617727932003696
mid_first_rel20,uniform_binary,clinical_ridge,262,-0.11047802279117958,-0.21503223778007033,-0.009302484302484215,-0.1389027841885085,-0.266264878712298,-0.032776207785709346,0.029660134718871883,0.009012213632802,0.04939968948515152
mid_first_rel20,attention_binary,clinical_ridge,262,-0.0908687287257659,-0.20372648160349147,0.016429526815534844,-0.1298097689788444,-0.25554868805646247,-0.009532054031936722,0.028912714817691393,0.008488063733191283,0.047843496813234375
