variant,repeat,fold,device,best_epoch,epochs_run,best_validation_loss,seconds,parameters
uniform_binary,0,0,NVIDIA GeForce RTX 4060 Ti,29,64,1.4860361814498901,2.860276460647583,16746
attention_binary,0,0,NVIDIA GeForce RTX 4060 Ti,29,64,1.566213846206665,2.9464452266693115,17491
uniform_gls_aux,0,0,NVIDIA GeForce RTX 4060 Ti,27,62,1.693849802017212,3.0917320251464844,16811
attention_gls_aux,0,0,NVIDIA GeForce RTX 4060 Ti,19,54,1.7049918174743652,3.239020824432373,17556
uniform_binary,0,1,NVIDIA GeForce RTX 4060 Ti,21,56,0.9065241813659668,2.7438271045684814,16746
attention_binary,0,1,NVIDIA GeForce RTX 4060 Ti,20,55,0.9190720915794373,3.1898066997528076,17491
uniform_gls_aux,0,1,NVIDIA GeForce RTX 4060 Ti,24,59,0.9906738996505737,3.2223784923553467,16811
attention_gls_aux,0,1,NVIDIA GeForce RTX 4060 Ti,24,59,0.99540114402771,3.77058744430542,17556
uniform_binary,0,2,NVIDIA GeForce RTX 4060 Ti,12,47,1.3812059164047241,2.368215799331665,16746
attention_binary,0,2,NVIDIA GeForce RTX 4060 Ti,16,51,1.3724124431610107,2.9541566371917725,17491
uniform_gls_aux,0,2,NVIDIA GeForce RTX 4060 Ti,16,51,1.4964569807052612,2.7734267711639404,16811
attention_gls_aux,0,2,NVIDIA GeForce RTX 4060 Ti,20,55,1.4945789575576782,3.507701873779297,17556
uniform_binary,0,3,NVIDIA GeForce RTX 4060 Ti,20,55,1.1480618715286255,2.736698627471924,16746
attention_binary,0,3,NVIDIA GeForce RTX 4060 Ti,21,56,1.1569666862487793,3.288501262664795,17491
uniform_gls_aux,0,3,NVIDIA GeForce RTX 4060 Ti,26,61,1.2214945554733276,3.367811918258667,16811
attention_gls_aux,0,3,NVIDIA GeForce RTX 4060 Ti,30,65,1.2382934093475342,4.128190755844116,17556
uniform_binary,0,4,NVIDIA GeForce RTX 4060 Ti,21,56,1.259684443473816,2.8733348846435547,16746
attention_binary,0,4,NVIDIA GeForce RTX 4060 Ti,19,54,1.2851035594940186,3.4375269412994385,17491
uniform_gls_aux,0,4,NVIDIA GeForce RTX 4060 Ti,23,58,1.3420847654342651,3.1926169395446777,16811
