model,subgroup_variable,subgroup,n,events,prevalence,roc_auc,average_precision,sensitivity_at_global_top20,false_positive_rate_at_global_top20,precision_at_global_top20,mean_score,roc_auc_ci_low,roc_auc_ci_high,average_precision_ci_low,average_precision_ci_high
clinical_ridge,history_group,current=V1,103,26,0.2524271844660194,0.6473526473526474,0.38694685372603727,0.4230769230769231,0.2077922077922078,0.4074074074074074,0.5325075044577903,0.5177147721320063,0.7537062308614032,0.25003540702790417,0.5717737739456871
clinical_ridge,history_group,current>=V2,135,23,0.17037037037037037,0.5892857142857143,0.2147510794243287,0.21739130434782608,0.14285714285714285,0.23809523809523808,0.40879751002748277,0.478117418842537,0.7182570130993574,0.15089027409676734,0.35126467853182564
clinical_ridge,followup_interval_group,long,79,23,0.2911392405063291,0.5753105590062111,0.3486138437590196,0.30434782608695654,0.21428571428571427,0.3684210526315789,0.47253107218765067,0.43497376311844077,0.7232631405651341,0.2296534205197088,0.5467612563016688
clinical_ridge,followup_interval_group,middle,79,11,0.13924050632911392,0.6323529411764706,0.248482767732948,0.2727272727272727,0.14705882352941177,0.23076923076923078,0.43559959559805606,0.4290517111412634,0.8487455018939393,0.11340991113160331,0.5504379299562226
clinical_ridge,followup_interval_group,short,80,15,0.1875,0.6882051282051281,0.37252697582532845,0.4,0.15384615384615385,0.375,0.47867017572239695,0.5410196574924436,0.835615420361183,0.18894048467744368,0.62917227898786
clinical_ridge,baseline_gls_group,baseline GLS <18,161,24,0.14906832298136646,0.6125304136253041,0.22373836356022297,0.125,0.029197080291970802,0.42857142857142855,0.3929702236713347,0.48078436936106744,0.7270632252363021,0.13246018875529972,0.39170081703410187
clinical_ridge,baseline_gls_group,baseline GLS >=18,77,25,0.3246753246753247,0.4753846153846154,0.32590084714730133,0.52,0.5384615384615384,0.3170731707317073,0.6073731272958142,0.31828509654596604,0.646004003712337,0.22317019480146694,0.5220194169890079
clinical_ridge,current_decline_group,5-10%,25,9,0.36,0.5069444444444444,0.4210146280734516,0.2222222222222222,0.125,0.5,0.5087960621140016,0.25604166666666667,0.758572048611111,0.20891814204314205,0.7293727753727753
clinical_ridge,current_decline_group,<5%,190,35,0.18421052631578946,0.6606451612903226,0.32378310876001043,0.34285714285714286,0.12903225806451613,0.375,0.438465424100692,0.5459897360703813,0.7804486615487747,0.21287750858998802,0.5030507244334345
clinical_ridge,current_decline_group,>=10%,23,5,0.21739130434782608,0.37777777777777777,0.20551120448179272,0.4,0.5555555555555556,0.16666666666666666,0.6090262904730895,0.12812500000000002,0.6830741626794258,0.08066176470588235,0.4968333333333332
