feature,feature_name,relative_visit,patients,median,q1,q3
cur_var__endo_vendor_peak_systolic_abs_robust_sd,Between-segment dispersion of vendor Endocardial peak-systolic strain,-3,11,5.9304,5.226165,6.7087650000000005
cur_var__endo_vendor_peak_systolic_abs_robust_sd,Between-segment dispersion of vendor Endocardial peak-systolic strain,-2,23,6.145376999999999,4.562701500000001,7.813302
cur_var__endo_vendor_peak_systolic_abs_robust_sd,Between-segment dispersion of vendor Endocardial peak-systolic strain,-1,49,5.478206999999998,4.4255610000000045,7.012698
cur_var__endo_vendor_peak_systolic_abs_robust_sd,Between-segment dispersion of vendor Endocardial peak-systolic strain,0,49,5.092731000000001,4.0400849999999995,6.731004000000001
cur_var__mid_peak_abs_robust_sd,Between-segment dispersion of Mid-wall peak strain,-3,11,4.699841999999999,4.173519000000001,6.089779500000001
cur_var__mid_peak_abs_robust_sd,Between-segment dispersion of Mid-wall peak strain,-2,23,5.782139999999995,4.462625999999999,6.971926499999999
cur_var__mid_peak_abs_robust_sd,Between-segment dispersion of Mid-wall peak strain,-1,49,5.100144000000002,4.440387,5.8710960000000005
cur_var__mid_peak_abs_robust_sd,Between-segment dispersion of Mid-wall peak strain,0,49,4.988949,4.136453999999999,6.37518
cur_tm_sd_gap_dct06,Current finer phase pattern of segmental layer-gap variability,-3,11,0.08035936116621997,-0.47514914044110473,0.3051197763244646
cur_tm_sd_gap_dct06,Current finer phase pattern of segmental layer-gap variability,-2,23,-0.11203776633672427,-0.25954376747239905,0.18228989409994084
cur_tm_sd_gap_dct06,Current finer phase pattern of segmental layer-gap variability,-1,49,-0.08316897782794444,-0.39240056066754814,0.09961296406338549
cur_tm_sd_gap_dct06,Current finer phase pattern of segmental layer-gap variability,0,49,-0.0316891066478904,-0.19929383673583645,0.24641838067976574
cur_var__mid_vendor_peak_systolic_abs_robust_sd,Current: Mid-wall vendocardialr peak systolic abs robust dispersion,-3,11,5.611641000000001,4.803624000000001,5.9044545
cur_var__mid_vendor_peak_systolic_abs_robust_sd,Current: Mid-wall vendocardialr peak systolic abs robust dispersion,-2,23,6.286223999999999,4.14201375,7.405586999999999
cur_var__mid_vendor_peak_systolic_abs_robust_sd,Current: Mid-wall vendocardialr peak systolic abs robust dispersion,-1,49,5.418903,4.329192000000003,6.130551
cur_var__mid_vendor_peak_systolic_abs_robust_sd,Current: Mid-wall vendocardialr peak systolic abs robust dispersion,0,49,5.044546500000001,4.210584,6.723591
cur_var__endo_impaired_segment_fraction_lt15,Current: Endocardial impaired segment fraction lt15,-3,11,0.05555555555555555,0.013888888888888888,0.1111111111111111
cur_var__endo_impaired_segment_fraction_lt15,Current: Endocardial impaired segment fraction lt15,-2,23,0.1111111111111111,0.05555555555555555,0.16666666666666666
cur_var__endo_impaired_segment_fraction_lt15,Current: Endocardial impaired segment fraction lt15,-1,49,0.1111111111111111,0.05555555555555555,0.16666666666666666
cur_var__endo_impaired_segment_fraction_lt15,Current: Endocardial impaired segment fraction lt15,0,49,0.3333333333333333,0.2222222222222222,0.4444444444444444
cur_var__endo_peak_abs_robust_sd,Between-segment dispersion of Endocardial peak strain,-3,11,5.48562,4.410735000000001,5.78769975
cur_var__endo_peak_abs_robust_sd,Between-segment dispersion of Endocardial peak strain,-2,23,6.004529999999999,4.1364540000000005,7.0682955
cur_var__endo_peak_abs_robust_sd,Between-segment dispersion of Endocardial peak strain,-1,49,5.656119000000001,4.544168999999999,6.456723
cur_var__endo_peak_abs_robust_sd,Between-segment dispersion of Endocardial peak strain,0,49,5.070491999999997,4.032672000000001,6.6123959999999995
