rank,feature,feature_name,family,direction_in_pre_event_visit,visit_order_stratified_auc,auc_ci_low,auc_ci_high,case_rows_used,control_rows_used,visit_order_strata,outcome_coupled
1,current_endo_decline_from_roll3,Current endocardial decline from roll3,Clinical/trajectory,higher,0.7253384912959382,0.544248188405797,0.8748874999999999,11,47,1,False
2,current_mid_decline_from_roll3,Current mid-wall decline from roll3,Clinical/trajectory,higher,0.7040618955512572,0.533446511627907,0.8498542490118577,11,47,1,True
3,first_endo_gls,Baseline Endocardial GLS magnitude,Clinical/trajectory,higher,0.6611792090074494,0.5792974122747826,0.7391630597040186,49,188,3,False
4,first_mid_gls,Baseline Mid-wall GLS magnitude,Clinical/trajectory,higher,0.6609285742481574,0.5667671450615024,0.7466169743286605,49,188,3,True
5,current_mid_decline_from_roll2,Current mid-wall decline from roll2,Clinical/trajectory,higher,0.6569293478260869,0.5037975596760443,0.8051970693035316,23,111,2,True
6,current_endo_decline_from_roll2,Current endocardial decline from roll2,Clinical/trajectory,higher,0.6521739130434783,0.508820217717429,0.7900905069254867,23,111,2,False
7,cur_var__endo_vendor_peak_systolic_abs_robust_sd,Between-segment dispersion of vendor Endocardial peak-systolic strain,Segment variability,lower,0.6415610584866719,0.5621138311832607,0.7245059210372606,49,188,3,False
8,cur_var__mid_peak_abs_robust_sd,Between-segment dispersion of Mid-wall peak strain,Segment variability,lower,0.6406898945333868,0.5500609228534126,0.7203085150654949,49,188,3,False
9,cur_tm_sd_gap_dct06,Current finer phase pattern of segmental layer-gap variability,Endo-Mid,lower,0.6263694376617737,0.5383909703063907,0.7137050642660325,49,188,3,False
10,cur_var__mid_vendor_peak_systolic_abs_robust_sd,Current: Mid-wall vendocardialr peak systolic abs robust dispersion,Segment variability,lower,0.617879928636279,0.5348403026205463,0.6971517811031698,49,188,3,False
11,cur_var__endo_impaired_segment_fraction_lt15,Current: Endocardial impaired segment fraction lt15,Segment variability,lower,0.6144925925952033,0.5220176832372977,0.7074210488101901,49,188,3,False
12,cur_var__endo_peak_abs_robust_sd,Between-segment dispersion of Endocardial peak strain,Segment variability,lower,0.6100163676965674,0.5165503146516792,0.6853658013634001,49,188,3,False
