rank,feature,feature_name,family,direction_in_pre_event_visit,visit_order_stratified_auc,auc_ci_low,auc_ci_high,case_rows_used,control_rows_used,visit_order_strata,outcome_coupled
1,current_endo_decline_from_roll3,Current endocardial decline from roll3,Clinical/trajectory,higher,0.7253384912959382,0.548864010989011,0.884534188034188,11,47,1,False
2,current_mid_decline_from_roll3,Current mid-wall decline from roll3,Clinical/trajectory,higher,0.7040618955512572,0.5450429347826088,0.8549115839517625,11,47,1,True
3,cur_var__mid_within_ring_peak_robust_sd_mean,Current: Mid-wall within ring peak robust dispersion mean,Segment variability,lower,0.6974878584643849,0.5899034594986605,0.8093448955669224,23,111,2,False
4,d_tm_sd_gap_dct04,Change in phase pattern of segmental layer-gap variability,Endo-Mid,higher,0.6933395004625347,0.574661296892043,0.7992061328265369,23,111,2,False
5,current_endo_decline_from_first,Current relative Endocardial GLS decline from baseline,Clinical/trajectory,higher,0.691026827012026,0.567048429001554,0.7989255224894012,23,111,2,False
6,cur_var__endo_peak_abs_robust_sd,Between-segment dispersion of Endocardial peak strain,Segment variability,lower,0.6906221091581868,0.5762323988643033,0.8093847677865792,23,111,2,False
7,cur_var__mid_peak_abs_robust_sd,Between-segment dispersion of Mid-wall peak strain,Segment variability,lower,0.6904703399629972,0.5756593311344749,0.7924746786710903,23,111,2,False
8,cur_var__mid_within_view_peak_robust_sd_mean,Current: Mid-wall within view peak robust dispersion mean,Segment variability,lower,0.6858088575393154,0.5748914258818035,0.7944641010444581,23,111,2,False
9,cur_tm_sd_gap_dct04,Current Endocardial-Mid: Sd gap dct coefficient 04,Endo-Mid,higher,0.6792611008325624,0.5577882728487643,0.7876621250538245,23,111,2,False
10,current_mid_decline_from_first,Current relative Mid-GLS decline from baseline,Clinical/trajectory,higher,0.6791310129509713,0.5653266925697255,0.7939999521899237,23,111,2,True
11,cur_tm_sd_gap_dct06,Current finer phase pattern of segmental layer-gap variability,Endo-Mid,lower,0.6749248381128585,0.5685515632507514,0.7871848760029273,23,111,2,False
12,cur_tm_peak_ratio_std,Current Endocardial-Mid: Peak ratio std,Endo-Mid,lower,0.6745490286771507,0.5582729330963516,0.7670659698772352,23,111,2,False
13,cur_tm_shape_rms_std,Current Endocardial-Mid: Shape rms std,Endo-Mid,lower,0.6725543478260869,0.5576963499577017,0.7829712386669934,23,111,2,False
14,cur_var__endo_within_view_peak_robust_sd_mean,Current: Endocardial within view peak robust dispersion mean,Segment variability,lower,0.6714558279370952,0.5613460073885144,0.7884714019401841,23,111,2,False
15,cur_var__endo_vendor_peak_systolic_abs_robust_sd,Between-segment dispersion of vendor Endocardial peak-systolic strain,Segment variability,lower,0.6714341466234968,0.5345791825219235,0.7772078476487333,23,111,2,False
16,cur_var__endo_within_ring_peak_robust_sd_mean,Current: Endocardial within ring peak robust dispersion mean,Segment variability,lower,0.6682325393154487,0.5611953699832777,0.7946772278388072,23,111,2,False
17,d_tm_peak_gap_mean,Change in mean Endocardial-minus-Mid peak-strain gap,Endo-Mid,lower,0.6576231498612396,0.5449610762607331,0.7704160334346503,23,111,2,False
18,current_mid_decline_from_roll2,Current mid-wall decline from roll2,Clinical/trajectory,higher,0.6569293478260869,0.516426286572807,0.7841141214357433,23,111,2,True
19,last_mid_relative_change,Most recent relative Mid-GLS change,Clinical/trajectory,higher,0.6569293478260869,0.510554543206978,0.804553543688433,23,111,2,True
20,cur_tm_mean_gap_dct02,Broad temporal trend in the current Endocardial-minus-Mid curve gap,Endo-Mid,higher,0.655165934320074,0.5504353371389662,0.7618064441685765,23,111,2,False
21,current_endo_decline_from_roll2,Current endocardial decline from roll2,Clinical/trajectory,higher,0.6521739130434783,0.5190113489996279,0.7916219959126164,23,111,2,False
22,last_endo_relative_change,Most recent relative Endocardial GLS change,Clinical/trajectory,higher,0.6521739130434783,0.5080359218252998,0.7857959017683791,23,111,2,False
