feature,max_absolute_difference
history_visits,0.0
days_since_first,0.0
days_since_previous,0.0
has_previous_visit,0.0
current_mid_gls,0.0
current_endo_gls,0.0
current_ef,0.0
first_mid_gls,0.0
first_endo_gls,0.0
first_ef,0.0
current_mid_decline_from_first,0.0
current_endo_decline_from_first,0.0
current_ef_decline_from_first,0.0
last_mid_relative_change,0.0
last_endo_relative_change,0.0
last_ef_relative_change,0.0
mid_decline_slope_per_100d,0.0
endo_decline_slope_per_100d,0.0
ef_decline_slope_per_100d,0.0
current_endo_mid_gap,0.0
last_endo_mid_gap_change,0.0
current_mid_decline_from_roll2,0.0
current_endo_decline_from_roll2,0.0
current_ef_decline_from_roll2,0.0
current_mid_decline_from_roll3,0.0
current_endo_decline_from_roll3,0.0
current_ef_decline_from_roll3,0.0
cur_tm_paired_segments,0.0
d_tm_paired_segments,0.0
cur_tm_peak_layer_correlation,0.0
d_tm_peak_layer_correlation,0.0
cur_tm_ttp_layer_correlation,0.0
d_tm_ttp_layer_correlation,0.0
cur_tm_fraction_endo_peak_gt_mid,0.0
d_tm_fraction_endo_peak_gt_mid,0.0
cur_tm_fraction_ttp_discordant_gt_5pct_cycle,0.0
d_tm_fraction_ttp_discordant_gt_5pct_cycle,0.0
cur_tm_peak_gap_mean,0.0
d_tm_peak_gap_mean,0.0
cur_tm_peak_gap_std,0.0
d_tm_peak_gap_std,0.0
cur_tm_peak_gap_robust_sd,0.0
d_tm_peak_gap_robust_sd,0.0
cur_tm_peak_gap_iqr,0.0
d_tm_peak_gap_iqr,0.0
cur_tm_peak_gap_p90_p10,0.0
d_tm_peak_gap_p90_p10,0.0
cur_tm_peak_gap_median,0.0
d_tm_peak_gap_median,0.0
cur_tm_peak_ratio_mean,0.0
d_tm_peak_ratio_mean,0.0
cur_tm_peak_ratio_std,0.0
d_tm_peak_ratio_std,0.0
cur_tm_peak_ratio_robust_sd,0.0
d_tm_peak_ratio_robust_sd,0.0
cur_tm_peak_ratio_iqr,0.0
d_tm_peak_ratio_iqr,0.0
cur_tm_peak_ratio_p90_p10,0.0
d_tm_peak_ratio_p90_p10,0.0
cur_tm_peak_ratio_median,0.0
d_tm_peak_ratio_median,0.0
cur_tm_ttp_gap_mean,0.0
d_tm_ttp_gap_mean,0.0
cur_tm_ttp_gap_std,0.0
d_tm_ttp_gap_std,0.0
cur_tm_ttp_gap_robust_sd,0.0
d_tm_ttp_gap_robust_sd,0.0
cur_tm_ttp_gap_iqr,0.0
d_tm_ttp_gap_iqr,0.0
cur_tm_ttp_gap_p90_p10,0.0
d_tm_ttp_gap_p90_p10,0.0
cur_tm_ttp_gap_median,0.0
d_tm_ttp_gap_median,0.0
cur_tm_vendor_peak_gap_mean,0.0
d_tm_vendor_peak_gap_mean,0.0
cur_tm_vendor_peak_gap_std,0.0
d_tm_vendor_peak_gap_std,0.0
