model,repeat,fold,channel_index,channel,weight
mantis_v2_adapter_curves,0,0,1,current_endo,0.17241132259368896
mantis_v2_adapter_curves,0,0,2,current_mid,0.1722709983587265
mantis_v2_adapter_curves,0,0,3,current_endo_minus_mid,0.16086290776729584
mantis_v2_adapter_curves,0,0,4,change_endo,0.16666623950004578
mantis_v2_adapter_curves,0,0,5,change_mid,0.16506002843379974
mantis_v2_adapter_curves,0,0,6,change_endo_minus_mid,0.1627284437417984
mantis_v2_adapter_curves_scalars,0,0,1,current_endo,0.17230598628520966
mantis_v2_adapter_curves_scalars,0,0,2,current_mid,0.17117705941200256
mantis_v2_adapter_curves_scalars,0,0,3,current_endo_minus_mid,0.15509282052516937
mantis_v2_adapter_curves_scalars,0,0,4,change_endo,0.1710149347782135
mantis_v2_adapter_curves_scalars,0,0,5,change_mid,0.17139911651611328
mantis_v2_adapter_curves_scalars,0,0,6,change_endo_minus_mid,0.1590101420879364
mantis_v2_adapter_curves,0,1,1,current_endo,0.16798831522464752
mantis_v2_adapter_curves,0,1,2,current_mid,0.16840562224388123
mantis_v2_adapter_curves,0,1,3,current_endo_minus_mid,0.15865010023117065
mantis_v2_adapter_curves,0,1,4,change_endo,0.1708383411169052
mantis_v2_adapter_curves,0,1,5,change_mid,0.16891680657863617
mantis_v2_adapter_curves,0,1,6,change_endo_minus_mid,0.16520078480243683
mantis_v2_adapter_curves_scalars,0,1,1,current_endo,0.1640678197145462
mantis_v2_adapter_curves_scalars,0,1,2,current_mid,0.16356275975704193
mantis_v2_adapter_curves_scalars,0,1,3,current_endo_minus_mid,0.1604120284318924
mantis_v2_adapter_curves_scalars,0,1,4,change_endo,0.17177177965641022
mantis_v2_adapter_curves_scalars,0,1,5,change_mid,0.1699516624212265
mantis_v2_adapter_curves_scalars,0,1,6,change_endo_minus_mid,0.1702338606119156
mantis_v2_adapter_curves,0,2,1,current_endo,0.17000888288021088
mantis_v2_adapter_curves,0,2,2,current_mid,0.17092937231063843
mantis_v2_adapter_curves,0,2,3,current_endo_minus_mid,0.15471240878105164
mantis_v2_adapter_curves,0,2,4,change_endo,0.1728694587945938
mantis_v2_adapter_curves,0,2,5,change_mid,0.1714775264263153
mantis_v2_adapter_curves,0,2,6,change_endo_minus_mid,0.16000235080718994
mantis_v2_adapter_curves_scalars,0,2,1,current_endo,0.17037534713745117
mantis_v2_adapter_curves_scalars,0,2,2,current_mid,0.16797275841236115
mantis_v2_adapter_curves_scalars,0,2,3,current_endo_minus_mid,0.1599995195865631
mantis_v2_adapter_curves_scalars,0,2,4,change_endo,0.16866900026798248
mantis_v2_adapter_curves_scalars,0,2,5,change_mid,0.1682470440864563
mantis_v2_adapter_curves_scalars,0,2,6,change_endo_minus_mid,0.16473634541034698
mantis_v2_adapter_curves,0,3,1,current_endo,0.16876469552516937
mantis_v2_adapter_curves,0,3,2,current_mid,0.16448573768138885
mantis_v2_adapter_curves,0,3,3,current_endo_minus_mid,0.1616414487361908
mantis_v2_adapter_curves,0,3,4,change_endo,0.16901832818984985
mantis_v2_adapter_curves,0,3,5,change_mid,0.16868142783641815
mantis_v2_adapter_curves,0,3,6,change_endo_minus_mid,0.16740842163562775
mantis_v2_adapter_curves_scalars,0,3,1,current_endo,0.16917018592357635
mantis_v2_adapter_curves_scalars,0,3,2,current_mid,0.16359196603298187
mantis_v2_adapter_curves_scalars,0,3,3,current_endo_minus_mid,0.15923912823200226
mantis_v2_adapter_curves_scalars,0,3,4,change_endo,0.17617610096931458
mantis_v2_adapter_curves_scalars,0,3,5,change_mid,0.17247538268566132
mantis_v2_adapter_curves_scalars,0,3,6,change_endo_minus_mid,0.1593473106622696
mantis_v2_adapter_curves,0,4,1,current_endo,0.16649334132671356
mantis_v2_adapter_curves,0,4,2,current_mid,0.16630972921848297
mantis_v2_adapter_curves,0,4,3,current_endo_minus_mid,0.1664123833179474
mantis_v2_adapter_curves,0,4,4,change_endo,0.16686555743217468
mantis_v2_adapter_curves,0,4,5,change_mid,0.16692306101322174
mantis_v2_adapter_curves,0,4,6,change_endo_minus_mid,0.16699597239494324
mantis_v2_adapter_curves_scalars,0,4,1,current_endo,0.16552913188934326
mantis_v2_adapter_curves_scalars,0,4,2,current_mid,0.16567866504192352
mantis_v2_adapter_curves_scalars,0,4,3,current_endo_minus_mid,0.16655796766281128
mantis_v2_adapter_curves_scalars,0,4,4,change_endo,0.1672791838645935
mantis_v2_adapter_curves_scalars,0,4,5,change_mid,0.16778063774108887
mantis_v2_adapter_curves_scalars,0,4,6,change_endo_minus_mid,0.16717436909675598
mantis_v2_adapter_curves,1,0,1,current_endo,0.16727982461452484
mantis_v2_adapter_curves,1,0,2,current_mid,0.16558903455734253
mantis_v2_adapter_curves,1,0,3,current_endo_minus_mid,0.15638886392116547
mantis_v2_adapter_curves,1,0,4,change_endo,0.1745268553495407
mantis_v2_adapter_curves,1,0,5,change_mid,0.17222031950950623
mantis_v2_adapter_curves,1,0,6,change_endo_minus_mid,0.16399508714675903
mantis_v2_adapter_curves_scalars,1,0,1,current_endo,0.1694987714290619
mantis_v2_adapter_curves_scalars,1,0,2,current_mid,0.1683613508939743
mantis_v2_adapter_curves_scalars,1,0,3,current_endo_minus_mid,0.16045016050338745
mantis_v2_adapter_curves_scalars,1,0,4,change_endo,0.17205500602722168
mantis_v2_adapter_curves_scalars,1,0,5,change_mid,0.17029964923858643
mantis_v2_adapter_curves_scalars,1,0,6,change_endo_minus_mid,0.15933501720428467
mantis_v2_adapter_curves,1,1,1,current_endo,0.16668926179409027
mantis_v2_adapter_curves,1,1,2,current_mid,0.161871075630188
mantis_v2_adapter_curves,1,1,3,current_endo_minus_mid,0.15834274888038635
mantis_v2_adapter_curves,1,1,4,change_endo,0.17743761837482452
mantis_v2_adapter_curves,1,1,5,change_mid,0.17716792225837708
mantis_v2_adapter_curves,1,1,6,change_endo_minus_mid,0.1584913432598114
mantis_v2_adapter_curves_scalars,1,1,1,current_endo,0.1687721610069275
mantis_v2_adapter_curves_scalars,1,1,2,current_mid,0.16835765540599823
mantis_v2_adapter_curves_scalars,1,1,3,current_endo_minus_mid,0.1641491800546646
