model,n,events,auc,ap
clinical_ridge,238,49,0.6309253860274269,0.28946554159244087
current_cnn,238,49,0.6826476622394989,0.33948083626180037
mantis_random_frozen_curves,238,49,0.6686103012633625,0.32120802291160444
mantis_random_frozen_curves_scalars,238,49,0.70229996760609,0.33672752646505
mantis_v2_adapter_curves,238,49,0.5502645502645502,0.22984567488025617
mantis_v2_adapter_curves_scalars,238,49,0.6173199438505561,0.25372425631867074
mantis_v2_frozen_curves,238,49,0.6207752942446819,0.26930526284861056
mantis_v2_frozen_curves_scalars,238,49,0.6335168988230213,0.26933618871644954
moment_small_frozen_curves,238,49,0.6640751538710722,0.3115586603711023
moment_small_frozen_curves_scalars,238,49,0.6784364539466581,0.33475091831415205
multirocket_segment_curves,238,49,0.5970197602850664,0.28065293257497714
multirocket_segment_curves_scalars,238,49,0.5978835978835979,0.2814432801478623
multirocket_whole_curves,238,49,0.523377605010258,0.2611616245752742
multirocket_whole_curves_scalars,238,49,0.5266169960047511,0.2580847913231573
