task,comparison,reference_model,candidate_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high
mid_first_rel15,mantis_v2_frozen_curves_vs_current_cnn,current_cnn,mantis_v2_frozen_curves,238,-0.06187236799481699,-0.16253701562910983,0.03279004536855334,-0.0701755734131898,-0.16338323474919825,0.033935980805959644
mid_first_rel15,mantis_v2_frozen_curves_scalars_vs_current_cnn,current_cnn,mantis_v2_frozen_curves_scalars,238,-0.049130763416477596,-0.12788103577104243,0.027991352791116222,-0.07014464754535082,-0.16089668288201234,0.029600630515525035
mid_first_rel15,mantis_random_frozen_curves_vs_current_cnn,current_cnn,mantis_random_frozen_curves,238,-0.014037360976136393,-0.11867426746670123,0.07927862329744365,-0.018272813350195927,-0.129724635301141,0.10945724216616298
mid_first_rel15,mantis_random_frozen_curves_scalars_vs_current_cnn,current_cnn,mantis_random_frozen_curves_scalars,238,0.019652305366591127,-0.06239101307970486,0.09575341887327021,-0.0027533097967503695,-0.10590590602170759,0.11212884272888214
mid_first_rel15,moment_small_frozen_curves_vs_current_cnn,current_cnn,moment_small_frozen_curves,238,-0.01857250836842672,-0.1187866086840745,0.08075247691800573,-0.027922175890698064,-0.1321760612525785,0.09471662054270968
mid_first_rel15,moment_small_frozen_curves_scalars_vs_current_cnn,current_cnn,moment_small_frozen_curves_scalars,238,-0.004211208292840829,-0.08501415893034392,0.07851988166766298,-0.004729917947648321,-0.10206627049741554,0.12478511126814762
mid_first_rel15,mantis_v2_adapter_curves_vs_current_cnn,current_cnn,mantis_v2_adapter_curves,238,-0.13238311197494868,-0.24164900888585095,-0.025495039224734766,-0.1096351613815442,-0.21476338839247994,-0.004894426436726386
mid_first_rel15,mantis_v2_adapter_curves_scalars_vs_current_cnn,current_cnn,mantis_v2_adapter_curves_scalars,238,-0.0653277183889428,-0.14543915040763783,0.013128249224987986,-0.08575657994312963,-0.16511120820657157,-0.003850590182693377
mid_first_rel15,multirocket_whole_curves_vs_current_cnn,current_cnn,multirocket_whole_curves,238,-0.15927005722924092,-0.2798479767211282,-0.03402573900078597,-0.07831921168652617,-0.20740887393088397,0.0537866073937875
mid_first_rel15,multirocket_whole_curves_scalars_vs_current_cnn,current_cnn,multirocket_whole_curves_scalars,238,-0.15603066623474782,-0.27018254108277057,-0.04034755086256849,-0.08139604493864305,-0.2080271532592386,0.04342107105213215
mid_first_rel15,multirocket_segment_curves_vs_current_cnn,current_cnn,multirocket_segment_curves,238,-0.08562790195443248,-0.18714720979628607,0.023484329370045742,-0.058827903686823224,-0.16213776216722767,0.04850582175063053
mid_first_rel15,multirocket_segment_curves_scalars_vs_current_cnn,current_cnn,multirocket_segment_curves_scalars,238,-0.084764064355901,-0.18971640270896487,0.0241928083959396,-0.05803755611393807,-0.16214006316101204,0.051282021851659226
