model,repeat,fold,train_n,test_n,pca_components,seconds,best_epoch,best_val_loss,parameters,features
mantis_v2_frozen_curves,0,0,188.0,50.0,32.0,0.08306503295898438,,,,
mantis_v2_frozen_curves_scalars,0,0,188.0,50.0,32.0,0.08306503295898438,,,,
mantis_v2_frozen_curves,0,1,186.0,52.0,32.0,0.046880245208740234,,,,
mantis_v2_frozen_curves_scalars,0,1,186.0,52.0,32.0,0.046880245208740234,,,,
mantis_v2_frozen_curves,0,2,195.0,43.0,32.0,0.03926253318786621,,,,
mantis_v2_frozen_curves_scalars,0,2,195.0,43.0,32.0,0.03926253318786621,,,,
mantis_v2_frozen_curves,0,3,195.0,43.0,32.0,0.055413246154785156,,,,
mantis_v2_frozen_curves_scalars,0,3,195.0,43.0,32.0,0.0584108829498291,,,,
mantis_v2_frozen_curves,0,4,188.0,50.0,32.0,0.04275202751159668,,,,
mantis_v2_frozen_curves_scalars,0,4,188.0,50.0,32.0,0.04275202751159668,,,,
mantis_v2_frozen_curves,1,0,189.0,49.0,32.0,0.05920743942260742,,,,
mantis_v2_frozen_curves_scalars,1,0,189.0,49.0,32.0,0.062177181243896484,,,,
mantis_v2_frozen_curves,1,1,188.0,50.0,32.0,0.05010390281677246,,,,
mantis_v2_frozen_curves_scalars,1,1,188.0,50.0,32.0,0.05310368537902832,,,,
mantis_v2_frozen_curves,1,2,194.0,44.0,32.0,0.04650163650512695,,,,
mantis_v2_frozen_curves_scalars,1,2,194.0,44.0,32.0,0.05458664894104004,,,,
mantis_v2_frozen_curves,1,3,192.0,46.0,32.0,0.0525815486907959,,,,
mantis_v2_frozen_curves_scalars,1,3,192.0,46.0,32.0,0.0525815486907959,,,,
mantis_v2_frozen_curves,1,4,189.0,49.0,32.0,0.05062699317932129,,,,
mantis_v2_frozen_curves_scalars,1,4,189.0,49.0,32.0,0.06069612503051758,,,,
mantis_v2_frozen_curves,2,0,187.0,51.0,32.0,0.04041790962219238,,,,
mantis_v2_frozen_curves_scalars,2,0,187.0,51.0,32.0,0.04866361618041992,,,,
mantis_v2_frozen_curves,2,1,195.0,43.0,32.0,0.0419163703918457,,,,
mantis_v2_frozen_curves_scalars,2,1,195.0,43.0,32.0,0.0419163703918457,,,,
mantis_v2_frozen_curves,2,2,189.0,49.0,32.0,0.05085301399230957,,,,
mantis_v2_frozen_curves_scalars,2,2,189.0,49.0,32.0,0.05085301399230957,,,,
mantis_v2_frozen_curves,2,3,187.0,51.0,32.0,0.04854941368103027,,,,
mantis_v2_frozen_curves_scalars,2,3,187.0,51.0,32.0,0.05057644844055176,,,,
mantis_v2_frozen_curves,2,4,194.0,44.0,32.0,0.04042220115661621,,,,
mantis_v2_frozen_curves_scalars,2,4,194.0,44.0,32.0,0.05048704147338867,,,,
mantis_random_frozen_curves,0,0,188.0,50.0,32.0,0.040460824966430664,,,,
mantis_random_frozen_curves_scalars,0,0,188.0,50.0,32.0,0.040460824966430664,,,,
mantis_random_frozen_curves,0,1,186.0,52.0,32.0,0.0472104549407959,,,,
mantis_random_frozen_curves_scalars,0,1,186.0,52.0,32.0,0.050208091735839844,,,,
mantis_random_frozen_curves,0,2,195.0,43.0,32.0,0.03608202934265137,,,,
mantis_random_frozen_curves_scalars,0,2,195.0,43.0,32.0,0.03908133506774902,,,,
mantis_random_frozen_curves,0,3,195.0,43.0,32.0,0.03999948501586914,,,,
mantis_random_frozen_curves_scalars,0,3,195.0,43.0,32.0,0.043999671936035156,,,,
mantis_random_frozen_curves,0,4,188.0,50.0,32.0,0.04117250442504883,,,,
mantis_random_frozen_curves_scalars,0,4,188.0,50.0,32.0,0.04417252540588379,,,,
mantis_random_frozen_curves,1,0,189.0,49.0,32.0,0.04107546806335449,,,,
mantis_random_frozen_curves_scalars,1,0,189.0,49.0,32.0,0.044077157974243164,,,,
mantis_random_frozen_curves,1,1,188.0,50.0,32.0,0.040077924728393555,,,,
mantis_random_frozen_curves_scalars,1,1,188.0,50.0,32.0,0.04407930374145508,,,,
mantis_random_frozen_curves,1,2,194.0,44.0,32.0,0.0891108512878418,,,,
mantis_random_frozen_curves_scalars,1,2,194.0,44.0,32.0,0.0931389331817627,,,,
mantis_random_frozen_curves,1,3,192.0,46.0,32.0,0.0389707088470459,,,,
mantis_random_frozen_curves_scalars,1,3,192.0,46.0,32.0,0.041970252990722656,,,,
mantis_random_frozen_curves,1,4,189.0,49.0,32.0,0.03757643699645996,,,,
mantis_random_frozen_curves_scalars,1,4,189.0,49.0,32.0,0.040085792541503906,,,,
mantis_random_frozen_curves,2,0,187.0,51.0,32.0,0.039209604263305664,,,,
mantis_random_frozen_curves_scalars,2,0,187.0,51.0,32.0,0.04220938682556152,,,,
mantis_random_frozen_curves,2,1,195.0,43.0,32.0,0.04000139236450195,,,,
mantis_random_frozen_curves_scalars,2,1,195.0,43.0,32.0,0.043000221252441406,,,,
mantis_random_frozen_curves,2,2,189.0,49.0,32.0,0.04109454154968262,,,,
