task,comparison,reference_model,candidate_model,n,delta_roc_auc,delta_roc_auc_ci_low,delta_roc_auc_ci_high,delta_average_precision,delta_average_precision_ci_low,delta_average_precision_ci_high
mid_first_rel15,mambasl_scalars,mambasl_curves,mambasl_curves_scalars,238,0.128495842781557,0.0276574641155897,0.2257380078245451,0.0518247247307438,0.0002424523849913,0.1142733387135475
mid_first_rel15,timemil_scalars,timemil_curves,timemil_curves_scalars,238,0.0745059928733398,-0.0168213246664343,0.1626107808575838,0.059824796377416,-0.0613791731498407,0.1618172504399525
mid_first_rel15,ts2vec_scalars,ts2vec_ssl_curves,ts2vec_ssl_curves_scalars,238,-0.0083144368858654,-0.0586112263927053,0.041445237277094,-0.033972573215286,-0.1118319498305497,0.0168140638776715
mid_first_rel15,ts2vec_random_scalars,ts2vec_random_curves,ts2vec_random_curves_scalars,238,-0.0129575639779719,-0.0589207561214709,0.0326274285624788,-0.0317816049893581,-0.0885840773141994,0.0278321274510889
mid_first_rel15,ts2vec_ssl_value_curves,ts2vec_random_curves,ts2vec_ssl_curves,238,-0.0191124068675088,-0.0913324831550536,0.0593822916666665,-0.0181612771373213,-0.1002618571646486,0.0908999420657363
mid_first_rel15,ts2vec_ssl_value_scalars,ts2vec_random_curves_scalars,ts2vec_ssl_curves_scalars,238,-0.0144692797754022,-0.0701859783802203,0.0423244097599526,-0.0203522453632493,-0.0859870825510905,0.0390476124280083
mid_first_rel15,timemil_vs_mambasl_curves,mambasl_curves,timemil_curves,238,0.1517114782420905,0.0543510047697239,0.2397523203603241,0.0950775925995149,0.0251677267582604,0.1989830862853354
mid_first_rel15,timemil_vs_mambasl_scalars,mambasl_curves_scalars,timemil_curves_scalars,238,0.0977216283338733,0.0276448049169487,0.1748080451228188,0.1030776642461871,0.0270768047445729,0.1861964246350809
mid_first_rel15,timemil_vs_scalar,scalar_mlp,timemil_curves_scalars,238,0.00928625418421336,-0.026405521882833648,0.047203990404452015,0.05019251437644079,-0.005254468649864231,0.09661247750217014
mid_first_rel15,mambasl_vs_scalar,scalar_mlp,mambasl_curves_scalars,238,-0.08843537414965996,-0.1592778890160182,-0.017469397870171086,-0.05288514986974638,-0.12555724662260628,-0.0006116916412811197
