model,repeat,fold,best_epoch,best_val_loss,parameters,seconds,iterations,loss_first,loss_last,pca_components
mambasl_curves,0,0,14.0,1.548346757888794,35990.0,66.71679282188416,,,,
mambasl_curves_scalars,0,0,15.0,1.5323128700256348,44262.0,71.37326407432556,,,,
timemil_curves,0,0,32.0,1.514762043952942,15027.0,6.399299383163452,,,,
timemil_curves_scalars,0,0,24.0,1.5056254863739014,23299.0,5.7623131275177,,,,
mambasl_curves,0,1,6.0,0.9790337681770324,35990.0,53.52080583572388,,,,
mambasl_curves_scalars,0,1,12.0,0.9593495726585388,44262.0,66.18211889266968,,,,
timemil_curves,0,1,18.0,0.9098600745201112,15027.0,4.785252094268799,,,,
timemil_curves_scalars,0,1,15.0,0.9204906225204468,23299.0,4.765655994415283,,,,
mambasl_curves,0,2,4.0,1.3925625085830688,35990.0,50.15654516220093,,,,
mambasl_curves_scalars,0,2,6.0,1.3857898712158203,44262.0,54.667052268981934,,,,
timemil_curves,0,2,17.0,1.3720147609710691,15027.0,4.746199607849121,,,,
timemil_curves_scalars,0,2,13.0,1.3777244091033936,23299.0,4.418971061706543,,,,
mambasl_curves,0,3,1.0,1.169722557067871,35990.0,44.62614130973816,,,,
mambasl_curves_scalars,0,3,12.0,1.1688365936279297,44262.0,67.23059892654419,,,,
timemil_curves,0,3,10.0,1.1678239107131958,15027.0,4.430355787277222,,,,
timemil_curves_scalars,0,3,15.0,1.1221483945846558,23299.0,5.31160306930542,,,,
mambasl_curves,0,4,2.0,1.3346412181854248,35990.0,48.02455139160156,,,,
mambasl_curves_scalars,0,4,7.0,1.32857084274292,44262.0,56.30009055137634,,,,
timemil_curves,0,4,30.0,1.2438433170318604,15027.0,6.013181209564209,,,,
timemil_curves_scalars,0,4,14.0,1.3007162809371948,23299.0,4.528125286102295,,,,
mambasl_curves,1,0,21.0,0.9802044034004213,35990.0,77.35213541984558,,,,
mambasl_curves_scalars,1,0,12.0,1.0394799709320068,44262.0,64.42921662330627,,,,
timemil_curves,1,0,24.0,1.0182191133499146,15027.0,5.474432229995728,,,,
timemil_curves_scalars,1,0,15.0,1.0177088975906372,23299.0,4.663620233535767,,,,
mambasl_curves,1,1,14.0,1.350435733795166,35990.0,68.80177426338196,,,,
mambasl_curves_scalars,1,1,2.0,1.3680386543273926,44262.0,47.81259202957153,,,,
timemil_curves,1,1,38.0,1.323488473892212,15027.0,7.154741764068604,,,,
timemil_curves_scalars,1,1,4.0,1.3673527240753174,23299.0,3.515601634979248,,,,
mambasl_curves,1,2,21.0,1.1563351154327393,35990.0,80.72213983535767,,,,
