index,model,segment,temporal_patch,mean,std
0,timemil_curves,1,1,0.005484722639794047,0.002992387970768054
1,timemil_curves,1,2,0.006088651844863819,0.0041238909043325766
2,timemil_curves,1,3,0.004811647699797573,0.00237252751262523
3,timemil_curves,1,4,0.005210411858142298,0.0019128811539176622
4,timemil_curves,1,5,0.005304128418778296,0.001515321405389032
5,timemil_curves,1,6,0.004377594128145422,0.0014145458850651864
6,timemil_curves,1,7,0.004630404299989875,0.0012132950073007803
7,timemil_curves,1,8,0.003971418764974389,0.0010675899045681258
8,timemil_curves,1,9,0.004206732775382071,0.0012254831364000094
9,timemil_curves,1,10,0.004197130839637786,0.0012567604115276828
10,timemil_curves,1,11,0.004442527182908932,0.0013817980371784663
11,timemil_curves,1,12,0.004326488509159848,0.0022779881283605512
12,timemil_curves,2,1,0.00468522754444999,0.0021234668467236552
13,timemil_curves,2,2,0.005568124892917939,0.003574941808516789
14,timemil_curves,2,3,0.004441263159529595,0.0019592097453073254
15,timemil_curves,2,4,0.004983453252235381,0.0018361998459378462
16,timemil_curves,2,5,0.005073199566148472,0.0014130255225951688
17,timemil_curves,2,6,0.004129043679504397,0.0010917539036145371
18,timemil_curves,2,7,0.004475167367466483,0.0011335786648923065
19,timemil_curves,2,8,0.003789648468441823,0.0009616092955287376
20,timemil_curves,2,9,0.004159397927911154,0.001542637221111289
21,timemil_curves,2,10,0.004203358955657845,0.0016093663470140075
22,timemil_curves,2,11,0.004540578321311153,0.001814575346341121
23,timemil_curves,2,12,0.0044385550055504154,0.002297121802657349
24,timemil_curves,3,1,0.0055305109679221545,0.0027574931109112908
25,timemil_curves,3,2,0.005884365759253846,0.0037051285968790625
26,timemil_curves,3,3,0.004858155587605913,0.002620812572119825
27,timemil_curves,3,4,0.005530996412477072,0.0028994401404392103
28,timemil_curves,3,5,0.0055043752463691,0.0019385067973139711
29,timemil_curves,3,6,0.004652640024129646,0.0023523789037313346
30,timemil_curves,3,7,0.00470991713041831,0.0016183296886927848
31,timemil_curves,3,8,0.004022069062603277,0.0013062214557648037
32,timemil_curves,3,9,0.004409363475225146,0.0019026757619027077
33,timemil_curves,3,10,0.004237310347018153,0.0014346001002074821
34,timemil_curves,3,11,0.004415915751176253,0.0015852511460062546
35,timemil_curves,3,12,0.004324179433751851,0.0019957070978673976
36,timemil_curves,4,1,0.005955137632798967,0.0033412865657265808
37,timemil_curves,4,2,0.006810720321260581,0.0049918655178051875
38,timemil_curves,4,3,0.005199977404637528,0.00319108979861497
39,timemil_curves,4,4,0.005356306564297621,0.002070616568953549
40,timemil_curves,4,5,0.005328201635998963,0.0017171150044630332
41,timemil_curves,4,6,0.004479674936444382,0.0018711459335563215
42,timemil_curves,4,7,0.004634748607239991,0.0013909071576198838
43,timemil_curves,4,8,0.0039041109633545915,0.0009953133613163443
44,timemil_curves,4,9,0.004261499156338014,0.0016789863116907218
45,timemil_curves,4,10,0.004220615291259713,0.0014296466558760491
46,timemil_curves,4,11,0.004406065885525416,0.0015086979274885443
47,timemil_curves,4,12,0.004397783796263843,0.002269126634475257
48,timemil_curves,5,1,0.006159869455067175,0.0030118348521568734
49,timemil_curves,5,2,0.00746902238436732,0.004379663774236664
50,timemil_curves,5,3,0.005325994559000207,0.00248670303064573
51,timemil_curves,5,4,0.005274517222957201,0.0020675084900645593
52,timemil_curves,5,5,0.005183081612178758,0.0014521707795157382
53,timemil_curves,5,6,0.004150609020632887,0.0009806490199889837
54,timemil_curves,5,7,0.004524784647867459,0.0012188550739920994
55,timemil_curves,5,8,0.003999101817353527,0.001435691392236404
56,timemil_curves,5,9,0.004341933233056906,0.0016288328052836672
57,timemil_curves,5,10,0.004292023599053882,0.001498928459542856
58,timemil_curves,5,11,0.004458801751905473,0.001626220866081996
59,timemil_curves,5,12,0.004139749552886307,0.001534412498102453
60,timemil_curves,6,1,0.00600495796499993,0.0034271457988463757
61,timemil_curves,6,2,0.0067471898779147815,0.004694918049745498
62,timemil_curves,6,3,0.004852857232336425,0.002327641458613813
63,timemil_curves,6,4,0.005245779230095008,0.002308122797885693
64,timemil_curves,6,5,0.0051508094819982635,0.0016277666452494278
65,timemil_curves,6,6,0.004139604672550873,0.001418223891518634
66,timemil_curves,6,7,0.004494033401691112,0.0013416035766744248
67,timemil_curves,6,8,0.003992616268903988,0.0017398057229119884
68,timemil_curves,6,9,0.004200010103596171,0.0014191783116204303
69,timemil_curves,6,10,0.00426790674516399,0.0016264964212314643
70,timemil_curves,6,11,0.004508430639598831,0.0017119187869737375
71,timemil_curves,6,12,0.004121830046153432,0.001618272331684187
72,timemil_curves,7,1,0.0046126442734433825,0.0023047178055745077
73,timemil_curves,7,2,0.004907720521710688,0.0026820068182168157
74,timemil_curves,7,3,0.0044346829585754505,0.0017068822544239876
75,timemil_curves,7,4,0.005100303576053942,0.001685776097727532
