ensemble,repeat,fold,model,weight,train_ap
cnn_mantis,0,0,current_cnn,0.7,0.3544087509638927
cnn_mantis,0,0,mantis_random_frozen_curves_scalars,0.3,0.3544087509638927
cnn_mantis,0,1,current_cnn,0.6,0.3943566612347026
cnn_mantis,0,1,mantis_random_frozen_curves_scalars,0.4,0.3943566612347026
cnn_mantis,0,2,current_cnn,0.6,0.35829103356201847
cnn_mantis,0,2,mantis_random_frozen_curves_scalars,0.4,0.35829103356201847
cnn_mantis,0,3,current_cnn,0.9,0.3778235917930791
cnn_mantis,0,3,mantis_random_frozen_curves_scalars,0.1,0.3778235917930791
cnn_mantis,0,4,current_cnn,0.7,0.40246861893779745
cnn_mantis,0,4,mantis_random_frozen_curves_scalars,0.3,0.40246861893779745
cnn_mantis,1,0,current_cnn,0.9,0.42937164770372205
cnn_mantis,1,0,mantis_random_frozen_curves_scalars,0.1,0.42937164770372205
cnn_mantis,1,1,current_cnn,0.7,0.38139634990733934
cnn_mantis,1,1,mantis_random_frozen_curves_scalars,0.3,0.38139634990733934
cnn_mantis,1,2,current_cnn,0.7,0.3738608911356688
cnn_mantis,1,2,mantis_random_frozen_curves_scalars,0.3,0.3738608911356688
cnn_mantis,1,3,current_cnn,0.8,0.37312833162142967
cnn_mantis,1,3,mantis_random_frozen_curves_scalars,0.2,0.37312833162142967
cnn_mantis,1,4,current_cnn,0.6,0.3563345581790297
cnn_mantis,1,4,mantis_random_frozen_curves_scalars,0.4,0.3563345581790297
cnn_mantis,2,0,current_cnn,0.8,0.3938222524551002
cnn_mantis,2,0,mantis_random_frozen_curves_scalars,0.2,0.3938222524551002
cnn_mantis,2,1,current_cnn,0.7,0.34964548060588924
cnn_mantis,2,1,mantis_random_frozen_curves_scalars,0.3,0.34964548060588924
cnn_mantis,2,2,current_cnn,0.9,0.3799755110694806
cnn_mantis,2,2,mantis_random_frozen_curves_scalars,0.1,0.3799755110694806
cnn_mantis,2,3,current_cnn,0.6,0.40671961683488633
cnn_mantis,2,3,mantis_random_frozen_curves_scalars,0.4,0.40671961683488633
cnn_mantis,2,4,current_cnn,0.6,0.372032962628116
cnn_mantis,2,4,mantis_random_frozen_curves_scalars,0.4,0.372032962628116
cnn_moment,0,0,current_cnn,0.4,0.35430761596978777
cnn_moment,0,0,moment_small_frozen_curves_scalars,0.6,0.35430761596978777
cnn_moment,0,1,current_cnn,0.6,0.3588197791754138
cnn_moment,0,1,moment_small_frozen_curves_scalars,0.4,0.3588197791754138
cnn_moment,0,2,current_cnn,0.4,0.3486997231138719
cnn_moment,0,2,moment_small_frozen_curves_scalars,0.6,0.3486997231138719
cnn_moment,0,3,current_cnn,0.9,0.36887000583453794
cnn_moment,0,3,moment_small_frozen_curves_scalars,0.1,0.36887000583453794
cnn_moment,0,4,current_cnn,0.4,0.4085186384586844
cnn_moment,0,4,moment_small_frozen_curves_scalars,0.6,0.4085186384586844
cnn_moment,1,0,current_cnn,0.8,0.4321934153239533
cnn_moment,1,0,moment_small_frozen_curves_scalars,0.2,0.4321934153239533
cnn_moment,1,1,current_cnn,0.9,0.35031940251018606
cnn_moment,1,1,moment_small_frozen_curves_scalars,0.1,0.35031940251018606
cnn_moment,1,2,current_cnn,0.4,0.350064472615114
cnn_moment,1,2,moment_small_frozen_curves_scalars,0.6,0.350064472615114
cnn_moment,1,3,current_cnn,0.9,0.3710089823831666
cnn_moment,1,3,moment_small_frozen_curves_scalars,0.1,0.3710089823831666
cnn_moment,1,4,current_cnn,0.4,0.3514309686358144
cnn_moment,1,4,moment_small_frozen_curves_scalars,0.6,0.3514309686358144
cnn_moment,2,0,current_cnn,0.9,0.3820065952465085
cnn_moment,2,0,moment_small_frozen_curves_scalars,0.1,0.3820065952465085
cnn_moment,2,1,current_cnn,0.7,0.3406984390195211
cnn_moment,2,1,moment_small_frozen_curves_scalars,0.3,0.3406984390195211
cnn_moment,2,2,current_cnn,0.9,0.3868576642702479
cnn_moment,2,2,moment_small_frozen_curves_scalars,0.1,0.3868576642702479
cnn_moment,2,3,current_cnn,0.4,0.3858116409655134
cnn_moment,2,3,moment_small_frozen_curves_scalars,0.6,0.3858116409655134
cnn_moment,2,4,current_cnn,0.4,0.3426379784943998
cnn_moment,2,4,moment_small_frozen_curves_scalars,0.6,0.3426379784943998
cnn_timemil,0,0,current_cnn,0.1,0.35843292710933594
cnn_timemil,0,0,timemil_curves_scalars,0.9,0.35843292710933594
cnn_timemil,0,1,current_cnn,0.8,0.31938719116318787
cnn_timemil,0,1,timemil_curves_scalars,0.2,0.31938719116318787
cnn_timemil,0,2,current_cnn,0.7,0.3489700701550676
cnn_timemil,0,2,timemil_curves_scalars,0.3,0.3489700701550676
cnn_timemil,0,3,current_cnn,0.6,0.35883146245564157
cnn_timemil,0,3,timemil_curves_scalars,0.4,0.35883146245564157
cnn_timemil,0,4,current_cnn,0.6,0.3716153348821849
cnn_timemil,0,4,timemil_curves_scalars,0.4,0.3716153348821849
cnn_timemil,1,0,current_cnn,0.7,0.39866697056163525
