model,repeat,fold,best_epoch,best_val_loss,parameters,seconds
timemil_uniform_curves,0,0,34,1.5359100103378296,14482,4.483183145523071
timemil_uniform_curves_scalars,0,0,20,1.4911019802093506,22754,4.132206916809082
timemil_hierarchical_curves,0,0,17,1.609249234199524,24116,6.016140937805176
timemil_hierarchical_curves_scalars,0,0,19,1.4892005920410156,32388,7.228994369506836
timemil_uniform_curves,0,1,18,0.9241695404052734,14482,4.263750314712524
timemil_uniform_curves_scalars,0,1,15,0.9143118262290955,22754,4.261717796325684
timemil_hierarchical_curves,0,1,26,0.9183707237243652,24116,7.603443384170532
timemil_hierarchical_curves_scalars,0,1,14,0.9003478288650513,32388,6.7180705070495605
timemil_uniform_curves,0,2,29,1.3589595556259155,14482,5.321244716644287
timemil_uniform_curves_scalars,0,2,13,1.3689576387405396,22754,4.111815929412842
timemil_hierarchical_curves,0,2,13,1.3783042430877686,24116,5.676854848861694
timemil_hierarchical_curves_scalars,0,2,13,1.3672062158584595,32388,6.751636505126953
timemil_uniform_curves,0,3,15,1.1668016910552979,14482,4.040752649307251
timemil_uniform_curves_scalars,0,3,15,1.1243469715118408,22754,4.418960094451904
timemil_hierarchical_curves,0,3,3,1.1722294092178345,24116,4.044385671615601
timemil_hierarchical_curves_scalars,0,3,5,1.163114070892334,32388,4.840403079986572
timemil_uniform_curves,0,4,34,1.214677095413208,14482,5.793016672134399
timemil_uniform_curves_scalars,0,4,14,1.290189504623413,22754,4.0609941482543945
timemil_hierarchical_curves,0,4,19,1.251025676727295,24116,6.520937442779541
timemil_hierarchical_curves_scalars,0,4,14,1.2746917009353638,32388,6.48321270942688
timemil_uniform_curves,1,0,36,0.9842624068260193,14482,5.915007591247559
timemil_uniform_curves_scalars,1,0,20,1.0179831981658936,22754,4.7889320850372314
timemil_hierarchical_curves,1,0,19,1.0555998086929321,24116,6.472111463546753
timemil_hierarchical_curves_scalars,1,0,17,0.9979116916656494,32388,6.944092035293579
timemil_uniform_curves,1,1,24,1.3277140855789185,14482,4.977954864501953
timemil_uniform_curves_scalars,1,1,4,1.373478651046753,22754,3.060451030731201
timemil_hierarchical_curves,1,1,20,1.337470531463623,24116,6.675448417663574
timemil_hierarchical_curves_scalars,1,1,6,1.3670642375946045,32388,5.0967042446136475
timemil_uniform_curves,1,2,25,1.1583428382873535,14482,4.940867185592651
timemil_uniform_curves_scalars,1,2,6,1.2383925914764404,22754,3.2357685565948486
timemil_hierarchical_curves,1,2,17,1.1998264789581299,24116,6.201868295669556
timemil_hierarchical_curves_scalars,1,2,10,1.2219359874725342,32388,5.838481903076172
timemil_uniform_curves,1,3,18,1.2396878004074097,14482,4.208771228790283
timemil_uniform_curves_scalars,1,3,9,1.220853567123413,22754,3.5632739067077637
timemil_hierarchical_curves,1,3,15,1.2364550828933716,24116,5.867674350738525
timemil_hierarchical_curves_scalars,1,3,10,1.2351882457733154,32388,5.7081098556518555
timemil_uniform_curves,1,4,30,1.0290366411209106,14482,5.390064477920532
timemil_uniform_curves_scalars,1,4,15,0.9617828726768494,22754,4.338801383972168
timemil_hierarchical_curves,1,4,21,1.0213667154312134,24116,6.667259931564331
timemil_hierarchical_curves_scalars,1,4,18,0.9588093161582947,32388,6.501652002334595
timemil_uniform_curves,2,0,1,1.0492874383926392,14482,2.7108497619628906
timemil_uniform_curves_scalars,2,0,10,1.041319489479065,22754,3.6521241664886475
timemil_hierarchical_curves,2,0,7,1.0548442602157593,24116,4.664632797241211
timemil_hierarchical_curves_scalars,2,0,1,1.0491960048675537,32388,4.181099891662598
timemil_uniform_curves,2,1,25,1.119185209274292,14482,4.848120927810669
timemil_uniform_curves_scalars,2,1,1,1.1272838115692139,22754,2.672865629196167
timemil_hierarchical_curves,2,1,5,1.1293519735336304,24116,4.260457992553711
timemil_hierarchical_curves_scalars,2,1,13,1.1262613534927368,32388,6.142808198928833
timemil_uniform_curves,2,2,33,0.9625338912010193,14482,5.598368406295776
timemil_uniform_curves_scalars,2,2,1,1.02072274684906,22754,2.6852974891662598
timemil_hierarchical_curves,2,2,13,0.9854699373245239,24116,5.465372800827026
timemil_hierarchical_curves_scalars,2,2,13,0.9926027059555054,32388,6.112483263015747
timemil_uniform_curves,2,3,37,1.148783564567566,14482,6.278723955154419
timemil_uniform_curves_scalars,2,3,15,1.071454644203186,22754,4.337828874588013
timemil_hierarchical_curves,2,3,10,1.1649709939956665,24116,5.085195541381836
timemil_hierarchical_curves_scalars,2,3,14,1.1031503677368164,32388,6.681073188781738
timemil_uniform_curves,2,4,41,0.9259117841720581,14482,6.443854093551636
timemil_uniform_curves_scalars,2,4,16,0.9520076513290405,22754,4.291951656341553
timemil_hierarchical_curves,2,4,35,0.9071162939071655,24116,8.817506313323975
timemil_hierarchical_curves_scalars,2,4,25,0.9520775079727173,32388,8.25407338142395
