reference_model,model,pearson,spearman
current_cnn,catch22_xgb_curves,0.19079104105696937,0.26613474818282223
current_cnn,catch22_xgb_curves_scalars,0.4121075003866254,0.46293820798241
current_cnn,clinical_ridge,0.49594571161076667,0.5248239134558051
current_cnn,convtran_small_curves,0.31747931158054105,0.3403809491175157
current_cnn,convtran_small_curves_scalars,0.2730657672373165,0.22956687305351273
current_cnn,drcif_curves,0.2327454094021611,0.24376615432052812
current_cnn,drcif_curves_scalar_blend,0.8743807591670004,0.8286507846267601
current_cnn,ensemble_cnn_moment,0.7773132916212433,0.7392748601319569
current_cnn,ensemble_cnn_moment_catch22_xgb_curves_scalars,0.7170235079497319,0.7069039989807563
current_cnn,ensemble_cnn_moment_convtran_small_curves_scalars,0.7733420145785131,0.732645091285943
current_cnn,ensemble_cnn_moment_drcif_curves_scalar_blend,0.8158871913719304,0.767084639708644
current_cnn,ensemble_cnn_moment_inception_segment_curves_scalars,0.7768130553822105,0.7310820040016249
current_cnn,ensemble_cnn_moment_inception_whole_curves_scalars,0.7831939393436909,0.7315729166652362
current_cnn,ensemble_cnn_moment_rdst_shapelet_curves_scalars,0.677493084333705,0.6655507267896624
current_cnn,ensemble_cnn_moment_timemil,0.8600562913470752,0.7994363628321608
current_cnn,inception_segment_curves,0.4345468864390606,0.4004080405535214
current_cnn,inception_segment_curves_scalars,0.5782430175786304,0.5352594793884373
current_cnn,inception_whole_curves,0.34361314879298865,0.28793652227801503
current_cnn,inception_whole_curves_scalars,0.5205174354321055,0.4401804226438474
current_cnn,moment_small_frozen_curves_scalars,0.5581598321839014,0.5794358331981044
current_cnn,rdst_shapelet_curves,0.24056797455029064,0.2713785677681966
current_cnn,rdst_shapelet_curves_scalars,0.3418457869498939,0.3632620189599952
current_cnn,scalar_mlp,0.9353066016266168,0.9148649289200272
current_cnn,timemil_curves_scalars,0.9490664170529644,0.8928312731405722
