family,model,seed_index,repeat,fold,best_epoch,best_val_loss,parameters,seconds
neural,inception_whole_curves,0,0,0,7,1.6156657934188843,66162,4.045639276504517
neural,inception_whole_curves,1,0,0,5,1.6091023683547974,66162,3.968444347381592
neural,inception_whole_curves,2,0,0,9,1.426089882850647,66162,5.311790227890015
neural,inception_whole_curves_scalars,0,0,0,6,1.6040692329406738,74434,6.032405376434326
neural,inception_whole_curves_scalars,1,0,0,7,1.6237138509750366,74434,6.165344715118408
neural,inception_whole_curves_scalars,2,0,0,9,1.546427845954895,74434,6.640525817871094
neural,inception_segment_curves,0,0,0,15,1.5719374418258667,64546,8.270017623901367
neural,inception_segment_curves,1,0,0,7,1.6273903846740723,64546,5.927305221557617
neural,inception_segment_curves,2,0,0,6,1.633880853652954,64546,5.703019857406616
neural,inception_segment_curves_scalars,0,0,0,7,1.6034700870513916,72818,6.014756917953491
neural,inception_segment_curves_scalars,1,0,0,10,1.6131511926651,72818,6.7999796867370605
neural,inception_segment_curves_scalars,2,0,0,7,1.604063630104065,72818,6.302952527999878
neural,convtran_small_curves,0,0,0,7,1.5533809661865234,120978,2.4734106063842773
neural,convtran_small_curves,1,0,0,2,1.6401445865631104,120978,2.3901941776275635
neural,convtran_small_curves,2,0,0,1,1.6489977836608887,120978,2.436784029006958
neural,convtran_small_curves_scalars,0,0,0,7,1.5205034017562866,129250,3.5507261753082275
neural,convtran_small_curves_scalars,1,0,0,1,1.6374468803405762,129250,2.7183191776275635
neural,convtran_small_curves_scalars,2,0,0,2,1.6323391199111938,129250,2.9063220024108887
neural,inception_whole_curves,0,0,1,1,0.9919177889823914,66162,3.7678470611572266
neural,inception_whole_curves,1,0,1,9,0.9137786626815796,66162,6.124916315078735
neural,inception_whole_curves,2,0,1,12,0.9437747001647949,66162,6.950080156326294
neural,inception_whole_curves_scalars,0,0,1,12,0.9856446385383606,74434,7.243901491165161
neural,inception_whole_curves_scalars,1,0,1,16,0.7739437222480774,74434,8.388144731521606
neural,inception_whole_curves_scalars,2,0,1,9,0.9594498872756958,74434,6.687547922134399
neural,inception_segment_curves,0,0,1,11,0.9057687520980835,64546,7.079198360443115
neural,inception_segment_curves,1,0,1,16,0.8837239146232605,64546,7.921390056610107
neural,inception_segment_curves,2,0,1,15,0.9004322290420532,64546,7.7503275871276855
neural,inception_segment_curves_scalars,0,0,1,15,0.8799769282341003,72818,7.999796390533447
neural,inception_segment_curves_scalars,1,0,1,16,0.8931018710136414,72818,8.218872785568237
neural,inception_segment_curves_scalars,2,0,1,10,0.9131619334220886,72818,6.847185850143433
neural,convtran_small_curves,0,0,1,5,0.9891244173049927,120978,2.2308151721954346
neural,convtran_small_curves,1,0,1,7,0.9206238985061646,120978,2.797159433364868
neural,convtran_small_curves,2,0,1,4,0.9546213746070862,120978,2.7186920642852783
neural,convtran_small_curves_scalars,0,0,1,5,0.9648731350898743,129250,3.1332411766052246
neural,convtran_small_curves_scalars,1,0,1,1,0.994970977306366,129250,2.7311835289001465
neural,convtran_small_curves_scalars,2,0,1,5,0.9714187383651733,129250,3.3241312503814697
neural,inception_whole_curves,0,0,2,9,1.3914698362350464,66162,5.538714170455933
neural,inception_whole_curves,1,0,2,2,1.3961830139160156,66162,4.671614646911621
neural,inception_whole_curves,2,0,2,7,1.3935621976852417,66162,5.761746883392334
neural,inception_whole_curves_scalars,0,0,2,7,1.3908292055130005,74434,6.154729604721069
neural,inception_whole_curves_scalars,1,0,2,6,1.3764021396636963,74434,5.921879768371582
neural,inception_whole_curves_scalars,2,0,2,9,1.3844034671783447,74434,6.689134120941162
neural,inception_segment_curves,0,0,2,6,1.3874415159225464,64546,6.42165994644165
neural,inception_segment_curves,1,0,2,13,1.3397446870803833,64546,7.453065633773804
neural,inception_segment_curves,2,0,2,9,1.3669604063034058,64546,6.343542575836182
neural,inception_segment_curves_scalars,0,0,2,13,1.3503029346466064,72818,7.568276882171631
neural,inception_segment_curves_scalars,1,0,2,9,1.3683483600616455,72818,6.593653202056885
neural,inception_segment_curves_scalars,2,0,2,7,1.3622455596923828,72818,6.222343921661377
neural,convtran_small_curves,0,0,2,1,1.398112177848816,120978,1.8559582233428955
neural,convtran_small_curves,1,0,2,2,1.397871971130371,120978,2.155073404312134
neural,convtran_small_curves,2,0,2,2,1.3813419342041016,120978,2.4035258293151855
neural,convtran_small_curves_scalars,0,0,2,1,1.401153564453125,129250,2.578822374343872
neural,convtran_small_curves_scalars,1,0,2,2,1.3959636688232422,129250,2.8151650428771973
neural,convtran_small_curves_scalars,2,0,2,1,1.3975790739059448,129250,2.7022805213928223
neural,inception_whole_curves,0,0,3,6,1.1657520532608032,66162,4.765751600265503
neural,inception_whole_curves,1,0,3,2,1.1685295104980469,66162,4.628414869308472
neural,inception_whole_curves,2,0,3,11,1.1567124128341675,66162,6.837155818939209
neural,inception_whole_curves_scalars,0,0,3,1,1.178024411201477,74434,4.68734884262085
neural,inception_whole_curves_scalars,1,0,3,1,1.1690410375595093,74434,4.700500249862671
neural,inception_whole_curves_scalars,2,0,3,10,1.1395630836486816,74434,6.98164176940918
neural,inception_segment_curves,0,0,3,11,1.135449767112732,64546,7.261029005050659
neural,inception_segment_curves,1,0,3,13,1.1620709896087646,64546,7.485209941864014
neural,inception_segment_curves,2,0,3,13,1.1521590948104858,64546,7.441670894622803
neural,inception_segment_curves_scalars,0,0,3,12,1.1400244235992432,72818,7.327861785888672
neural,inception_segment_curves_scalars,1,0,3,10,1.170492172241211,72818,6.859561920166016
neural,inception_segment_curves_scalars,2,0,3,18,1.1135014295578003,72818,8.796499252319336
neural,convtran_small_curves,0,0,3,1,1.1557961702346802,120978,1.7971127033233643
neural,convtran_small_curves,1,0,3,3,1.171183466911316,120978,2.264871120452881
neural,convtran_small_curves,2,0,3,3,1.1660797595977783,120978,2.5291903018951416
neural,convtran_small_curves_scalars,0,0,3,1,1.1648789644241333,129250,2.5822737216949463
neural,convtran_small_curves_scalars,1,0,3,3,1.16265869140625,129250,2.9376471042633057
neural,convtran_small_curves_scalars,2,0,3,3,1.1730880737304688,129250,2.999871015548706
neural,inception_whole_curves,0,0,4,7,1.3127373456954956,66162,5.374799013137817
neural,inception_whole_curves,1,0,4,7,1.3244754076004028,66162,5.850544452667236
neural,inception_whole_curves,2,0,4,6,1.3242857456207275,66162,5.613760709762573
neural,inception_whole_curves_scalars,0,0,4,8,1.3124439716339111,74434,6.48438024520874
neural,inception_whole_curves_scalars,1,0,4,7,1.2998884916305542,74434,6.221389293670654
neural,inception_whole_curves_scalars,2,0,4,9,1.2837978601455688,74434,6.735382318496704
neural,inception_segment_curves,0,0,4,6,1.337984561920166,64546,5.991191387176514
neural,inception_segment_curves,1,0,4,1,1.3295629024505615,64546,4.453909397125244
neural,inception_segment_curves,2,0,4,9,1.3046036958694458,64546,6.424678802490234
neural,inception_segment_curves_scalars,0,0,4,6,1.3336619138717651,72818,5.821706771850586
neural,inception_segment_curves_scalars,1,0,4,7,1.3342565298080444,72818,6.307238340377808
neural,inception_segment_curves_scalars,2,0,4,2,1.3313013315200806,72818,4.852402210235596
neural,convtran_small_curves,0,0,4,1,1.3266977071762085,120978,1.8096368312835693
neural,convtran_small_curves,1,0,4,1,1.3549190759658813,120978,2.0511207580566406
neural,convtran_small_curves,2,0,4,2,1.3171030282974243,120978,2.391270160675049
neural,convtran_small_curves_scalars,0,0,4,5,1.3200987577438354,129250,3.1348204612731934
neural,convtran_small_curves_scalars,1,0,4,7,1.2843536138534546,129250,3.5625381469726562
neural,convtran_small_curves_scalars,2,0,4,9,1.3391236066818237,129250,4.0200865268707275
neural,inception_whole_curves,0,1,0,10,1.0480494499206543,66162,5.8042988777160645
neural,inception_whole_curves,1,1,0,10,1.0359700918197632,66162,6.487640619277954
neural,inception_whole_curves,2,1,0,8,1.013008713722229,66162,6.047292947769165
neural,inception_whole_curves_scalars,0,1,0,10,1.0580682754516602,74434,6.837569713592529
neural,inception_whole_curves_scalars,1,1,0,10,1.0180349349975586,74434,6.9208574295043945
neural,inception_whole_curves_scalars,2,1,0,9,1.0263595581054688,74434,6.669872760772705
neural,inception_segment_curves,0,1,0,21,0.9350316524505615,64546,9.262256383895874
neural,inception_segment_curves,1,1,0,19,0.90518718957901,64546,8.640806436538696
neural,inception_segment_curves,2,1,0,17,1.0165601968765259,64546,8.1980881690979
neural,inception_segment_curves_scalars,0,1,0,13,1.006574273109436,72818,7.817843675613403
neural,inception_segment_curves_scalars,1,1,0,20,0.9059262871742249,72818,9.348678588867188
neural,inception_segment_curves_scalars,2,1,0,15,0.947280764579773,72818,7.990502595901489
neural,convtran_small_curves,0,1,0,4,1.0748069286346436,120978,2.1604316234588623
neural,convtran_small_curves,1,1,0,6,1.0435465574264526,120978,2.605285167694092
neural,convtran_small_curves,2,1,0,11,1.0271748304367065,120978,3.515756368637085
neural,convtran_small_curves_scalars,0,1,0,7,1.01556396484375,129250,3.4861958026885986
neural,convtran_small_curves_scalars,1,1,0,2,1.0784754753112793,129250,2.810342311859131
neural,convtran_small_curves_scalars,2,1,0,8,1.0251349210739136,129250,3.7658536434173584
neural,inception_whole_curves,0,1,1,8,1.3301539421081543,66162,5.328387022018433
neural,inception_whole_curves,1,1,1,8,1.3348958492279053,66162,6.088007926940918
neural,inception_whole_curves,2,1,1,4,1.3680038452148438,66162,5.266075372695923
neural,inception_whole_curves_scalars,0,1,1,7,1.3562731742858887,74434,6.209794521331787
neural,inception_whole_curves_scalars,1,1,1,8,1.3476688861846924,74434,6.577699184417725
neural,inception_whole_curves_scalars,2,1,1,4,1.3676247596740723,74434,5.406232118606567
neural,inception_segment_curves,0,1,1,12,1.3371877670288086,64546,7.643390893936157
neural,inception_segment_curves,1,1,1,16,1.316267967224121,64546,8.039173364639282
neural,inception_segment_curves,2,1,1,11,1.3413851261138916,64546,6.859487056732178
neural,inception_segment_curves_scalars,0,1,1,9,1.3480311632156372,72818,6.624910354614258
neural,inception_segment_curves_scalars,1,1,1,13,1.3564667701721191,72818,7.557113409042358
neural,inception_segment_curves_scalars,2,1,1,12,1.313271403312683,72818,7.345991849899292
neural,convtran_small_curves,0,1,1,3,1.3642843961715698,120978,2.018176555633545
neural,convtran_small_curves,1,1,1,1,1.347496747970581,120978,2.0488457679748535
neural,convtran_small_curves,2,1,1,1,1.354877233505249,120978,2.2629926204681396
neural,convtran_small_curves_scalars,0,1,1,3,1.3659926652908325,129250,2.8744845390319824
neural,convtran_small_curves_scalars,1,1,1,1,1.362696647644043,129250,2.691114902496338
neural,convtran_small_curves_scalars,2,1,1,1,1.3751825094223022,129250,2.777891159057617
neural,inception_whole_curves,0,1,2,4,1.242468237876892,66162,4.3521435260772705
neural,inception_whole_curves,1,1,2,8,1.2277214527130127,66162,5.912916898727417
neural,inception_whole_curves,2,1,2,9,1.2035514116287231,66162,6.612066030502319
neural,inception_whole_curves_scalars,0,1,2,7,1.242446780204773,74434,6.227281093597412
neural,inception_whole_curves_scalars,1,1,2,7,1.2392386198043823,74434,6.170564413070679
neural,inception_whole_curves_scalars,2,1,2,7,1.2330788373947144,74434,6.1248815059661865
neural,inception_segment_curves,0,1,2,17,1.2269037961959839,64546,8.53124451637268
neural,inception_segment_curves,1,1,2,11,1.190529465675354,64546,6.843672275543213
neural,inception_segment_curves,2,1,2,11,1.2000327110290527,64546,6.859423637390137
neural,inception_segment_curves_scalars,0,1,2,5,1.2374478578567505,72818,5.656385898590088
neural,inception_segment_curves_scalars,1,1,2,8,1.2374943494796753,72818,6.465857028961182
neural,inception_segment_curves_scalars,2,1,2,11,1.1852819919586182,72818,7.43712306022644
neural,convtran_small_curves,0,1,2,3,1.243818759918213,120978,2.0470011234283447
neural,convtran_small_curves,1,1,2,6,1.2148622274398804,120978,2.562673568725586
neural,convtran_small_curves,2,1,2,2,1.2413266897201538,120978,2.437163829803467
neural,convtran_small_curves_scalars,0,1,2,5,1.2374659776687622,129250,3.1183888912200928
neural,convtran_small_curves_scalars,1,1,2,2,1.246246337890625,129250,2.8267979621887207
neural,convtran_small_curves_scalars,2,1,2,6,1.2189648151397705,129250,3.485701560974121
neural,inception_whole_curves,0,1,3,4,1.2382144927978516,66162,4.343930006027222
neural,inception_whole_curves,1,1,3,5,1.2493312358856201,66162,5.374847888946533
neural,inception_whole_curves,2,1,3,5,1.2334128618240356,66162,5.344920635223389
neural,inception_whole_curves_scalars,0,1,3,10,1.2077133655548096,74434,6.968522548675537
neural,inception_whole_curves_scalars,1,1,3,3,1.2462166547775269,74434,5.1655683517456055
neural,inception_whole_curves_scalars,2,1,3,5,1.2366394996643066,74434,5.718770980834961
neural,inception_segment_curves,0,1,3,17,1.2192330360412598,64546,8.74717664718628
neural,inception_segment_curves,1,1,3,13,1.217641830444336,64546,7.311408519744873
neural,inception_segment_curves,2,1,3,11,1.2236433029174805,64546,6.875390529632568
neural,inception_segment_curves_scalars,0,1,3,12,1.2324974536895752,72818,7.312140941619873
neural,inception_segment_curves_scalars,1,1,3,12,1.2305948734283447,72818,7.3749871253967285
neural,inception_segment_curves_scalars,2,1,3,13,1.2298940420150757,72818,7.753438711166382
neural,convtran_small_curves,0,1,3,1,1.241368055343628,120978,1.812352180480957
neural,convtran_small_curves,1,1,3,2,1.2434282302856445,120978,2.1409950256347656
neural,convtran_small_curves,2,1,3,1,1.2472561597824097,120978,2.26643705368042
neural,convtran_small_curves_scalars,0,1,3,1,1.2386401891708374,129250,2.5468969345092773
neural,convtran_small_curves_scalars,1,1,3,1,1.2480014562606812,129250,2.65376877784729
neural,convtran_small_curves_scalars,2,1,3,3,1.2353259325027466,129250,3.0314419269561768
neural,inception_whole_curves,0,1,4,7,0.9998059272766113,66162,5.034502029418945
neural,inception_whole_curves,1,1,4,9,0.9883920550346375,66162,6.22921347618103
neural,inception_whole_curves,2,1,4,10,0.9585593938827515,66162,6.589998245239258
neural,inception_whole_curves_scalars,0,1,4,8,1.0250439643859863,74434,6.395536422729492
neural,inception_whole_curves_scalars,1,1,4,10,1.007481336593628,74434,6.881280183792114
neural,inception_whole_curves_scalars,2,1,4,8,1.0220848321914673,74434,6.4060962200164795
neural,inception_segment_curves,0,1,4,3,1.0403472185134888,64546,5.234142303466797
neural,inception_segment_curves,1,1,4,12,1.0281846523284912,64546,7.05395245552063
neural,inception_segment_curves,2,1,4,1,1.0349040031433105,64546,4.513570547103882
neural,inception_segment_curves_scalars,0,1,4,1,1.034244179725647,72818,4.666214466094971
neural,inception_segment_curves_scalars,1,1,4,2,1.0317598581314087,72818,4.829481601715088
neural,inception_segment_curves_scalars,2,1,4,1,1.0372873544692993,72818,4.662426233291626
neural,convtran_small_curves,0,1,4,2,1.0398589372634888,120978,1.9833042621612549
neural,convtran_small_curves,1,1,4,1,1.0351959466934204,120978,2.004241466522217
neural,convtran_small_curves,2,1,4,1,1.033530831336975,120978,2.329162120819092
neural,convtran_small_curves_scalars,0,1,4,9,1.01362144947052,129250,3.670407295227051
neural,convtran_small_curves_scalars,1,1,4,1,1.0334446430206299,129250,2.765483856201172
neural,convtran_small_curves_scalars,2,1,4,6,1.024170160293579,129250,3.5140461921691895
neural,inception_whole_curves,0,2,0,1,1.0504937171936035,66162,3.7196903228759766
neural,inception_whole_curves,1,2,0,6,1.0558396577835083,66162,5.458186864852905
neural,inception_whole_curves,2,2,0,1,1.0503385066986084,66162,4.399803876876831
neural,inception_whole_curves_scalars,0,2,0,7,1.0442599058151245,74434,6.120950937271118
neural,inception_whole_curves_scalars,1,2,0,6,1.0560320615768433,74434,5.962456226348877
neural,inception_whole_curves_scalars,2,2,0,1,1.0500953197479248,74434,4.678949356079102
neural,inception_segment_curves,0,2,0,16,1.0251644849777222,64546,8.097924947738647
neural,inception_segment_curves,1,2,0,11,1.0179895162582397,64546,6.7186572551727295
neural,inception_segment_curves,2,2,0,9,1.0359762907028198,64546,6.218346357345581
neural,inception_segment_curves_scalars,0,2,0,9,1.029455304145813,72818,6.459789752960205
neural,inception_segment_curves_scalars,1,2,0,11,1.016374945640564,72818,7.067176342010498
neural,inception_segment_curves_scalars,2,2,0,9,1.0294028520584106,72818,6.796794652938843
neural,convtran_small_curves,0,2,0,4,1.0240823030471802,120978,2.1683425903320312
neural,convtran_small_curves,1,2,0,5,1.042017936706543,120978,2.493708610534668
neural,convtran_small_curves,2,2,0,4,1.0293517112731934,120978,2.6765201091766357
neural,convtran_small_curves_scalars,0,2,0,4,1.0324585437774658,129250,2.9753479957580566
neural,convtran_small_curves_scalars,1,2,0,3,1.0421968698501587,129250,2.9534554481506348
neural,convtran_small_curves_scalars,2,2,0,5,1.0329769849777222,129250,3.280906915664673
neural,inception_whole_curves,0,2,1,4,1.1316550970077515,66162,4.312787055969238
neural,inception_whole_curves,1,2,1,3,1.1315350532531738,66162,4.823915958404541
neural,inception_whole_curves,2,2,1,3,1.131325602531433,66162,5.132671356201172
neural,inception_whole_curves_scalars,0,2,1,4,1.1260021924972534,74434,5.43288254737854
neural,inception_whole_curves_scalars,1,2,1,8,1.1201375722885132,74434,6.346086025238037
neural,inception_whole_curves_scalars,2,2,1,1,1.1297619342803955,74434,4.626084327697754
neural,inception_segment_curves,0,2,1,7,1.133483648300171,64546,6.173395156860352
neural,inception_segment_curves,1,2,1,8,1.1090255975723267,64546,6.261975288391113
neural,inception_segment_curves,2,2,1,1,1.1288948059082031,64546,4.5310516357421875
neural,inception_segment_curves_scalars,0,2,1,4,1.1268028020858765,72818,5.406379699707031
neural,inception_segment_curves_scalars,1,2,1,9,1.115329384803772,72818,6.632884740829468
neural,inception_segment_curves_scalars,2,2,1,6,1.1286840438842773,72818,6.167966365814209
neural,convtran_small_curves,0,2,1,1,1.1326156854629517,120978,1.9281408786773682
neural,convtran_small_curves,1,2,1,3,1.13339364528656,120978,2.3207504749298096
neural,convtran_small_curves,2,2,1,2,1.138191819190979,120978,2.546186923980713
neural,convtran_small_curves_scalars,0,2,1,1,1.1349232196807861,129250,2.6275436878204346
neural,convtran_small_curves_scalars,1,2,1,2,1.1398227214813232,129250,2.8126401901245117
neural,convtran_small_curves_scalars,2,2,1,1,1.134137749671936,129250,2.7029170989990234
neural,inception_whole_curves,0,2,2,8,0.9984419345855713,66162,5.112856388092041
neural,inception_whole_curves,1,2,2,7,1.0160259008407593,66162,5.754988193511963
neural,inception_whole_curves,2,2,2,13,0.9690144658088684,66162,7.26451563835144
neural,inception_whole_curves_scalars,0,2,2,9,0.9975765943527222,74434,6.91738486289978
neural,inception_whole_curves_scalars,1,2,2,1,1.0223252773284912,74434,4.621499061584473
neural,inception_whole_curves_scalars,2,2,2,9,1.000028371810913,74434,6.233371257781982
neural,inception_segment_curves,0,2,2,16,0.921743631362915,64546,8.246819019317627
neural,inception_segment_curves,1,2,2,26,0.9567603468894958,64546,10.359003782272339
neural,inception_segment_curves,2,2,2,17,0.9151674509048462,64546,8.265015840530396
