stage,item,base_auc,base_ap,auc_drop,auc_drop_permutation_mean,auc_drop_permutation_low,auc_drop_permutation_high,ap_drop,ap_drop_permutation_mean,ap_drop_permutation_low,ap_drop_permutation_high,auc_ci_low,auc_ci_high,ap_ci_low,ap_ci_high,rank_auc,rank_ap
catch22,curve_all,0.6459345643019112,0.3289288420558695,0.0361731994385055,0.05044811575423813,0.01627254076233664,0.07508908325234853,0.07014930221924198,0.07247559527659392,0.030629994756777468,0.09331652033302748,-0.04373541830839956,0.11264782093075203,-0.028804311768689167,0.1828282890175391,1,1
catch22,scalar_all,0.6459345643019112,0.3289288420558695,0.026670985854659213,0.02889536767087786,0.019803476946333998,0.03781449087571542,0.05050547531683863,0.04439276540234577,0.0230795937708812,0.06423590362265247,-0.022335846560846542,0.07373912750773805,-0.02392051926239092,0.12918004820442883,5,2
catch22,curve_channel::current_endo,0.6459345643019112,0.3289288420558695,0.007666558686966862,0.00909189072454375,0.0033473706943094594,0.013454270597127782,0.009366979938167264,0.019427005091634697,0.0025674800430156575,0.03522614284809339,-0.03410580558561675,0.04311071485843145,-0.03828165510317149,0.07332828698818368,15,18
catch22,curve_channel::current_mid,0.6459345643019112,0.3289288420558695,-0.014469279775402244,-0.015851419933052613,-0.019447143936939915,-0.012881978188100662,0.0012166555045161065,0.0036430226030040314,-0.007831488080532412,0.016748434981263716,,,,,61,40
catch22,curve_channel::current_endo_minus_mid,0.6459345643019112,0.3289288420558695,-0.017384731670446074,-0.013842997516466893,-0.01775186264982187,-0.008044487636324482,0.032327590177827936,0.033358361636802836,0.02131964099568978,0.0480304503493556,-0.061221806362651524,0.022825818484716726,-0.03109050373585952,0.10698583492946553,64,5
catch22,curve_channel::change_endo,0.6459345643019112,0.3289288420558695,0.0045351473922902175,0.003930461073318181,-2.159593996331477e-05,0.007148256127847863,-0.0028657150407953025,-0.0022565338651014955,-0.01020361357760291,0.0030157401621546676,-0.0077290905195900785,0.016632762788764743,-0.026834387257900726,0.03015264760330519,19,49
catch22,curve_channel::change_mid,0.6459345643019112,0.3289288420558695,0.008746355685131157,0.008875931324910935,0.0028938559550805154,0.01215851419933045,0.008785379841534047,0.013122467240786806,0.005243751151466913,0.01918785921505367,-0.011766221065173587,0.026159181557998668,-0.021453223783233014,0.046772835664350344,11,21
catch22,curve_channel::change_endo_minus_mid,0.6459345643019112,0.3289288420558695,-0.0008638375985314806,-0.0004103228593024255,-0.0025159270057228955,0.002472735125796377,0.0004918574478967597,0.0007268870171934783,-0.004284421869702182,0.0054823342774673045,,,,,34,42
catch22,segment_aggregation::mean,0.6459345643019112,0.3289288420558695,0.009934132383111915,0.01129467660079897,0.0002375553395961294,0.017395529640427565,0.03163569296544688,0.03545887855901897,0.02927078990573201,0.044595930211203394,-0.023428854386301285,0.04225860730663564,-0.012616932052487158,0.08533056273224124,9,7
catch22,segment_aggregation::std,0.6459345643019112,0.3289288420558695,-0.043515819026023195,-0.04334305150631679,-0.04742468415937806,-0.03757693553611918,-0.06413310359389585,-0.05451490821726962,-0.06365393801986802,-0.04411977110396342,,,,,65,65
