feature,feature_source,mean_abs_oof_tree_shap,native_rank
c1_min_DN_OutlierInclude_p_001_mdrmd,catch22,0.27284259266323513,1
first_endo_gls,scalar,0.1529239530211626,2
cur_var__mid_peak_abs_robust_sd,scalar,0.15172663873651115,3
c3_min_DN_HistogramMode_5,catch22,0.12416141634645249,4
c1_min_SP_Summaries_welch_rect_area_5_1,catch22,0.11165442315985064,5
c3_max_CO_f1ecac,catch22,0.10056563008343583,6
first_mid_gls,scalar,0.09503709518608927,7
c3_min_SB_BinaryStats_mean_longstretch1,catch22,0.09010313608510599,8
c2_mean_CO_f1ecac,catch22,0.08854845669868391,9
c3_max_SP_Summaries_welch_rect_area_5_1,catch22,0.0868007615834725,10
cur_var__endo_vendor_peak_systolic_abs_robust_sd,scalar,0.08644505099756043,11
c3_max_DN_HistogramMode_10,catch22,0.08181932817598463,12
c5_median_MD_hrv_classic_pnn40,catch22,0.06498834513037367,13
c3_max_PD_PeriodicityWang_th0_01,catch22,0.06261560891300134,14
c2_max_MD_hrv_classic_pnn40,catch22,0.05591854553262727,15
c5_median_DN_OutlierInclude_n_001_mdrmd,catch22,0.05227774004934549,16
c6_max_SP_Summaries_welch_rect_area_5_1,catch22,0.05080592566205451,17
cur_var__mid_vendor_peak_systolic_abs_robust_sd,scalar,0.04999822017803691,18
c3_median_PD_PeriodicityWang_th0_01,catch22,0.04981429775416795,19
current_endo_decline_from_first,scalar,0.04970894635669769,20
cur_var__mid_within_view_peak_robust_sd_mean,scalar,0.04860669023850385,21
cur_var__endo_curve_integrated_robust_mad,scalar,0.04856877260946649,22
c5_mean_MD_hrv_classic_pnn40,catch22,0.04492797612810001,23
c3_std_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,catch22,0.04446796564007896,24
c1_min_FC_LocalSimple_mean1_tauresrat,catch22,0.04305464926721001,25
c2_max_PD_PeriodicityWang_th0_01,catch22,0.04160727471822784,26
c2_std_DN_OutlierInclude_n_001_mdrmd,catch22,0.0400062395619745,27
c1_mean_PD_PeriodicityWang_th0_01,catch22,0.039023085886022955,28
c3_mean_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,catch22,0.038319569731515554,29
c3_std_DN_HistogramMode_10,catch22,0.03773085704120267,30
c1_std_DN_OutlierInclude_n_001_mdrmd,catch22,0.03612842259147699,31
c2_min_DN_OutlierInclude_p_001_mdrmd,catch22,0.03576443862277809,32
c3_min_FC_LocalSimple_mean1_tauresrat,catch22,0.03529789118595373,33
c3_median_DN_OutlierInclude_n_001_mdrmd,catch22,0.03502895315042953,34
c3_max_DN_HistogramMode_5,catch22,0.032563871445776035,35
c3_std_DN_HistogramMode_5,catch22,0.03252186443235805,36
c3_std_SB_MotifThree_quantile_hh,catch22,0.03220652634265766,37
c3_min_DN_OutlierInclude_p_001_mdrmd,catch22,0.03182086324185328,38
c3_std_CO_trev_1_num,catch22,0.030151456698817032,39
c4_mean_MD_hrv_classic_pnn40,catch22,0.029685226238630954,40
cur_var__mid_within_ring_peak_robust_sd_mean,scalar,0.029517665821937173,41
c3_mean_PD_PeriodicityWang_th0_01,catch22,0.02926768612961809,42
current_endo_gls,scalar,0.029081600953856993,43
c4_median_CO_FirstMin_ac,catch22,0.02787420308055664,44
cur_var__mid_curve_integrated_robust_mad,scalar,0.027873660544721353,45
c4_std_DN_OutlierInclude_n_001_mdrmd,catch22,0.026835180624248157,46
cur_var__mid_spatial_timing_graph_roughness,scalar,0.026647350603904153,47
c2_min_CO_trev_1_num,catch22,0.025801801586212342,48
current_ef,scalar,0.02575418078292763,49
c1_std_FC_LocalSimple_mean1_tauresrat,catch22,0.025550635915900035,50
c2_mean_DN_OutlierInclude_p_001_mdrmd,catch22,0.024655748506526208,51
c2_min_FC_LocalSimple_mean1_tauresrat,catch22,0.024409075167610976,52
c1_min_CO_HistogramAMI_even_2_5,catch22,0.023926687292079855,53
c2_median_PD_PeriodicityWang_th0_01,catch22,0.023658390636064536,54
c3_max_CO_trev_1_num,catch22,0.023458968816685074,55
c2_min_DN_HistogramMode_10,catch22,0.022864145088513026,56
c3_mean_DN_OutlierInclude_n_001_mdrmd,catch22,0.021588348245281243,57
cur_var__mid_peak_abs_cv,scalar,0.021046571631808907,58
c3_mean_CO_trev_1_num,catch22,0.02075977393545134,59
c1_mean_SB_BinaryStats_mean_longstretch1,catch22,0.020252119801959404,60
c1_max_FC_LocalSimple_mean1_tauresrat,catch22,0.019673318095178274,61
c1_min_CO_trev_1_num,catch22,0.019427578384969748,62
c1_min_DN_HistogramMode_5,catch22,0.01939973132867439,63
c3_median_MD_hrv_classic_pnn40,catch22,0.01918143751908417,64
c2_mean_CO_trev_1_num,catch22,0.018821576293679625,65
c2_mean_FC_LocalSimple_mean1_tauresrat,catch22,0.018796277452472435,66
c2_std_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,catch22,0.01875391359728814,67
cur_var__endo_vendor_time_to_peak_norm_circular_std,scalar,0.018645199751403153,68
c3_std_SP_Summaries_welch_rect_area_5_1,catch22,0.018473209307140328,69
c1_max_DN_HistogramMode_10,catch22,0.01832151778884072,70
c2_std_MD_hrv_classic_pnn40,catch22,0.0182217946406506,71
c3_median_DN_OutlierInclude_p_001_mdrmd,catch22,0.01815678626229338,72
c2_max_SP_Summaries_welch_rect_area_5_1,catch22,0.01786991439057109,73
c1_std_CO_FirstMin_ac,catch22,0.017543015679836717,74
c3_std_MD_hrv_classic_pnn40,catch22,0.017362068020273434,75
c1_std_CO_HistogramAMI_even_2_5,catch22,0.017224661059795865,76
c3_max_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,catch22,0.01676371394474856,77
cur_var__endo_peak_abs_cv,scalar,0.01645294520186554,78
c1_min_FC_LocalSimple_mean3_stderr,catch22,0.016438981526845198,79
c4_min_SB_BinaryStats_mean_longstretch1,catch22,0.015797540378503772,80
c1_median_DN_OutlierInclude_p_001_mdrmd,catch22,0.01576740481133332,81
c6_std_DN_OutlierInclude_n_001_mdrmd,catch22,0.015215072478232932,82
