ensemble,importance_scope,component,item,display_item,auc_drop,ap_drop,rank_auc,rank_ap,auc_ci_low,auc_ci_high,ap_ci_low,ap_ci_high
CNN + MOMENT + RDST,one_component,current_cnn,curve_all,cnn::curve_all,0.0003239390994493885,0.002661260547709543,67,41,,,,
CNN + MOMENT + RDST,one_component,current_cnn,scalar_all,cnn::scalar_all,0.013173523377605023,0.01893597875784686,6,7,-0.0012393961700200402,0.028032754010695115,0.0029375886831977034,0.03974092653740518
CNN + MOMENT + RDST,one_component,current_cnn,curve_channel::current_endo,cnn::curve_channel::current_endo,0.0,0.0010988503281831874,116,104,,,,
CNN + MOMENT + RDST,one_component,current_cnn,curve_channel::current_mid,cnn::curve_channel::current_mid,0.00021595939963292565,0.0011004050562657408,78,103,,,,
CNN + MOMENT + RDST,one_component,current_cnn,curve_channel::current_endo_minus_mid,cnn::curve_channel::current_endo_minus_mid,0.00021595939963292565,0.00019529844631527293,78,174,,,,
CNN + MOMENT + RDST,one_component,current_cnn,curve_channel::change_endo,cnn::curve_channel::change_endo,-0.00010797969981646283,0.002110038408888737,154,60,,,,
CNN + MOMENT + RDST,one_component,current_cnn,curve_channel::change_mid,cnn::curve_channel::change_mid,0.0,0.002390897242855017,116,50,,,,
CNN + MOMENT + RDST,one_component,current_cnn,curve_channel::change_endo_minus_mid,cnn::curve_channel::change_endo_minus_mid,-0.00010797969981646283,-3.811048228813396e-05,154,204,,,,
CNN + MOMENT + RDST,one_component,current_cnn,segment::01,cnn::segment::01,-0.0005398984990822031,-0.0008235906295114281,294,329,,,,
CNN + MOMENT + RDST,one_component,current_cnn,segment::02,cnn::segment::02,-0.0005398984990820921,-0.0007166572117613956,271,306,,,,
CNN + MOMENT + RDST,one_component,current_cnn,segment::03,cnn::segment::03,-0.00032393909944927746,-0.0006489433004288614,216,293,,,,
CNN + MOMENT + RDST,one_component,current_cnn,segment::04,cnn::segment::04,-0.0008638375985314806,-0.00115869418559994,336,356,,,,
CNN + MOMENT + RDST,one_component,current_cnn,segment::05,cnn::segment::05,-0.00043191879926562926,-0.0006122457708269691,242,283,,,,
CNN + MOMENT + RDST,one_component,current_cnn,segment::06,cnn::segment::06,-0.0004319187992657403,-0.0009821724512454333,258,346,,,,
CNN + MOMENT + RDST,one_component,current_cnn,segment::07,cnn::segment::07,-0.00043191879926562926,-0.0007987808151778686,242,325,,,,
CNN + MOMENT + RDST,one_component,current_cnn,segment::08,cnn::segment::08,-0.00010797969981646283,-0.00018637487998496294,154,229,,,,
CNN + MOMENT + RDST,one_component,current_cnn,segment::09,cnn::segment::09,-0.00021595939963281463,-0.00021766366543973792,170,234,,,,
CNN + MOMENT + RDST,one_component,current_cnn,segment::10,cnn::segment::10,-0.0007558578987150177,-0.0011154328193084262,319,353,,,,
CNN + MOMENT + RDST,one_component,current_cnn,segment::11,cnn::segment::11,-0.00032393909944916643,-0.0008212152823113272,210,328,,,,
CNN + MOMENT + RDST,one_component,current_cnn,segment::12,cnn::segment::12,-0.0006478781988985549,-0.0010211216231421072,299,347,,,,
CNN + MOMENT + RDST,one_component,current_cnn,segment::13,cnn::segment::13,-0.0001079796998163518,-0.00021842272871364088,140,235,,,,
CNN + MOMENT + RDST,one_component,current_cnn,segment::14,cnn::segment::14,-0.0005398984990822031,-0.0008976581920658866,294,336,,,,
CNN + MOMENT + RDST,one_component,current_cnn,segment::15,cnn::segment::15,-0.0010797969981644062,-0.001264303454792448,364,357,,,,
CNN + MOMENT + RDST,one_component,current_cnn,segment::16,cnn::segment::16,-0.00021595939963281463,0.001077399487257158,170,108,,,,
CNN + MOMENT + RDST,one_component,current_cnn,segment::17,cnn::segment::17,-0.0005398984990820921,-0.0009622841003562033,271,345,,,,
CNN + MOMENT + RDST,one_component,current_cnn,segment::18,cnn::segment::18,-0.0006478781988985549,-0.0012890542836135332,299,358,,,,
CNN + MOMENT + RDST,one_component,current_cnn,time_window::01-08,cnn::time_window::01-08,0.0,0.0,116,199,,,,
CNN + MOMENT + RDST,one_component,current_cnn,time_window::09-16,cnn::time_window::09-16,-0.00032393909944927746,-0.00012683063943258466,216,223,,,,
CNN + MOMENT + RDST,one_component,current_cnn,time_window::17-24,cnn::time_window::17-24,0.00021595939963292565,0.0002767243968701538,78,165,,,,
CNN + MOMENT + RDST,one_component,current_cnn,time_window::25-32,cnn::time_window::25-32,0.00021595939963292565,0.0002672548724245716,78,167,,,,
CNN + MOMENT + RDST,one_component,current_cnn,time_window::33-40,cnn::time_window::33-40,0.0003239390994493885,0.001102408567255464,67,102,,,,
CNN + MOMENT + RDST,one_component,current_cnn,time_window::41-48,cnn::time_window::41-48,0.0003239390994493885,0.0011396634300438468,67,101,,,,
CNN + MOMENT + RDST,one_component,current_cnn,time_window::49-56,cnn::time_window::49-56,0.00010797969981646283,0.0006219077877420154,98,131,,,,
CNN + MOMENT + RDST,one_component,current_cnn,time_window::57-64,cnn::time_window::57-64,-0.00021595939963292565,0.0004777545462102961,197,145,,,,
CNN + MOMENT + RDST,one_component,current_cnn,time_window::65-72,cnn::time_window::65-72,0.0,0.0008931031580916016,116,115,,,,
CNN + MOMENT + RDST,one_component,current_cnn,time_window::73-80,cnn::time_window::73-80,-0.00032393909944927746,-0.0006285219611790183,216,289,,,,
CNN + MOMENT + RDST,one_component,current_cnn,time_window::81-88,cnn::time_window::81-88,-0.0001079796998163518,-8.702531727966534e-06,140,201,,,,
CNN + MOMENT + RDST,one_component,current_cnn,time_window::89-96,cnn::time_window::89-96,0.0,2.940795056016743e-05,116,191,,,,
CNN + MOMENT + RDST,one_component,current_cnn,scalar::history_visits,cnn::scalar::history_visits,-0.0007558578987150177,-0.0006385626862829286,319,291,,,,
CNN + MOMENT + RDST,one_component,current_cnn,scalar::days_since_first,cnn::scalar::days_since_first,0.00021595939963292565,0.00028766721816647634,78,164,,,,
CNN + MOMENT + RDST,one_component,current_cnn,scalar::days_since_previous,cnn::scalar::days_since_previous,-0.0008638375985313695,-0.000608370502732658,333,281,,,,
CNN + MOMENT + RDST,one_component,current_cnn,scalar::has_previous_visit,cnn::scalar::has_previous_visit,-0.00010797969981646283,0.00012691623774968575,154,181,,,,
CNN + MOMENT + RDST,one_component,current_cnn,scalar::current_mid_gls,cnn::scalar::current_mid_gls,0.0004319187992657403,0.001857666729375651,63,72,,,,
CNN + MOMENT + RDST,one_component,current_cnn,scalar::current_endo_gls,cnn::scalar::current_endo_gls,-0.00032393909944916643,0.0010987151041625953,210,105,,,,
CNN + MOMENT + RDST,one_component,current_cnn,scalar::current_ef,cnn::scalar::current_ef,0.0006478781988986659,0.001532973877994226,51,85,,,,
CNN + MOMENT + RDST,one_component,current_cnn,scalar::first_mid_gls,cnn::scalar::first_mid_gls,-0.00010797969981646283,-0.0004409190715951028,154,264,,,,
CNN + MOMENT + RDST,one_component,current_cnn,scalar::first_endo_gls,cnn::scalar::first_endo_gls,-0.0001079796998163518,0.0008184295764885885,140,119,,,,
CNN + MOMENT + RDST,one_component,current_cnn,scalar::first_ef,cnn::scalar::first_ef,-0.00021595939963281463,-0.0001546125554429123,170,226,,,,
CNN + MOMENT + RDST,one_component,current_cnn,scalar::current_mid_decline_from_first,cnn::scalar::current_mid_decline_from_first,-0.00021595939963281463,-0.0006154346273482547,170,286,,,,
CNN + MOMENT + RDST,one_component,current_cnn,scalar::current_endo_decline_from_first,cnn::scalar::current_endo_decline_from_first,-0.0006478781988985549,0.0004922884463075539,299,141,,,,
CNN + MOMENT + RDST,one_component,current_cnn,scalar::current_ef_decline_from_first,cnn::scalar::current_ef_decline_from_first,0.0,0.0025842572587913004,116,43,,,,
CNN + MOMENT + RDST,one_component,current_cnn,scalar::last_mid_relative_change,cnn::scalar::last_mid_relative_change,0.00032393909944927746,-0.00933459379141921,73,421,,,,
CNN + MOMENT + RDST,one_component,current_cnn,scalar::last_endo_relative_change,cnn::scalar::last_endo_relative_change,0.0005398984990820921,0.0009516596803834654,61,111,,,,
CNN + MOMENT + RDST,one_component,current_cnn,scalar::last_ef_relative_change,cnn::scalar::last_ef_relative_change,-0.0003239390994493885,-6.767336532109702e-05,240,211,,,,
CNN + MOMENT + RDST,one_component,current_cnn,scalar::mid_decline_slope_per_100d,cnn::scalar::mid_decline_slope_per_100d,0.0005398984990822031,0.002560246815946521,58,44,,,,
