split,seed_index,shapelet_index,importance_abs_standardized_coefficient_sum,coef_minimum_distance,coef_best_match_location,coef_shapelet_occurrence,startpoint,length_points,dilation,effective_span,normalized,threshold,source_class,dominant_inputs
3,1,220,0.23428599325424107,-0.0544355762582307,0.06853788078754691,0.11131253620846346,66,11,1,11,False,7135.733129495629,1,S05:current_endo;S05:current_mid;S01:current_endo;S01:current_mid;S04:current_endo
4,0,204,0.2201534346502142,-0.047782331999605826,0.10123893502746793,0.07113216762314045,33,11,1,11,True,626.0196152839129,1,S13:change_mid;S03:change_endo_minus_mid;S12:change_endo_minus_mid;S08:change_mid;S04:change_mid
8,2,1145,0.21567067984809069,-0.015069758967596807,0.03204001947894593,0.16856090140154795,7,11,2,21,False,5282.143106990447,1,S18:current_endo;S18:current_mid;S17:current_endo;S17:current_mid;S05:current_endo
12,0,106,0.21353697675987504,-0.02461014913555878,0.041568309408461714,0.14735851821585455,44,11,1,11,False,5951.579269311949,1,S06:current_endo;S01:current_endo;S06:current_mid;S15:current_endo;S01:current_mid
8,1,404,0.21299653314834352,-0.035182822947873824,0.1316567121912661,0.046156998009203615,34,11,1,11,True,1126.4538266645943,0,S08:change_endo;S08:change_mid;S02:change_endo_minus_mid;S08:change_endo_minus_mid;S06:change_endo_minus_mid
3,2,453,0.211954588532611,-0.031098512084467893,0.037622512864145294,0.14323356358399783,64,11,2,21,False,3592.6793103266064,1,S05:current_endo;S05:current_mid;S06:current_endo;S02:current_endo;S06:current_mid
4,2,195,0.20476231975473594,0.04579696712294084,0.11740016899026672,-0.041565183641528385,61,11,1,11,True,1001.4472448009813,0,S08:current_endo_minus_mid;S12:change_endo_minus_mid;S10:current_mid;S14:change_endo_minus_mid;S14:current_mid
1,1,1139,0.2030546972162798,0.02696074879889183,0.12559680701545187,-0.050497141401936126,56,11,1,11,True,909.190522560926,0,S01:change_endo;S01:change_mid;S17:change_endo;S04:current_endo_minus_mid;S17:change_mid
12,2,1030,0.19957161166817544,-0.03757783200480104,0.12878376812474157,-0.03321001153863285,0,11,3,31,True,1178.6400742792193,1,S18:change_mid;S18:change_endo;S17:change_endo;S12:change_endo_minus_mid;S07:change_mid
2,0,192,0.1987914765141158,-0.04434867891860827,-0.05665506278645951,0.09778773480904802,42,11,1,11,True,1172.22668672851,0,S01:current_mid;S03:change_mid;S05:change_endo_minus_mid;S03:change_endo;S03:current_mid
