path,bytes,sha256
"C:\Users\Oron\Documents\Echocardiography-based early prediction of cardio-toxicity - Technion, Shaare Zedek, Ichilov .pptx.pdf",7051788,ab504c5487409db2a64e8472798a6583a11f914e8372a879f2e338a5c0cf5b88
C:\Users\Oron\OneDrive - Technion\Attachments\Research Proposal (1).pdf,123928,002d98572298b4cb9414888548abf95340064109fbe291cbcd42053b5b836d82
D:\us\amber_alert_rerun_25\amber_alert_execution_report.md,3551,31edd54871b5dd5abff6e8b687d6860da86677ce1091ba4efc478ead8468d6a6
D:\us\amber_full_105_preprocessed\Ichilov_july_dataset_schema.md,2260,d0555d1bd69599afdbbf8c3321623f38aeb6856e864f67d3d24bf7abf57829ac
D:\us\amber_full_105_preprocessed\Ichilov_july_research_report.md,17803,ddd786ee8d740cbd93e42c7bec2f9a40d51d64527b53e0d72f8d2a0a0b9e2032
D:\us\amber_full_105_preprocessed\Ichilov_july_run_metadata.json,1818,117e1d7427a1293ffa0ce024cc532a4fa48dc9994c67683d08803eff1a271b2e
D:\us\amber_full_105_preprocessed\Ichilov_july_visits.parquet,834615,f5e97dc2687c9eddcf1732b8cef4bfa61c8eb6560e3dae3279875faf49aac6df
D:\us\amber_full_105_results\amber_alert_bootstrap_intervals.csv,1432,2fdc1e833834fb1efc1e360da8ff61ecd9d5128238cab39b96a639ccd9e7ec64
D:\us\amber_full_105_results\amber_alert_cnn_fold_metadata.csv,2132,fcebf05eed5ad9e2df72711bbf23205b72ddab8ff92f0e4fa0457a0ab1594d98
D:\us\amber_full_105_results\amber_alert_execution_report.md,3655,f55015c33d3b7e9cef86cc0cc3d9d8aeccc265ee449dddb34fcb700d72d91587
D:\us\amber_full_105_results\amber_alert_label_audit.csv,679,b96790e3f76f5e5c47f05350b661db462a163894da97bd69e958549662696725
D:\us\amber_full_105_results\amber_alert_model_metrics.csv,3416,485f2eba792c045bc7b1168c02a86f13214bcb63c416b72a8454efc9de184733
D:\us\amber_full_105_results\amber_alert_model_spec.json,1575,35cc63544b2966f31467a7d8399587ae448eb89916e48da0f8748bc4640cef2b
D:\us\amber_full_105_results\amber_alert_oof_predictions.csv,263341,928f3bec3fa9190c5fa2bac0f817986a3972bb988d2d2885930950839dcfd6df
D:\us\amber_full_105_results\amber_alert_pairs.csv,272711,7fc554d1bc32a4c46323e1018b2833976f75f46495800f2dcd3ceb2393a6e14a
D:\us\amber_full_105_results\comparison_to_25_patient_run.md,2982,e2018701e9e845c5f7af69d1250234d9b71b33a54c191adb7e6ab09ddbda67a1
D:\us\cardiotoxicity_15pct_early_detection_report_he.docx,46349,ef1cb39101964ee7b04ea92e876d59a77bf1629aaaa2d98af4b2f37ffb775837
D:\us\cardiotoxicity_baseline_gls_analysis.py,6657,29a60c3f7a964e70bd307fbe547a41770c4962dbfaa7b9e6d1f883b340347a6d
D:\us\cardiotoxicity_cnn_channel_ablation.py,34868,a4b43a2f69fcdb735903b83719157c8d46b4839d5091e9c6beb764af8c13248d
D:\us\cardiotoxicity_cnn_channel_ablation_results\cnn_channel_ablation_deltas_vs_clinical.csv,1443,51b65ebd1488ba446a2f057b4dd8f5e7e7b729584c109d6b0811039f5846a025
D:\us\cardiotoxicity_cnn_channel_ablation_results\cnn_channel_ablation_metadata.json,2609,20e0868499f86e6b611573cb75d984f289ff2a758cafa3ad8cc824cee496c57b
D:\us\cardiotoxicity_cnn_channel_ablation_results\cnn_channel_ablation_metrics.csv,1874,aa1f481281549b59e935330a457a205186952197205f7ff1fdc2b97a59aeea22
D:\us\cardiotoxicity_cnn_channel_ablation_results\cnn_channel_ablation_paired_deltas.csv,798,79f7eae2087cc4feaab7e6ce505b118777adc9bf9afa18f502f347217d30f472
D:\us\cardiotoxicity_cnn_channel_ablation_results\cnn_channel_ablation_patient_folds.csv,6254,800b041d04e4998d202abd20002da6b8dfeac372d47dc6c2f68d593d4942231c
D:\us\cardiotoxicity_cnn_channel_ablation_results\cnn_channel_ablation_report.md,3309,740f8776d5a19aaa9d12fce867208584344540f281a168fec35024dc26cb828b
D:\us\cardiotoxicity_cnn_channel_ablation_results\cnn_channel_ablation_training_log.csv,6171,27fe9ef13106541a056f577a7fc38963a39e84e58820ee55603b561f9e2b96ca
D:\us\cardiotoxicity_cnn_kernel_ablation.py,16175,1540c94696b841298a710274454b7cd8c69c0efe960aebb56e4903c9e01fa3f3
