hospital,layer,metric,patients_tested,positive_slopes,negative_slopes,zero_slopes,fraction_positive,binomial_p_positive_gt_half,median_slope_per_visit,mean_slope_per_visit
Ichilov,endo,contraction_rate_per_s_std,3,0,3,0,0.0,1.0,-3.492099272285151,-2.5399675067920686
Ichilov,endo,curve_roughness_std,3,1,2,0,0.3333333333333333,0.875,-0.01903974598917024,-0.012810216450275186
Ichilov,endo,peak_abs_iqr,3,1,2,0,0.3333333333333333,0.875,-0.45799999999999974,-0.5568750000000006
Ichilov,endo,peak_abs_std,3,1,2,0,0.3333333333333333,0.875,-0.3068040639858584,-0.32014592254639496
Ichilov,endo,recovery_fraction_std,3,1,2,0,0.3333333333333333,0.875,-1.886493596255309e-09,-7.230838149195794e-10
Ichilov,endo,rms_strain_std,3,2,1,0,0.6666666666666666,0.5,0.0005665167628100599,-0.11800374433634014
Ichilov,endo,strain_burden_std,3,1,2,0,0.3333333333333333,0.875,-0.02529903665713957,-0.027058528865384134
Ichilov,endo,time_to_peak_ms_std,3,1,2,0,0.3333333333333333,0.875,-18.117710469332145,2.7897225600232027
Ichilov,endo,time_to_peak_norm_std,3,1,2,0,0.3333333333333333,0.875,-0.007137281335454229,-0.0010840562221481175
Ichilov,myo,contraction_rate_per_s_std,3,1,2,0,0.3333333333333333,0.875,-1.2939404139959412,-1.0697952418145735
Ichilov,myo,curve_roughness_std,3,1,2,0,0.3333333333333333,0.875,-0.019773175730936673,-0.012324591335906042
Ichilov,myo,peak_abs_iqr,3,2,1,0,0.6666666666666666,0.5,0.0976999999999999,0.07829166666666743
Ichilov,myo,peak_abs_std,3,0,3,0,0.0,1.0,-0.06024455451952264,-0.0779116734991019
Ichilov,myo,recovery_fraction_std,3,2,1,0,0.6666666666666666,0.5,4.0152697351468665e-11,-9.59148502239971e-09
Ichilov,myo,rms_strain_std,3,1,2,0,0.3333333333333333,0.875,-0.040914645551670195,-0.047856755623208465
Ichilov,myo,strain_burden_std,3,1,2,0,0.3333333333333333,0.875,-0.08396095966208152,-0.03807429652630722
Ichilov,myo,time_to_peak_ms_std,3,1,2,0,0.3333333333333333,0.875,-21.823673519266677,5.955775370484193
Ichilov,myo,time_to_peak_norm_std,3,1,2,0,0.3333333333333333,0.875,-0.012568407788016298,-0.004588020848959683
SZMC,endo,contraction_rate_per_s_std,12,9,3,0,0.75,0.072998046875,5.3844046454625705,3.0161139609147156
SZMC,endo,curve_roughness_std,12,5,7,0,0.4166666666666667,0.80615234375,-0.008481519442678654,0.008064150619133912
SZMC,endo,peak_abs_iqr,12,6,6,0,0.5,0.61279296875,0.22981250000000047,0.13585208333333335
SZMC,endo,peak_abs_std,12,9,3,0,0.75,0.072998046875,0.439313144397655,0.43401898765120034
SZMC,endo,recovery_fraction_std,12,4,8,0,0.3333333333333333,0.927001953125,-5.321568782579559e-09,-0.047825175197862425
SZMC,endo,rms_strain_std,12,8,4,0,0.6666666666666666,0.19384765625,0.37009820588138176,0.18994758724248595
SZMC,endo,strain_burden_std,12,9,3,0,0.75,0.072998046875,0.3400046095217152,0.16572886377145915
SZMC,endo,time_to_peak_ms_std,12,5,7,0,0.4166666666666667,0.80615234375,-69.24991945882303,-86.43968733823188
SZMC,endo,time_to_peak_norm_std,12,3,9,0,0.25,0.980712890625,-0.013085160109174907,-0.02463668046337183
SZMC,myo,contraction_rate_per_s_std,12,9,3,0,0.75,0.072998046875,1.5609696653810188,1.8458841510641821
SZMC,myo,curve_roughness_std,12,8,4,0,0.6666666666666666,0.19384765625,0.00353748638867178,0.00984531439117569
SZMC,myo,peak_abs_iqr,12,7,5,0,0.5833333333333334,0.38720703125,0.43894999999999973,0.1888208333333334
SZMC,myo,peak_abs_std,12,8,4,0,0.6666666666666666,0.19384765625,0.4491612272320345,0.37376525670933164
SZMC,myo,recovery_fraction_std,12,7,5,0,0.5833333333333334,0.38720703125,1.3102053801233774e-08,-0.0460406739488751
SZMC,myo,rms_strain_std,12,9,3,0,0.75,0.072998046875,0.19174775775985775,0.18467904644485048
SZMC,myo,strain_burden_std,12,8,4,0,0.6666666666666666,0.19384765625,0.20523540048389385,0.13672672098374472
SZMC,myo,time_to_peak_ms_std,12,5,7,0,0.4166666666666667,0.80615234375,-18.79895602722765,-82.68907879869245
SZMC,myo,time_to_peak_norm_std,12,3,9,0,0.25,0.980712890625,-0.011217679767013117,-0.02887649084175467
