hospital,view,layer,metric,patients_tested,positive_slopes,negative_slopes,zero_slopes,fraction_positive,binomial_p_positive_gt_half,median_slope_per_visit,mean_slope_per_visit
Ichilov,2-chamber,endo,contraction_rate_per_s_std,3,0,3,0,0.0,1.0,-6.379720370636979,-6.572246125184715
Ichilov,2-chamber,endo,curve_roughness_std,3,0,3,0,0.0,1.0,-0.01677352523081746,-0.022342745938191976
Ichilov,2-chamber,endo,peak_abs_iqr,3,0,3,0,0.0,1.0,-0.6125750000000002,-1.1905750000000006
Ichilov,2-chamber,endo,peak_abs_std,3,0,3,0,0.0,1.0,-0.25902660699773816,-0.4856474832406145
Ichilov,2-chamber,endo,recovery_fraction_std,3,1,2,0,0.3333333333333333,0.875,-7.943336833669734e-10,3.0622476305443416e-10
Ichilov,2-chamber,endo,rms_strain_std,3,2,1,0,0.6666666666666666,0.5,0.08115861063561382,-0.19532939153085715
Ichilov,2-chamber,endo,strain_burden_std,3,2,1,0,0.6666666666666666,0.5,0.16412509638046252,-0.06095552366908249
Ichilov,2-chamber,endo,time_to_peak_ms_std,3,1,2,0,0.3333333333333333,0.875,-4.096848828558734,22.445971415720418
Ichilov,2-chamber,endo,time_to_peak_norm_std,3,2,1,0,0.6666666666666666,0.5,0.00011804826412336786,-0.0034333474033389406
Ichilov,2-chamber,myo,contraction_rate_per_s_std,3,0,3,0,0.0,1.0,-3.370468677361343,-4.895729360425726
Ichilov,2-chamber,myo,curve_roughness_std,3,1,2,0,0.3333333333333333,0.875,-0.017102869931026166,-0.010799914532759492
Ichilov,2-chamber,myo,peak_abs_iqr,3,0,3,0,0.0,1.0,-0.4248749999999992,-0.9049999999999997
Ichilov,2-chamber,myo,peak_abs_std,3,0,3,0,0.0,1.0,-0.44759122224733167,-0.49602007773067874
Ichilov,2-chamber,myo,recovery_fraction_std,3,0,3,0,0.0,1.0,-5.035861239621498e-09,-5.390991084443139e-09
Ichilov,2-chamber,myo,rms_strain_std,3,1,2,0,0.3333333333333333,0.875,-0.18588297921752284,-0.3146403257070726
Ichilov,2-chamber,myo,strain_burden_std,3,1,2,0,0.3333333333333333,0.875,-0.1721573574126626,-0.264996685717849
Ichilov,2-chamber,myo,time_to_peak_ms_std,3,1,2,0,0.3333333333333333,0.875,-21.402882053074254,-2.953159151064227
Ichilov,2-chamber,myo,time_to_peak_norm_std,3,0,3,0,0.0,1.0,-0.01350099177826127,-0.016016046310139472
