hospital,view,layer,metric,patients_tested,positive_slopes,negative_slopes,zero_slopes,fraction_positive,binomial_p_positive_gt_half,median_slope_per_visit,mean_slope_per_visit
Ichilov,2-chamber,endo,latent_centroid_norm,3,1,2,0,0.3333333333333333,0.875,-2.3712282847431303,-1.074926766463766
Ichilov,2-chamber,endo,latent_pairwise_mean,3,1,2,0,0.3333333333333333,0.875,-0.17599959990900205,-0.5961687694332984
Ichilov,2-chamber,myo,latent_centroid_norm,3,1,2,0,0.3333333333333333,0.875,-1.1853118087233,-0.8286469494324938
Ichilov,2-chamber,myo,latent_pairwise_mean,3,0,3,0,0.0,1.0,-0.6556812859073826,-1.013702625419892
Ichilov,4-chamber,endo,latent_centroid_norm,3,2,1,0,0.6666666666666666,0.5,0.4747880959203146,-0.34819827935677256
Ichilov,4-chamber,endo,latent_pairwise_mean,3,2,1,0,0.6666666666666666,0.5,1.1315981877261134,0.6186110918744859
Ichilov,4-chamber,myo,latent_centroid_norm,3,1,2,0,0.3333333333333333,0.875,-0.20273652855716498,-0.6418228574883958
Ichilov,4-chamber,myo,latent_pairwise_mean,3,3,0,0,1.0,0.125,0.23480476998336075,0.391810830748002
SZMC,2-chamber,endo,latent_centroid_norm,10,4,6,0,0.4,0.828125,-0.8118906157186081,0.22944184816808672
SZMC,2-chamber,endo,latent_pairwise_mean,10,4,6,0,0.4,0.828125,-0.42851259711330736,-0.3955634855987938
SZMC,2-chamber,myo,latent_centroid_norm,10,4,6,0,0.4,0.828125,-0.26068957737290643,0.13870637579535133
SZMC,2-chamber,myo,latent_pairwise_mean,10,5,5,0,0.5,0.623046875,0.16736328069429895,-0.1621723780533356
SZMC,4-chamber,endo,latent_centroid_norm,12,4,8,0,0.3333333333333333,0.927001953125,-0.4580179965928468,-1.2724008989538922
SZMC,4-chamber,endo,latent_pairwise_mean,12,5,7,0,0.4166666666666667,0.80615234375,-0.6938938472839578,0.5167271993861831
SZMC,4-chamber,myo,latent_centroid_norm,12,5,7,0,0.4166666666666667,0.80615234375,-0.7795549139942051,-1.3109727679321412
SZMC,4-chamber,myo,latent_pairwise_mean,12,6,6,0,0.5,0.61279296875,-0.0689939048728142,0.3101588757106822
